Product code	Product label	Turkey's exports to China-Value in 2001	Turkey's exports to China-Value in 2002	Turkey's exports to China-Value in 2003	Turkey's exports to China-Value in 2004	Turkey's exports to China-Value in 2005	Turkey's exports to China-Value in 2006	Turkey's exports to China-Value in 2007	Turkey's exports to China-Value in 2008	Turkey's exports to China-Value in 2009	Turkey's exports to China-Value in 2010	Turkey's exports to China-Value in 2011	Turkey's exports to China-Value in 2012	Turkey's exports to China-Value in 2013	Turkey's exports to China-Value in 2014	Turkey's exports to China-Value in 2015	Turkey's exports to China-Value in 2016	Turkey's exports to China-Value in 2017	China's imports from world- 	China's imports from world-Value in 2001	China's imports from world-Value in 2002	China's imports from world-Value in 2003	China's imports from world-Value in 2004	China's imports from world-Value in 2005	China's imports from world-Value in 2006	China's imports from world-Value in 2007	China's imports from world-Value in 2008	China's imports from world-Value in 2009	China's imports from world-Value in 2010	China's imports from world-Value in 2011	China's imports from world-Value in 2012	China's imports from world-Value in 2013	China's imports from world-Value in 2014	China's imports from world-Value in 2015	China's imports from world-Value in 2016	China's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
60	"Knitted or crocheted fabrics"	14	354	125	98	173	288	239	209	259	838	2326	2175	2461	3143	2598	2558	2184		1336450	1431997	1640341	1812011	1878256	2152960	2328626	2311296	2137454	2345418	2446813	2360399	2321983	2039465	1847425	1704356	1690900		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
21	"Miscellaneous edible preparations"	43	117	26	5	0	40	115	51	161	1310	4933	1917	2329	2885	4839	4960	1746		181590	179262	311966	475219	305453	322020	376579	466362	483524	681489	864847	966020	1205243	1406882	1785814	2164101	2444630		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
22	"Beverages, spirits and vinegar"	1	1	69	0	0	1	34	34	133	458	777	819	964	1605	2348	1943	1710		146205	148263	186467	261072	409610	585782	866278	1137279	1114742	1645629	2556626	3102473	3058402	3159323	4282455	4786505	5279663		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	0	18	24	3	0	104	1700	1676	43434	16710	20657	30102	2918	6280	13500	5494	1567		17516515	19321334	29247554	48026771	64088956	89098435	105175401	169251777	123970041	188965812	275766337	313066988	315232252	316787667	198600749	176535890	247578520		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	122	71	102	1606	3213	5962	4141	1145	1183	2479	3253	3197	3235	2953	1985	1587	1410		83490	91379	127736	182599	253125	356899	508612	700846	713070	1122977	1687188	1875945	1917131	2051667	2112310	2202437	2627626		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
13	"Lac; gums, resins and other vegetable saps and extracts"	0	0	0	0	0	26	42	0	28	100	171	373	302	719	725	369	1252		31611	36384	51597	58564	62905	74981	89919	110459	120377	120550	158387	203308	223938	234637	227367	214138	255912		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
64	"Footwear, gaiters and the like; parts of such articles"	3	10	17	40	101	258	31	147	148	96	134	483	535	1235	394	410	834		329570	304065	373622	474837	541702	608183	726482	1015344	880482	1118265	1553633	1785074	1955258	2293381	2748627	3062800	3650102		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	54	12	0	0	638	26	119	101	4708	108	150	401	1413	535	1243	1189	790		175896	201104	281250	392849	500506	599585	809799	1115500	1178062	1502226	1939008	2151272	2384842	3372164	4509560	5506877	7633644		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
50	"Silk"	18	10	25	72	116	713	731	482	505	345	249	275	148	16	70	502	712		111438	96117	109975	139599	136173	127025	110842	116649	109000	124435	112137	95440	86283	69092	59659	57158	50575		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	29	14	57	38	95	203	166	231	160	279	1427	689	852	930	726	701	639		445896	631811	952125	1329215	1598724	1866892	2180091	2330554	2111868	2764233	3255016	3175656	3210032	3558848	3426155	3210724	3665953		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
