Product code	Product label	Turkey's exports to France-Value in 2001	Turkey's exports to France-Value in 2002	Turkey's exports to France-Value in 2003	Turkey's exports to France-Value in 2004	Turkey's exports to France-Value in 2005	Turkey's exports to France-Value in 2006	Turkey's exports to France-Value in 2007	Turkey's exports to France-Value in 2008	Turkey's exports to France-Value in 2009	Turkey's exports to France-Value in 2010	Turkey's exports to France-Value in 2011	Turkey's exports to France-Value in 2012	Turkey's exports to France-Value in 2013	Turkey's exports to France-Value in 2014	Turkey's exports to France-Value in 2015	Turkey's exports to France-Value in 2016	Turkey's exports to France-Value in 2017	France's imports from world- 	France's imports from world-Value in 2001	France's imports from world-Value in 2002	France's imports from world-Value in 2003	France's imports from world-Value in 2004	France's imports from world-Value in 2005	France's imports from world-Value in 2006	France's imports from world-Value in 2007	France's imports from world-Value in 2008	France's imports from world-Value in 2009	France's imports from world-Value in 2010	France's imports from world-Value in 2011	France's imports from world-Value in 2012	France's imports from world-Value in 2013	France's imports from world-Value in 2014	France's imports from world-Value in 2015	France's imports from world-Value in 2016	France's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
01	"Live animals"	756	792	490	1148	1015	1562	1272	1743	1252	787	465	591	628	628	490	474	507		245177	236075	288961	334178	332929	354807	352105	416534	351782	337415	318165	318631	375972	334350	273223	247701	259163		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	144	1757	3351	1114	367	333	54	6	0	65	145	85	0	502	548	701	507		1959507	1880244	2255488	2548940	2431642	2672443	3463250	3619757	3269414	3517614	4141919	3846612	4408904	4688277	3563883	3522026	4470538		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
65	"Headgear and parts thereof"	336	317	354	417	390	330	406	604	408	564	634	407	481	663	545	480	515		163778	180978	215958	255462	280040	312823	349699	380785	344385	409291	468245	412564	427695	496314	428785	480701	525378		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
24	"Tobacco and manufactured tobacco substitutes"	8087	9019	8054	14134	32601	10254	5873	12034	2923	1294	784	224	215	316	1209	111	945		1766867	1948888	2208554	2149091	2262085	2295404	2510321	2396025	2303120	2232483	2633508	2548629	2566675	2361651	2018908	2067871	1976049		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
35	"Albuminoidal substances; modified starches; glues; enzymes"	102	21	221	123	67	232	155	81	112	151	81	109	377	482	286	1186	1013		533608	589334	763928	864927	898682	889090	1119104	1261059	925590	914513	1099997	1013569	1104221	1128548	956465	974251	1057999		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	0	2	56	210	381	2259	3977	3292	2833	2541	2452	736	172	300	454	544	1041		62003	56207	69230	85948	91644	95806	113789	125425	110720	131225	154609	144582	131486	140525	132505	131230	130646		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
02	"Meat and edible meat offal"	146	302	464	282	126	139	117	178	332	1040	1406	1245	1102	1163	1045	1323	1269		2402025	2453594	2927492	3591488	3905111	4214080	4818725	5536891	5189262	5171838	5842621	5759336	6049384	5996732	4798162	4520165	4819565		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	431	512	365	594	647	497	838	1333	776	1142	1581	1850	2573	1740	1294	1263	1336		124623	136712	151917	156378	150749	150348	153314	136084	88064	101709	105329	88894	90196	98133	82293	75671	73007		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
10	"Cereals"	1578	3183	1073	861	1474	3933	1121	5310	3115	2064	602	4081	9415	9352	3416	11434	1627		409501	430471	478736	581232	483368	490752	910064	1125748	984733	921190	1088101	903611	1030382	1164625	931737	990378	1019032		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	266	373	542	872	338	1737	569	3416	720	1287	1565	1605	1560	3495	2783	4469	1647		861993	1048957	1215016	1360014	1539133	1847457	2227591	3760058	2599454	2403066	3283887	2837947	2778810	2417816	2147058	2299769	2479251		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
26	"Ores, slag and ash"	0	0	0	0	3	55	657	0	0	104	256	364	736	322	1045	1138	2731		797284	864821	951245	1128050	1463134	1760769	2018323	2630696	1231801	2454324	2920954	2518265	2485917	2235220	1411193	1227104	1967888		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	1837	1766	1990	1802	2792	2193	3093	4673	3549	4264	5937	8865	5483	5410	4852	4245	2752		527869	567431	719280	630723	576261	632380	862062	1320421	1325062	1409506	1821404	1577358	2063852	1926532	1678689	1947804	1794115		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	8057	7660	6466	6513	6518	7331	8728	9748	6132	6862	9146	5986	4767	4835	5002	3416	3132		401250	380292	417799	372883	309276	260920	276895	271044	188183	178722	216170	178791	177484	181949	141448	149932	154434		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	810	819	1267	1500	2771	1795	2204	3788	3001	2416	2344	2056	4348	4619	3651	3149	3269		181723	203536	229302	273511	289907	288693	380427	520335	420477	412500	508539	513528	588624	592426	511187	507561	531694		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
41	"Raw hides and skins (other than furskins) and leather"	318	67	311	940	1313	1506	5423	7837	6576	9863	10631	5076	3062	3346	4961	4245	3456		559712	501578	522262	522009	481929	492598	570050	593150	435584	533922	724925	731545	762421	762461	642578	641128	640349		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
22	"Beverages, spirits and vinegar"	1728	2625	1187	954	1012	1610	7282	3435	3031	4048	4024	3809	3952	4612	4151	3760	3822		1588520	1789539	2130158	2533086	2610332	2803224	3362293	3881012	3578769	3483987	4224707	3962189	4198285	4179265	3670853	3880660	4256642		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	1769	1612	1290	1155	1321	2542	2561	3481	5820	2258	1971	3357	3928	3949	3314	4569	4471		1267058	1493962	1818066	1917019	2027552	2209973	2486550	2784454	2467288	2521305	2980312	2724857	2811128	2827583	2476861	2453452	2624196		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	3107	877	1056	1676	733	157	1616	1609	2385	1692	6788	3990	9646	6934	3111	4159	4518		274570	322800	393296	352541	471293	583605	725805	788898	716619	609542	863239	961460	958735	988984	736996	789451	883067		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
99	"Commodities not elsewhere specified"	2814	3890	460	7491	13496	12047	25398	4036	2992	1815	6705	4167	1687	1668	1333	1010	4653		21649	29212	32164	32882	18505	10085	11347	10655	10176	12465	229678	374543	343562	351637	306845	330125	332997		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
38	"Miscellaneous chemical products"	375	421	2372	1717	1471	3926	2358	2836	1856	8203	1974	3486	13408	6909	3672	10902	4835		3783197	3949464	4553828	5319852	5799306	6172705	7539726	8525858	6919885	7164174	9210659	8444151	8770090	9101469	7907641	8175875	9065222		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
09	"Coffee, tea, maté and spices"	1943	1224	1414	1356	1585	1483	1784	2286	2017	1904	1889	1984	2748	2585	2565	5162	5000		666885	683151	833409	829726	971931	1143039	1388286	1701573	1729334	2012468	2748383	2712924	3014008	3102946	2857508	2899851	3412001		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
44	"Wood and articles of wood; wood charcoal"	786	375	485	607	883	819	986	1532	1429	1206	1476	2155	2687	3556	4020	5044	5362		2355944	2382387	2941229	3467894	3802432	4147658	5500805	5590592	4294172	4632612	4973381	4369729	4350273	4500784	3718555	3868289	4206187		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	836	819	903	1074	1290	1483	1500	2128	2284	2212	2931	3817	3434	3774	3228	3804	5902		1516072	1491590	1865477	2155400	2301193	2284234	2576653	2808225	2583428	2449663	2729346	2500136	2488509	2336352	1914984	1914737	1930615		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
18	"Cocoa and cocoa preparations"	372	487	9440	1258	1678	1375	1281	1035	437	1363	779	561	403	506	8020	604	5970		1174639	1504832	1960272	2069625	1907438	1994515	2516337	2906035	2781388	2911125	3330887	2929827	3078239	3442308	3183972	3363839	3382118		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
17	"Sugars and sugar confectionery"	2322	745	1398	1213	1748	1904	2034	3625	2883	6761	5131	6959	6073	8274	5492	5878	5989		505729	604995	678921	806624	866208	891875	1171524	1186525	1035927	992391	1192071	1132016	1192672	1162189	912574	990072	1030622		335473	148205	186972	217803	202307	274446	297454	346599	294188	387421	474168	504689	633330	669765	556988	527456	586058	
30	"Pharmaceutical products"	1470	1336	1479	1724	4072	4047	3949	5304	6348	8613	7236	6100	5958	7652	7219	6619	6135		7215931	8393520	10649191	13087468	14301958	16136786	19557891	22172244	24538935	25010482	26605775	26424069	26065870	28474911	22218934	22070207	23079646		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
96	"Miscellaneous manufactured articles"	693	422	581	1902	856	1424	1604	1812	1647	2060	2407	2881	3208	3629	3143	4387	6229		771204	733482	887556	949248	979835	1079393	1253099	1356962	1130080	1218982	1367668	2044260	2113211	2238546	2036590	2060110	2229314		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	976	1473	1726	2659	2741	2676	4076	6195	6413	6961	5688	4448	4781	5376	4714	4704	6367		1416706	1607464	1929133	2222676	2242165	2342453	2774668	3462211	3203749	3065044	3548132	3502020	3806061	3769106	3410288	3596437	3803664		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	9710	9005	9258	10201	9945	7628	9535	9049	6765	7212	7561	5861	7081	6847	5220	5949	6830		258114	263243	313399	333332	390858	359396	341606	320861	248590	262407	288757	253045	263977	255581	224663	218408	236892		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	6623	8979	11342	13377	16578	11576	11759	13537	9623	11604	11417	10831	8683	7733	7261	8598	7557		864788	979524	1135276	1279201	1378855	1482798	1766898	2116078	1985053	1862097	2122249	2078855	2356972	2359054	1959188	1916453	2152399		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
89	"Ships, boats and floating structures"	363	7600	18254	39483	39910	43821	199493	37332	3973	9155	44848	14890	1799	3257	3352	2690	8656		1035924	1370046	1076517	1198185	1548849	1936548	1486380	1349910	1631384	1367772	1631872	741499	1057672	1089409	978815	1033033	853545		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
05	"Products of animal origin, not elsewhere specified or included"	1115	1639	2107	3652	2504	1751	1793	3014	2584	3228	4144	3635	6373	5622	4486	7855	9127		240569	234617	259720	315245	335481	302622	316305	367422	371470	362021	466590	511342	564615	533193	422349	374080	426222		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	315	480	915	1096	1634	2077	2510	3248	5216	6303	6588	8129	11059	11042	7964	9434	9200		2036223	2281913	2699021	3022487	3131997	3303516	3759344	3898445	3403907	3805805	4373067	4037362	4086970	4076343	3542322	3534316	3735965		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
93	"Arms and ammunition; parts and accessories thereof"	1355	1435	2121	2381	3890	5051	13854	6610	5150	6706	4505	4806	6442	7561	8718	11105	9902		73088	86644	104313	131951	132238	144620	187188	268445	175910	198982	207150	201484	225374	178427	183429	189762	193144		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
