Product code	Product label	Turkey's exports to Romania-Value in 2001	Turkey's exports to Romania-Value in 2002	Turkey's exports to Romania-Value in 2003	Turkey's exports to Romania-Value in 2004	Turkey's exports to Romania-Value in 2005	Turkey's exports to Romania-Value in 2006	Turkey's exports to Romania-Value in 2007	Turkey's exports to Romania-Value in 2008	Turkey's exports to Romania-Value in 2009	Turkey's exports to Romania-Value in 2010	Turkey's exports to Romania-Value in 2011	Turkey's exports to Romania-Value in 2012	Turkey's exports to Romania-Value in 2013	Turkey's exports to Romania-Value in 2014	Turkey's exports to Romania-Value in 2015	Turkey's exports to Romania-Value in 2016	Turkey's exports to Romania-Value in 2017	Romania's imports from world- 	Romania's imports from world-Value in 2001	Romania's imports from world-Value in 2002	Romania's imports from world-Value in 2003	Romania's imports from world-Value in 2004	Romania's imports from world-Value in 2005	Romania's imports from world-Value in 2006	Romania's imports from world-Value in 2007	Romania's imports from world-Value in 2008	Romania's imports from world-Value in 2009	Romania's imports from world-Value in 2010	Romania's imports from world-Value in 2011	Romania's imports from world-Value in 2012	Romania's imports from world-Value in 2013	Romania's imports from world-Value in 2014	Romania's imports from world-Value in 2015	Romania's imports from world-Value in 2016	Romania's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	57	48	581	1523	2042	1597	659	533	589	440	306	294	167	226	334	184	201		2935	3629	4020	9880	17693	26296	36761	58386	47832	56731	66141	64294	66005	71364	71321	75135	89307		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	941	756	598	970	3256	2055	1691	737	536	628	590	1289	1365	773	357	193	215		23735	33299	47166	70848	73921	66173	62187	47978	27027	23910	29821	23178	22331	23493	19155	20111	21463		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
88	"Aircraft, spacecraft, and parts thereof"	0	0	0	0	3	4	103	300	6	0	444	162	31	302	333	294	268		18942	11578	25298	152352	109047	188672	139822	201580	132146	181040	288044	149256	208075	125855	136118	253022	562825		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
99	"Commodities not elsewhere specified"	0	0	431	321	242	402	192	200	220	73	81	654	344	84	817	513	324		41026	26732	38234	57375	126128	0	1614285	1835856	1605673	1707260	1972801	201036	201477	226977	205556	244329	329969		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
79	"Zinc and articles thereof"	3	24	16	77	141	822	1828	1424	1392	751	2091	1648	350	562	605	420	339		13288	15416	15897	24355	25961	43239	69699	47271	42420	69419	101430	73464	78591	88124	88478	84449	119285		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
43	"Furskins and artificial fur; manufactures thereof"	140	6	59	115	263	577	380	701	202	197	513	443	759	500	164	188	347		6691	10100	13104	13215	16204	22002	18112	13771	8209	10766	22894	20642	18472	17230	9860	10686	10825		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
91	"Clocks and watches and parts thereof"	32	43	41	75	151	184	621	812	682	910	482	313	281	303	343	531	360		4795	6615	9713	14691	20149	21864	43753	53595	43467	39669	35846	40631	41218	45952	50910	66652	70040		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
05	"Products of animal origin, not elsewhere specified or included"	0	1	1	3	4	0	1500	2200	1169	601	2099	1731	554	1172	1126	380	396		8338	10257	15403	23585	33146	39595	52834	63185	52478	56617	67202	69540	63908	68131	52898	59637	63932		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
65	"Headgear and parts thereof"	26	30	52	51	163	335	534	937	430	321	317	452	377	837	589	323	407		2616	3185	4171	6564	7593	10061	19969	24256	16011	16267	24889	21295	21496	23763	22929	27554	33175		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
93	"Arms and ammunition; parts and accessories thereof"	6	6	14	23	7	784	604	349	285	309	248	348	459	140	1127	641	419		0	0	0	0	0	21887	0	0	0	0	0	0	0	0	0	0	0		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
