Product code	Product label	Turkey's exports to Romania-Value in 2001	Turkey's exports to Romania-Value in 2002	Turkey's exports to Romania-Value in 2003	Turkey's exports to Romania-Value in 2004	Turkey's exports to Romania-Value in 2005	Turkey's exports to Romania-Value in 2006	Turkey's exports to Romania-Value in 2007	Turkey's exports to Romania-Value in 2008	Turkey's exports to Romania-Value in 2009	Turkey's exports to Romania-Value in 2010	Turkey's exports to Romania-Value in 2011	Turkey's exports to Romania-Value in 2012	Turkey's exports to Romania-Value in 2013	Turkey's exports to Romania-Value in 2014	Turkey's exports to Romania-Value in 2015	Turkey's exports to Romania-Value in 2016	Turkey's exports to Romania-Value in 2017	Romania's imports from world- 	Romania's imports from world-Value in 2001	Romania's imports from world-Value in 2002	Romania's imports from world-Value in 2003	Romania's imports from world-Value in 2004	Romania's imports from world-Value in 2005	Romania's imports from world-Value in 2006	Romania's imports from world-Value in 2007	Romania's imports from world-Value in 2008	Romania's imports from world-Value in 2009	Romania's imports from world-Value in 2010	Romania's imports from world-Value in 2011	Romania's imports from world-Value in 2012	Romania's imports from world-Value in 2013	Romania's imports from world-Value in 2014	Romania's imports from world-Value in 2015	Romania's imports from world-Value in 2016	Romania's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	1717	1896	1980	1604	3017	2962	5748	7316	4710	7296	13332	13573	19564	23535	21305	16667	18468		27685	32617	43876	60509	74166	103436	182402	269294	223745	219832	270533	289444	359680	383465	375340	446811	513937		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	1629	1580	2527	3989	7683	7403	8136	8219	8342	8105	13653	12782	17265	19264	12142	13382	19383		399351	428174	519535	575584	677524	857937	1040384	1199477	807201	949942	1131446	1129112	1296134	1459237	1516594	1546622	1872047		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
69	"Ceramic products"	1565	1182	2567	6139	8574	11085	24841	36812	19161	16889	19018	19473	17541	19290	18028	19189	19904		82813	104523	146518	213141	306516	344200	481856	596171	271326	266535	293584	268282	275139	299271	275448	292134	347828		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
20	"Preparations of vegetables, fruit, nuts or other parts of plants"	9737	10588	16182	22360	25339	19396	29264	28640	27697	31643	30673	25468	24473	28611	20881	21352	20695		38465	42497	60195	75470	101688	142228	213086	258544	195011	169608	191935	191936	228441	260968	260218	309651	337051		528010	509922	671357	980423	1281470	1119942	1314079	1441032	1276305	1491356	1653520	1722134	1800527	2089921	2187063	1848411	1880152	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	6011	5202	5765	6800	11985	17608	26127	30530	17816	14455	15910	14423	18058	24763	21876	23939	23048		43545	55819	65076	83099	106788	137515	208906	238916	174024	183635	211849	207025	218667	251138	231012	275401	309849		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
70	"Glass and glassware"	3682	5132	11259	16069	26876	31087	42755	49155	31803	26935	23958	15040	22093	24717	19805	22299	23098		76829	97732	136535	185440	250082	322362	416389	466783	314046	309261	408324	330970	362091	384281	358541	415673	472390		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	1150	1694	2486	3143	4060	4189	6446	8987	11992	12788	15876	13311	18345	24590	26278	21240	25487		93873	100287	118474	137994	138694	149004	175868	199662	153822	157956	198689	194093	229830	295821	274281	271519	300392		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
57	"Carpets and other textile floor coverings"	9130	12221	18454	20238	28624	35444	53064	55677	26840	26777	23358	26623	25575	29885	22055	26172	25898		18102	25067	30251	41838	54535	69947	89568	96476	62125	59796	61133	62501	66781	65911	66490	84501	93036		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
64	"Footwear, gaiters and the like; parts of such articles"	1861	2704	5096	5922	10128	15389	26291	25134	9580	10747	10330	9417	11971	12555	15190	21583	27400		247663	283188	348048	387782	430085	490362	642424	738227	563728	628910	825106	701055	787150	903520	731353	836658	1019639		126116	131397	183788	204917	215793	237069	316740	344890	289473	395624	441247	545923	723219	719258	670444	704163	766181	
24	"Tobacco and manufactured tobacco substitutes"	4547	2117	3764	5399	8259	9360	14919	7706	5105	6260	8910	18128	8266	12647	16150	11706	27789		145026	141638	186614	264489	312024	326256	210954	252337	262146	204077	302361	334035	345669	360543	387836	357340	420749		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	11876	20007	26237	32098	37593	43421	54119	66074	52955	40385	23153	21537	26158	25695	24264	28444	28403		294801	356938	491280	601223	686096	800349	972853	1127826	994637	1011827	1203342	1030837	1100547	1147331	1012609	1071314	1124523		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	10700	16222	23807	23618	24097	22255	24838	29889	24257	23013	27373	32867	34777	32895	26431	28609	29710		75830	101928	140240	178707	219452	265408	345066	413694	351680	331811	358220	375012	417441	450284	418752	463169	512358		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	619	2429	11790	11138	24694	61468	68645	121945	25129	66040	25570	46204	9619	9952	13907	23921	34390		1970449	1992290	2619307	3884611	5644356	6909667	7540138	10488994	5083124	6247266	8638163	8558120	7248534	7295177	4489897	4210015	5604457		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	3279	4337	5049	6149	13969	35854	51488	59751	43722	69989	65102	66835	102190	188315	210766	40800	43306		203559	241828	302699	327360	360776	369984	493277	642972	459861	440971	558104	542663	568168	632838	596414	748520	872159		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
74	"Copper and articles thereof"	1746	1990	3872	4114	12304	20325	13696	13697	8951	15860	33807	35423	25311	37194	54442	46097	43816		102198	68877	79715	121036	169836	409167	602484	690338	395256	599834	797032	694530	644963	757371	698731	680148	702989		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
52	"Cotton"	19347	31734	59907	82319	85244	97841	114984	98364	69187	71669	72487	66356	78260	61521	47769	48673	46328		493524	618340	778475	907324	875205	843839	826162	693023	493307	511960	600485	512466	553134	550890	436037	441782	416732		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	762	1681	4262	9332	12583	19823	21881	24478	14835	9882	8937	8978	15114	23914	22625	34344	47985		0	0	0	0	0	103974	0	0	0	0	0	0	0	0	0	0	0		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
55	"Man-made staple fibres"	30104	41661	52982	53096	55417	42660	32807	27532	21411	26793	31916	37151	50894	57475	53000	50368	48419		473678	530392	599412	630376	592259	580853	570847	538046	393153	434500	513725	483873	487597	523215	467305	458698	436690		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
54	"Man-made filaments; strip and the like of man-made textile materials"	8250	14239	23835	34482	38609	44798	67894	66972	56386	50508	50682	46479	60051	64671	58323	55110	48424		386986	437694	494208	567212	562368	558850	640176	584305	499664	555331	687499	683614	695331	772797	701666	717181	734141		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
76	"Aluminium and articles thereof"	5666	5467	11161	18778	28267	39990	54555	63866	33462	37709	53715	44236	43380	46635	41487	37552	50028		116257	128281	183163	274744	340946	479097	660611	752449	471974	635804	771844	759091	882544	982464	945493	927849	1089738		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
83	"Miscellaneous articles of base metal"	3688	6781	11256	15486	24232	39403	58438	65815	36156	39173	41238	43146	47464	54551	55226	51370	53579		98129	132519	194640	241009	292028	384460	518495	582774	444164	504143	562564	578348	690874	737587	670279	746890	891125		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	5914	9252	7141	7153	22079	39807	47891	80527	52555	104933	71010	89310	139595	263058	254302	52868	57205		156595	181092	232025	262700	289951	308757	413208	516257	424072	405926	472664	476178	500589	559546	517737	654641	772441		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	16711	20255	21923	33372	45303	57723	66346	72556	65763	69959	64987	48074	45129	45767	45207	60961	61571		55863	70162	89266	117427	170009	206518	330436	347943	226173	230451	251228	301384	390635	453760	528892	622933	719019		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
40	"Rubber and articles thereof"	1096	1710	3007	6143	13620	33671	67333	60598	42167	54838	77956	61243	59480	64250	50063	57186	62444		165050	236427	359289	476860	587975	779305	1086124	1178815	930689	1248036	1812867	1538364	1499722	1519164	1285668	1345666	1605693		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
60	"Knitted or crocheted fabrics"	10513	16881	25910	41808	64317	79580	99933	72897	61622	81698	81628	83593	93903	94915	70597	71288	64664		128302	144056	171506	194896	202463	200038	276875	275570	225473	262110	315523	306653	330904	345163	281220	286505	275645		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	4749	7683	12456	23236	35131	42773	69318	86985	35420	29780	27308	23344	33722	52884	50709	62925	66204		128047	162526	218295	291943	432282	611004	864730	1080490	609710	560570	679622	639896	721465	814109	785710	909410	1009554		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
07	"Edible vegetables and certain roots and tubers"	12082	9574	15520	15081	24632	27925	54936	48038	42219	57622	42825	25890	19103	34034	33273	54489	73549		22873	25990	47900	50780	68804	93053	193524	217329	158138	191556	202185	204958	245032	304986	303575	403869	455645		375229	319988	473336	485740	533203	706556	861385	952658	1020546	1107483	1070414	966063	1039070	1082368	1040648	941997	1002137	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	24588	34734	57141	105732	104749	134957	235197	155237	86379	97148	106906	107801	101395	102933	96549	117950	148625		1652486	1957432	2639216	3636899	4404956	5531674	7537224	9099274	7886578	10169927	11565552	9953313	11193314	11393540	10583924	11645701	13208744		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
39	"Plastics and articles thereof"	22307	31015	49909	75644	117222	148246	208010	257994	164824	167139	190043	177133	176733	185046	163297	166914	183358		592862	744000	1061138	1427335	1825208	2387983	3026874	3489649	2523023	2935790	3578012	3487462	3844422	4139435	3831863	4079467	4643197		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
73	"Articles of iron or steel"	14536	30335	63603	82189	114201	149234	232874	320761	175119	180082	231760	188054	166551	189466	192482	215465	293065		312679	404331	587831	838406	1140519	1619545	2344456	2774434	1821253	2038980	2431699	2195222	2500706	2476975	2205571	2260198	2625075		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
72	"Iron and steel"	16603	13438	34663	56374	108865	170931	468842	622477	180468	174848	225547	196213	204793	224976	182600	197011	324420		419183	479079	645134	1058212	1364120	1840508	2996090	3955821	1673146	2393544	3334007	2740906	2579675	2790467	2377416	2245938	2938710		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	40560	73155	97368	170376	342159	460639	739106	667342	197269	289553	362372	303591	285345	304605	268711	297416	362368		735060	910309	1236476	2665377	3858619	5530762	8952454	9499454	3450511	4073064	5304596	4921765	5349786	6330545	6150518	7084272	7814728		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	25782	40442	90756	109006	146388	175078	281099	327174	332642	452411	499270	332959	355872	336154	348115	438565	484833		1874079	2134602	3112623	4135235	5058886	6863533	9466403	10251505	6380030	7098976	8785730	8677805	9019264	9805183	9276362	9305054	10454917		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
