Product code	Product label	Turkey's exports to Egypt-Value in 2001	Turkey's exports to Egypt-Value in 2002	Turkey's exports to Egypt-Value in 2003	Turkey's exports to Egypt-Value in 2004	Turkey's exports to Egypt-Value in 2005	Turkey's exports to Egypt-Value in 2006	Turkey's exports to Egypt-Value in 2007	Turkey's exports to Egypt-Value in 2008	Turkey's exports to Egypt-Value in 2009	Turkey's exports to Egypt-Value in 2010	Turkey's exports to Egypt-Value in 2011	Turkey's exports to Egypt-Value in 2012	Turkey's exports to Egypt-Value in 2013	Turkey's exports to Egypt-Value in 2014	Turkey's exports to Egypt-Value in 2015	Turkey's exports to Egypt-Value in 2016	Turkey's exports to Egypt-Value in 2017	Egypt's imports from world- 	Egypt's imports from world-Value in 2001	Egypt's imports from world-Value in 2002	Egypt's imports from world-Value in 2003	Egypt's imports from world-Value in 2004	Egypt's imports from world-Value in 2005	Egypt's imports from world-Value in 2006	Egypt's imports from world-Value in 2007	Egypt's imports from world-Value in 2008	Egypt's imports from world-Value in 2009	Egypt's imports from world-Value in 2010	Egypt's imports from world-Value in 2011	Egypt's imports from world-Value in 2012	Egypt's imports from world-Value in 2013	Egypt's imports from world-Value in 2014	Egypt's imports from world-Value in 2015	Egypt's imports from world-Value in 2016	Egypt's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
95	"Toys, games and sports requisites; parts and accessories thereof"	98	63	61	82	87	907	2726	1162	1040	1274	1975	2541	1622	1492	3011	2288	630		44550	34891	30449	34542	39857	36078	43039	65662	70698	71937	84623	88730	83738	79132	115044	64012	61909		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
23	"Residues and waste from the food industries; prepared animal fodder"	5563	3102	1598	312	1248	45	160	105	2622	1172	7332	1228	1053	904	1073	726	600		370897	350490	309553	319229	252222	168491	269316	226581	308128	406734	731065	807645	922780	1082817	1140625	958466	864427		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
79	"Zinc and articles thereof"	254	112	231	323	86	20	133	82	134	341	1042	1033	2931	3564	2527	1260	588		14381	11424	11439	13092	23171	29363	58773	64040	31526	50962	42172	32252	51057	53549	54083	55444	79157		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
10	"Cereals"	38453	61	0	79	0	2552	102	1758	11651	22261	11099	829	7697	2678	744	502	581		1221266	1409628	1136734	1092814	1624440	1513211	2537259	3103786	2433972	3483899	5452688	5349071	4729381	5052235	4365428	3105216	4407893		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	163	29	0	55	0	0	27	1	35	0	38	0	0	146	525		14884	16316	10163	14050	39672	22971	25236	142648	100265	176820	188838	184194	182669	197751	194928	181394	236867		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
37	"Photographic or cinematographic goods"	137	0	558	304	588	859	526	334	76	227	263	148	197	198	112	73	511		36973	36467	29161	32836	28543	21976	17590	47860	42659	44101	40569	50240	46017	51224	49474	40829	34697		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	107	684	1145	2901	3306	4790	4745	6240	5414	5771	3716	2216	2677	2841	1883	1407	471		4187	2899	4182	6074	3944	3401	4645	17167	23681	17709	35909	53222	66712	55485	74519	57270	51476		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
65	"Headgear and parts thereof"	510	7	4	12	13	936	50	1530	115	175	246	194	231	439	527	509	467		1684	1338	1065	1605	1631	2134	2944	5708	5526	15008	4460	3898	5397	5990	9951	5706	7651		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
22	"Beverages, spirits and vinegar"	54	0	0	159	1	4	131	104	81	226	647	369	208	199	149	205	433		689	634	782	1218	903	1426	8490	40624	29633	66876	57013	74342	87901	59750	46513	25133	29650		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	0	0	120	1996	56	105	1300	3161	835	2019	2386	1951	1875	1133	2486	1582	387		175075	180962	152604	362557	451742	479613	357135	1494412	895105	1023689	2052080	1627488	1620781	1113605	747892	735683	1337260		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
80	"Tin and articles thereof"	0	36	0	0	0	11	13	1	1	49	0	0	24	31	2	133	375		1183	962	1440	1441	2838	1534	930	4592	4269	8337	5535	4031	4567	4850	4718	3523	5264		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
09	"Coffee, tea, maté and spices"	195	621	113	128	259	199	51	190	1248	1355	625	593	2087	736	556	332	213		122016	163693	80306	25914	38026	43084	67161	349583	354537	329529	453696	544737	498527	522054	507874	469242	496454		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
93	"Arms and ammunition; parts and accessories thereof"	15	667	1711	567	1631	1019	204	532	432	2224	4351	3839	6935	41	25	5	198		427	521	257	3321	2367	598	1269	8730	5655	6525	10521	6357	23550	34289	37264	3658	4590		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
75	"Nickel and articles thereof"	0	9	3	1	1	90	21	25	76	79	87	0	372	556	370	497	191		1881	1852	1952	3151	3842	3745	7774	8764	5391	4438	6842	5450	4580	4621	7139	5279	5994		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	11	62	14	16	16	239	855	865	125	78	40	6	22	44	85	65	183		33698	3074	14828	7265	9712	4655	14558	44786	391311	34731	142072	191026	73813	73301	269022	112086	18702		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
81	"Other base metals; cermets; articles thereof"	0	0	0	24	0	0	17	26	4	2	0	0	145	0	0	93	156		971	1373	721	991	2153	1224	1568	12469	4015	5033	6344	8752	6567	4337	5378	5331	9852		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
41	"Raw hides and skins (other than furskins) and leather"	1	3	0	8	16	18	7	110	88	93	83	60	66	443	273	66	138		1464	1167	521	525	1060	659	3490	16933	20445	25914	13742	8424	5208	8983	12167	8465	6001		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
89	"Ships, boats and floating structures"	8146	0	1	23	532	0	185	297	266	5834	4474	8940	81	15073	167	169	132		19342	10573	8197	7946	7207	12523	43705	26308	197307	98190	180105	122991	56530	51825	304089	1082363	50542		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	0	0	4	3	0	35	98	313	69	98	206	220	141	135	173	133	120		12997	14969	7630	8720	12579	15391	11904	25807	23552	43968	32083	34719	31925	25349	29331	23530	28312		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	7	4	51	57	59	19	0	4	15	0	18	96	260	180	0	9	109		1719	2176	1150	2190	2365	1142	1449	2613	3667	2178	3773	3933	4078	3854	4120	2789	2952		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
26	"Ores, slag and ash"	0	24	34	8	8	45	4	21	119	490	324	84	474	2070	38	131	47		90649	100782	87572	149646	197001	143234	255871	641275	493728	563139	967500	739132	706340	561339	270663	249427	873437		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	468	0	0	0	0	0	44	0	0	0	0	0	37	123	127	71	39		45607	33614	32601	28455	51958	62382	60287	122200	97999	125317	142803	270617	187023	193309	216398	193545	104517		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
88	"Aircraft, spacecraft, and parts thereof"	0	0	0	0	1	1	2	38	15	184	738	576	71	125	45	66	35		87	2323	167	72	134	99	170	1970	920	7974	137	2485	35463	65815	1397	545	310		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
91	"Clocks and watches and parts thereof"	6	11	4	31	29	32	40	69	113	86	50	39	64	94	58	45	34		16708	12657	25163	10444	12316	9039	9991	27145	31994	37328	36686	29838	28421	31265	39138	15920	20251		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
78	"Lead and articles thereof"	0	0	0	1	24	0	0	293	64	38	46	71	96	34	828	26	25		4673	4146	4684	4278	4301	2867	4641	23731	25310	17034	19752	29657	18798	26255	25180	24710	23128		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
45	"Cork and articles of cork"	0	0	0	2	1	9	4	1	0	7	0	0	0	1	2	2	23		531	1489	689	1148	877	856	4688	1129	1811	1154	924	1338	1034	839	839	519	737		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	102	22	0	47	0	0	0	38	2	0	0	1	9	0	0	0	4		92161	65026	61166	97728	90449	104318	165999	269676	377961	385909	403172	531686	434566	562359	562855	422214	567229		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	0	0	0	0	0	0	0	0	0	3	1	2	1	7	2	0	3		644	448	473	479	724	1035	504	755	568	885	685	682	651	758	745	585	543		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	1	1	2	0	0	0	13	1	0	2	1	5	6	2	12	81	2		2008	2604	1252	1522	2234	1814	2432	3028	3357	3900	4277	4642	4400	4869	5375	4581	2422		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	0	0	0	0	0	3	0	0	1	0	30	0	1	2	1	11	1		330	389	368	392	324	247	349	819	670	727	1000	589	975	1542	1593	894	921		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
50	"Silk"	0	0	0	2	2	0	4	4	1	7	2	11	20	0	30	41	0		380	1255	673	758	819	478	483	857	1529	478	300	361	291	202	218	110	7163		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
05	"Products of animal origin, not elsewhere specified or included"	125	30	0	119	0	24	214	27	393	481	649	860	235	1468	455	66	0		745	981	2811	12489	14705	2267	2083	41295	30379	30106	26264	23763	25075	40218	30116	27795	36573		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	0	0	0	58	1	0	0	1	0	18	0	0	0	0	0	4	0		1119	2441	1008	805	400	1111	1454	1738	3867	1976	1886	2270	1768	1792	1642	1615	1941		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
01	"Live animals"	0	0	0	0	0	0	0	0	6573	2898	219	0	0	0	0	0	0		173726	109802	29697	8474	30745	28415	34959	26126	60576	192245	101800	117635	80270	134950	165934	147428	138162		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
02	"Meat and edible meat offal"	0	0	0	0	0	0	0	0	0	18	276	309	0	0	0	0	0		160759	225696	185965	197807	317519	495663	581571	614151	577082	1009159	947386	1355711	1214163	1622832	2013832	1411738	1552190		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
13	"Lac; gums, resins and other vegetable saps and extracts"	0	0	2	0	15	43	35	38	144	104	86	177	210	47	77	29	0		5732	5754	5452	4696	7218	6030	7478	18188	15234	15618	21967	23812	28457	22078	22884	19960	18671		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	187	189	130	191	105	58	0	1	2	20	19	0	0	0	51	0	0		3974	5497	4408	4012	12237	3953	3308	9865	8308	8796	6845	9101	5901	10987	8303	9685	4667		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
92	"Musical instruments; parts and accessories of such articles"	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0		717	803	541	1500	1082	1231	884	1700	2086	1764	1616	2112	1724	1609	2201	1876	1734		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
97	"Works of art, collectors' pieces and antiques"	0	0	0	0	1	2	0	0	0	0	0	6	6	0	0	0	0		24991	209	17	31	67	76	9629	3466	586	739	160	385	25717	115	1679	413	416		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
