Product code	Product label	Turkey's exports to Egypt-Value in 2001	Turkey's exports to Egypt-Value in 2002	Turkey's exports to Egypt-Value in 2003	Turkey's exports to Egypt-Value in 2004	Turkey's exports to Egypt-Value in 2005	Turkey's exports to Egypt-Value in 2006	Turkey's exports to Egypt-Value in 2007	Turkey's exports to Egypt-Value in 2008	Turkey's exports to Egypt-Value in 2009	Turkey's exports to Egypt-Value in 2010	Turkey's exports to Egypt-Value in 2011	Turkey's exports to Egypt-Value in 2012	Turkey's exports to Egypt-Value in 2013	Turkey's exports to Egypt-Value in 2014	Turkey's exports to Egypt-Value in 2015	Turkey's exports to Egypt-Value in 2016	Turkey's exports to Egypt-Value in 2017	Egypt's imports from world- 	Egypt's imports from world-Value in 2001	Egypt's imports from world-Value in 2002	Egypt's imports from world-Value in 2003	Egypt's imports from world-Value in 2004	Egypt's imports from world-Value in 2005	Egypt's imports from world-Value in 2006	Egypt's imports from world-Value in 2007	Egypt's imports from world-Value in 2008	Egypt's imports from world-Value in 2009	Egypt's imports from world-Value in 2010	Egypt's imports from world-Value in 2011	Egypt's imports from world-Value in 2012	Egypt's imports from world-Value in 2013	Egypt's imports from world-Value in 2014	Egypt's imports from world-Value in 2015	Egypt's imports from world-Value in 2016	Egypt's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	6061	6717	7719	10682	15760	15135	21405	35261	29135	43591	56201	65861	66897	87580	76702	68052	70186		143640	145756	116045	121201	104321	196243	99489	393797	271773	336964	324885	377342	365691	384126	372344	316549	495489		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
76	"Aluminium and articles thereof"	2255	2365	2053	3145	7100	10356	16778	18757	21646	27018	19241	29562	40233	57246	64167	55251	67877		34770	38128	26797	33191	44487	52450	80892	253906	195488	255485	280239	317643	399538	342725	454451	348209	361562		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
40	"Rubber and articles thereof"	7278	7418	12572	8492	17142	17406	20181	37999	37164	49472	41225	67265	67326	78325	65339	60319	55492		125787	147743	133072	150211	204321	190052	220076	638255	519985	666930	816809	991523	974027	974556	899192	770803	778692		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
54	"Man-made filaments; strip and the like of man-made textile materials"	30111	19100	15935	34475	27242	10599	9576	14179	18522	43033	42604	42552	54850	63380	66707	41443	48885		97547	106172	130126	156959	197975	172143	210264	711115	576415	624130	790590	789832	907482	840696	940433	752138	944787		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
60	"Knitted or crocheted fabrics"	1247	1671	1396	1332	3275	9938	9210	17532	19850	24086	22728	22381	22718	28959	28975	31518	45185		893	437	480	372	840	893	1369	24566	34313	32717	92801	93090	126543	122128	193093	159757	191809		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	1854	932	1251	2242	2324	4934	4904	5844	9014	7908	12317	29733	42760	34474	28128	37729	39825		12779	15741	12039	14505	24834	15716	13296	72448	82962	91908	115427	127458	141538	135601	146478	155537	157558		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
55	"Man-made staple fibres"	8135	12134	11014	38040	43261	49770	45666	53788	50070	54484	36495	47537	41094	52935	40584	33820	39158		70761	65758	68093	116551	109810	97195	102708	382537	339933	472055	486245	457321	514572	576244	620236	466956	728042		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	26488	10929	4267	5165	8170	10463	15812	21666	31230	36629	38377	55363	58848	68134	70665	54685	35317		841	423	1175	1253	10981	45481	40490	313283	352456	516704	336545	385009	443031	814808	1045228	456654	332729		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
25	"Salt; sulphur; earths and stone; plastering materials, lime and cement"	6751	4841	4326	4750	6136	8566	7862	16779	91660	109416	47926	37603	37698	69146	34067	32337	34324		54881	35187	16809	33684	32802	26847	48890	324230	265181	349743	244987	230990	307864	527786	266951	151707	200605		536920	598409	732669	917980	1124129	1154984	1453815	2279827	2164536	2509673	2465459	2480760	2746094	2548072	2252947	2174499	2573426	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	2792	679	1006	1908	2558	3374	5805	9717	11416	11407	10497	21029	29238	40080	51756	50892	32316		950	404	352	755	1635	11295	6936	25760	35728	49423	42058	34572	55830	65285	129060	77798	81703		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
