Product code	Product label	Turkey's exports to Netherlands-Value in 2001	Turkey's exports to Netherlands-Value in 2002	Turkey's exports to Netherlands-Value in 2003	Turkey's exports to Netherlands-Value in 2004	Turkey's exports to Netherlands-Value in 2005	Turkey's exports to Netherlands-Value in 2006	Turkey's exports to Netherlands-Value in 2007	Turkey's exports to Netherlands-Value in 2008	Turkey's exports to Netherlands-Value in 2009	Turkey's exports to Netherlands-Value in 2010	Turkey's exports to Netherlands-Value in 2011	Turkey's exports to Netherlands-Value in 2012	Turkey's exports to Netherlands-Value in 2013	Turkey's exports to Netherlands-Value in 2014	Turkey's exports to Netherlands-Value in 2015	Turkey's exports to Netherlands-Value in 2016	Turkey's exports to Netherlands-Value in 2017	Netherlands's imports from world- 	Netherlands's imports from world-Value in 2001	Netherlands's imports from world-Value in 2002	Netherlands's imports from world-Value in 2003	Netherlands's imports from world-Value in 2004	Netherlands's imports from world-Value in 2005	Netherlands's imports from world-Value in 2006	Netherlands's imports from world-Value in 2007	Netherlands's imports from world-Value in 2008	Netherlands's imports from world-Value in 2009	Netherlands's imports from world-Value in 2010	Netherlands's imports from world-Value in 2011	Netherlands's imports from world-Value in 2012	Netherlands's imports from world-Value in 2013	Netherlands's imports from world-Value in 2014	Netherlands's imports from world-Value in 2015	Netherlands's imports from world-Value in 2016	Netherlands's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
78	"Lead and articles thereof"	18	4	0	0	0	56	0	0	10	58	73	75	75	138	183	222	136		33247	40401	66417	103477	69130	73853	129533	80732	68876	85560	96850	78474	92424	77556	66087	92638	90145		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	638	574	887	771	107	59	50	1	3	0	163	13	17	61	87	209	250		1709822	1832994	2332824	2564297	2616859	2745307	3485574	3441604	2742350	3131340	4273354	4063617	4606880	4621967	3843900	3839835	4506518		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	877	794	1402	1550	1544	1283	661	975	665	1027	1768	1474	1065	620	434	572	287		20524	19647	25068	22284	19794	24184	33260	43827	30244	44128	60412	80597	56684	51347	65447	56028	62278		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
92	"Musical instruments; parts and accessories of such articles"	27	39	90	103	166	159	242	281	322	302	393	293	236	354	301	386	294		71267	82397	81085	120462	122917	149353	132706	142645	138341	149630	184783	183385	247660	270610	270507	266747	222585		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
93	"Arms and ammunition; parts and accessories thereof"	21	2446	880	41	10	61	1526	26457	109	72	118	272	191	295	389	505	508		10406	10481	5916	133757	171919	178673	186498	287854	316692	252832	182358	105762	147148	120530	123858	155090	213208		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	604	565	1384	1673	1345	1682	1750	1990	932	745	465	893	731	907	484	381	517		79430	83455	90395	98502	64334	61390	65970	60731	40436	40148	63433	65992	73401	87807	82884	80399	97005		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
35	"Albuminoidal substances; modified starches; glues; enzymes"	269	15	54	27	17	97	23	318	135	56	187	162	125	159	585	437	680		409763	427870	521528	594085	601589	678451	824535	794513	675520	652245	867242	839653	1075149	1157804	1068155	1130118	1225579		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	272	195	1409	1757	1240	1084	1317	1351	830	1166	1068	756	599	948	468	460	689		32710	41239	54800	67266	58020	59603	71617	80281	56213	69221	79370	78338	74666	65791	62863	77545	73829		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
23	"Residues and waste from the food industries; prepared animal fodder"	0	4	0	0	0	0	0	32	2	0	0	61	455	503	2322	1475	728		1180448	1271303	1455924	1707194	1693263	1804052	2372481	3664849	3096634	3392978	4429937	4788443	5654713	5131322	3983922	3402035	3493910		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
75	"Nickel and articles thereof"	32	2	34	3	53	50	768	21	836	1413	780	449	545	930	83	189	747		40279	427245	694506	999809	1226311	1380040	2341004	1167752	536509	1208295	1403791	1097362	2053909	2363622	1900876	1314185	1432413		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
95	"Toys, games and sports requisites; parts and accessories thereof"	971	190	225	355	196	842	710	1493	458	255	351	556	1112	939	753	480	869		1640291	1070637	1334023	1441221	1591044	1831956	2032548	5375932	3817207	3645932	2955756	2103535	4036240	5217947	5195172	4981527	5481302		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
81	"Other base metals; cermets; articles thereof"	96	1	23	99	43	13	282	213	57	182	1196	1359	149	232	821	260	1054		110410	93869	118267	178057	238707	291342	417372	416407	238685	402111	447308	359119	838054	790767	755873	738070	1111881		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
91	"Clocks and watches and parts thereof"	14	32	16	18	52	101	230	260	169	130	289	193	389	901	5033	2198	1276		190021	174372	201784	219066	218851	231488	283070	303818	254574	280453	395156	423094	533706	622408	672650	737903	763774		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
65	"Headgear and parts thereof"	141	272	314	259	418	406	414	453	296	340	418	413	446	402	338	382	1378		66137	60929	63595	79114	88447	101999	113483	127193	127444	133957	193417	182035	231224	284313	274284	304334	330884		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	378	799	135	799	839	794	361	677	359	905	430	937	1480	838	1137	1123	1535		179290	185368	276068	293779	221584	221523	356929	537871	507702	504438	828661	898859	990326	868008	800145	814487	919429		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	764	1084	1410	1758	1813	1764	2574	2648	2490	2666	3226	2576	2430	2061	1712	1402	1739		567901	595949	721716	789887	781632	915181	1016949	1156186	1009768	1007399	1270421	1182627	1205122	1032196	1032248	1086234	1132110		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
43	"Furskins and artificial fur; manufactures thereof"	1132	2272	3341	2765	1848	2826	1516	1002	413	2132	1688	1483	1280	825	636	1804	1759		35187	38694	40219	40953	35616	34423	38359	39159	24523	31633	48944	51024	74481	92514	64757	37144	49506		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
99	"Commodities not elsewhere specified"	413	26	566	1809	4560	5703	3515	5139	3581	4043	7576	4071	3093	5318	4409	3842	1813		31509391	30843814	25066666	26410022	27456436	27241065	31052003	37334911	30031751	31068705	409903	337678	198296	110905	142086	145288	202249		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	191	193	300	742	1385	1673	988	2369	964	580	1153	1908	3632	3893	3038	2328	1905		884522	1016822	1261519	1455119	1482807	1782991	2179176	2305295	1996535	2167115	2745686	2600481	3012670	2976517	2429374	2539794	2931701		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
18	"Cocoa and cocoa preparations"	376	171	299	2752	1971	661	1199	1376	2838	2242	2510	2432	3187	2946	1886	1668	3085		953791	1166711	1795165	1615598	1742888	1672828	2214439	2827232	3125804	3203181	4183098	3303094	3690798	4347563	4444505	4948588	4868716		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
30	"Pharmaceutical products"	637	1511	564	2673	8473	3501	4251	17351	8068	16094	3928	2626	2890	3428	1518	2916	3833		4209818	5388929	6124257	8902826	10235906	11788668	15368438	23234576	25006871	25680538	13259373	17007303	19448356	22755617	20969318	22119985	23551515		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
44	"Wood and articles of wood; wood charcoal"	245	352	520	367	517	503	561	693	863	732	1054	1360	1970	1833	2311	1979	4003		1667538	1665509	1988304	2383297	2333170	2885808	3646071	3731402	2670203	2780522	3640338	3138310	3123967	3438830	3156536	3284399	3633455		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	7021	7619	8462	9483	9804	5277	4813	5623	4377	4664	6506	4934	4833	5514	3432	3194	4308		69476	72367	92169	94201	80705	84788	84542	79122	65821	55678	72566	64034	69115	80121	69585	76911	93518		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
