Product code	Product label	Turkey's exports to Bulgaria-Value in 2001	Turkey's exports to Bulgaria-Value in 2002	Turkey's exports to Bulgaria-Value in 2003	Turkey's exports to Bulgaria-Value in 2004	Turkey's exports to Bulgaria-Value in 2005	Turkey's exports to Bulgaria-Value in 2006	Turkey's exports to Bulgaria-Value in 2007	Turkey's exports to Bulgaria-Value in 2008	Turkey's exports to Bulgaria-Value in 2009	Turkey's exports to Bulgaria-Value in 2010	Turkey's exports to Bulgaria-Value in 2011	Turkey's exports to Bulgaria-Value in 2012	Turkey's exports to Bulgaria-Value in 2013	Turkey's exports to Bulgaria-Value in 2014	Turkey's exports to Bulgaria-Value in 2015	Turkey's exports to Bulgaria-Value in 2016	Turkey's exports to Bulgaria-Value in 2017	Bulgaria's imports from world- 	Bulgaria's imports from world-Value in 2001	Bulgaria's imports from world-Value in 2002	Bulgaria's imports from world-Value in 2003	Bulgaria's imports from world-Value in 2004	Bulgaria's imports from world-Value in 2005	Bulgaria's imports from world-Value in 2006	Bulgaria's imports from world-Value in 2007	Bulgaria's imports from world-Value in 2008	Bulgaria's imports from world-Value in 2009	Bulgaria's imports from world-Value in 2010	Bulgaria's imports from world-Value in 2011	Bulgaria's imports from world-Value in 2012	Bulgaria's imports from world-Value in 2013	Bulgaria's imports from world-Value in 2014	Bulgaria's imports from world-Value in 2015	Bulgaria's imports from world-Value in 2016	Bulgaria's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	3451	1461	5481	11184	11623	11231	9670	8051	4013	3691	2894	4254	4484	3256	2485	2127	2426		90676	103731	156109	198437	220849	241298	266688	254889	143045	162379	240636	208511	221484	246361	222693	222189	250715		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	306	312	744	1387	2262	2190	2563	4037	1718	1510	1669	2385	2044	2634	2166	2277	2415		16803	21181	31763	44065	54351	65127	94865	122452	66487	70824	83984	81072	88461	101096	93711	97113	110811		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
93	"Arms and ammunition; parts and accessories thereof"	18	71	101	265	804	1379	2377	4080	1984	1528	1423	1485	1228	2076	1058	1389	2226		0	0	0	0	73	30	96	255	84	56	82	78	66	65	30	63	59		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
43	"Furskins and artificial fur; manufactures thereof"	45	4	13	378	301	1256	137	170	162	146	60	63	510	111	110	3393	2100		1825	2431	2060	1581	2661	3803	5677	5059	2546	4230	6054	4405	5927	4333	1868	3934	6412		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	2	7	18	0	3	5	221	1626	1973	2888	2880	599	933	631	1089	1686	1902		10227	10423	15144	15341	19468	27031	30029	51256	49970	52658	59537	58309	67593	74738	79075	83102	103172		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	8	18	171	138	199	577	1330	1036	1240	1066	1357	901	1440	1510	1628	2112	1893		5544	5260	6640	9518	16144	24348	26905	30718	19953	18997	21731	20034	20473	22664	20890	27227	34551		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	323	29	228	743	846	763	600	1225	369	616	963	933	659	858	790	678	1053		19306	20002	26014	26880	28737	30776	30516	21270	12466	15089	15709	12084	8523	10643	9840	10234	9980		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
78	"Lead and articles thereof"	25	31	63	430	125	172	196	11	16	54	159	187	104	1624	265	132	1024		2570	2074	1645	6191	11394	14916	46658	47602	30817	39750	60220	48344	75400	63760	46771	68700	76381		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
50	"Silk"	0	0	1	85	14	28	35	40	57	58	63	114	33	95	46	132	728		2649	2835	5628	5243	9399	9304	12460	14272	12003	12372	14132	12037	15934	13739	11548	11342	15652		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	36	108	122	511	120	123	667	1012	392	274	436	517	386	322	340	756	719		12665	13407	18963	24172	34170	40052	49505	49868	40841	48523	45765	36812	40865	38369	37631	39428	38348		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
89	"Ships, boats and floating structures"	4	119	300	21296	1438	2742	2860	1944	1661	94	137	891	1052	463	2050	416	688		17704	10088	7119	17606	157532	66507	62384	103098	38827	20696	10231	29980	16835	50597	12356	14368	33280		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
37	"Photographic or cinematographic goods"	5	4	181	161	163	137	154	154	101	74	108	94	335	285	433	165	422		10748	11935	17086	19787	19368	25086	31336	26209	19265	14922	17746	18067	17644	15040	15308	15475	15012		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
65	"Headgear and parts thereof"	6	10	45	60	70	101	164	308	70	155	179	216	332	138	120	431	376		731	1375	1761	2253	2983	4041	5346	7285	4475	4180	5066	4593	6009	7188	5900	6699	9108		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
09	"Coffee, tea, maté and spices"	76	116	219	226	436	278	340	161	175	501	329	196	158	156	153	386	373		15562	15013	21110	24155	32363	38844	52285	98975	89748	94028	112130	129380	125412	132155	140027	139849	155660		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
05	"Products of animal origin, not elsewhere specified or included"	61	29	18	0	0	14	277	344	259	249	224	127	122	148	121	369	304		2964	2780	3606	4717	7177	11831	14269	18087	16066	15771	17964	13706	18861	20922	14249	14608	19288		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
81	"Other base metals; cermets; articles thereof"	0	50	45	27	743	55	92	13	3	4	19	17	247	33	28	199	204		2396	3847	5847	7335	8727	12535	13594	13367	6171	8679	11829	11720	9269	8333	8227	11182	13063		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
23	"Residues and waste from the food industries; prepared animal fodder"	10	91	242	193	159	33	111	79	70	89	235	65	154	85	186	192	143		28363	35245	36351	46071	59089	70354	102447	121318	111631	105688	131639	133920	149536	160542	138820	140641	144034		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	759	546	413	355	413	163	148	296	171	251	146	121	165	201	232	192	140		2754	1838	1953	3002	1929	1629	2470	4176	3036	2810	2488	2639	3622	2979	2394	3395	3181		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
91	"Clocks and watches and parts thereof"	21	7	48	69	69	92	196	148	50	52	50	188	33	171	97	185	115		2537	4341	5878	6759	7874	9852	19247	25546	12589	16727	20413	29515	36827	28815	28484	34351	39784		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
10	"Cereals"	40	0	12	0	45	102	17	87	95	31	125	15	143	55	35	8	97		23253	21839	34572	72638	12658	18139	98619	114446	72768	71393	88287	81001	80437	90416	76895	69244	135302		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
13	"Lac; gums, resins and other vegetable saps and extracts"	33	6	4	0	4	12	11	16	9	11	9	25	14	36	36	108	92		1811	2429	4803	5161	4676	5300	5670	13633	11700	6474	10079	11173	13435	10823	10856	9312	18214		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
99	"Commodities not elsewhere specified"	2	3	128	303	272	1953	332	320	278	187	143	58	47	140	240	114	90		1303631	1461079	1700555	2076254	3002690	4179507	420889	535939	503224	351207	246272	249655	329955	359448	438130	470270	614654		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	4	13	178	152	243	269	192	155	291	386	226	77	7	14	29	21	87		1603	1802	2644	2120	2008	2270	4120	7023	3813	3341	3216	3519	4918	4750	3658	4071	3999		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
79	"Zinc and articles thereof"	8	21	30	13	44	50	51	421	148	21	8	543	461	18	573	195	76		2594	3186	4777	5890	3881	16099	17410	15895	5536	8615	15522	21453	11403	19639	15617	9566	22375		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	111	34	0	0	8	198	0	0	0	0	0	0	42	103	156	83	61		5616	6129	8611	8537	6330	6994	15853	28987	33861	38808	51551	54208	67116	64803	49497	52792	57975		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	16	38	20	0	1577	963	221	1916	192	150	15	42	39658	36	45	35	50		8923	6751	11956	14894	69091	91953	86492	177284	190166	74084	51409	157810	159184	96579	58593	71268	52089		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	0	0	1	0	7	7	44	6	4	1	5	0	2	10	28	32	47		304	361	489	573	818	880	1430	1899	1498	1197	1758	2089	2089	2103	2073	1801	1967		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
75	"Nickel and articles thereof"	8	21	2	64	86	12	24	75	14	26	50	496	26	50	17	67	26		1560	1184	3445	7031	9586	17061	32255	31581	15088	20504	25321	16112	29099	15356	11795	10977	11771		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
92	"Musical instruments; parts and accessories of such articles"	0	0	2	1	0	14	39	49	1	3	14	4	3	0	1	3	21		851	921	1279	1173	1439	1905	2941	4559	2506	2477	3152	3524	3340	3119	3492	3411	3503		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	0	0	286	4	17	34	79	31	17	6	5	5	8	37	41	31	21		223	341	359	654	837	1019	1654	1967	1589	1546	1140	1061	1121	1242	1298	1101	1408		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
45	"Cork and articles of cork"	0	0	0	0	0	0	2	5	4	4	29	48	23	32	43	24	18		5532	5340	5299	5341	6222	5549	6693	6843	4485	3793	4863	4106	3977	3773	3127	3035	4416		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
01	"Live animals"	6	0	2	16	410	26	31	67	52	42	29	21	30	50	14	24	17		3783	3763	6475	19481	30465	38383	45968	53349	39338	46345	94151	28472	24961	32368	26597	26009	44159		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	6	1	491	13141	50	113	69	3	1	20	8	10	21	15	13	13	10		4062	4053	5550	22677	11487	14897	24401	28429	23506	18742	23927	45124	46059	46136	38070	37950	36888		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	0	0	0	1	1	3	4	5	1	1	0	3	0	0	0	6	7		94	102	78	220	148	173	622	595	328	387	570	475	863	466	786	816	299		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
80	"Tin and articles thereof"	0	0	1	0	0	0	1	14	40	497	0	13	80	0	0	4	3		699	678	596	692	940	3220	2890	3590	2418	3107	7677	4488	9353	4768	4465	3855	6885		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
97	"Works of art, collectors' pieces and antiques"	1	0	1	0	0	0	7	2	0	4	63	31	6	10	3	10	0		208	196	425	562	359	650	1231	2862	567	2159	866	455	324	278	1778	1577	535		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
02	"Meat and edible meat offal"	1104	416	218	245	584	0	0	0	0	0	0	0	0	0	23	0	0		38008	53946	62095	91355	128554	165673	240941	404343	397973	389536	542660	519668	434702	488380	378026	375638	426603		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	57	75	772	971	1540	0	0	0	0	1	0	0	0	0	0	0	0		12534	15647	28023	38748	36391	44595	86220	143922	124665	172840	216879	220120	289634	260962	215920	223020	274050		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
24	"Tobacco and manufactured tobacco substitutes"	0	72	87	0	213	794	893	1183	940	835	105	7863	1066	5333	1789	3362	0		29223	31840	26383	41768	22402	30390	114080	187084	204733	197316	214175	230209	267315	243331	196724	202970	211994		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	25	19	5	39	208	118	113	14	36	5	2	0	0	0	0		8737	9734	13205	16923	17777	11292	22800	18091	9261	10546	23044	19258	29403	22589	16791	23059	17342		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
