Product code	Product label	Turkey's exports to Bulgaria-Value in 2001	Turkey's exports to Bulgaria-Value in 2002	Turkey's exports to Bulgaria-Value in 2003	Turkey's exports to Bulgaria-Value in 2004	Turkey's exports to Bulgaria-Value in 2005	Turkey's exports to Bulgaria-Value in 2006	Turkey's exports to Bulgaria-Value in 2007	Turkey's exports to Bulgaria-Value in 2008	Turkey's exports to Bulgaria-Value in 2009	Turkey's exports to Bulgaria-Value in 2010	Turkey's exports to Bulgaria-Value in 2011	Turkey's exports to Bulgaria-Value in 2012	Turkey's exports to Bulgaria-Value in 2013	Turkey's exports to Bulgaria-Value in 2014	Turkey's exports to Bulgaria-Value in 2015	Turkey's exports to Bulgaria-Value in 2016	Turkey's exports to Bulgaria-Value in 2017	Bulgaria's imports from world- 	Bulgaria's imports from world-Value in 2001	Bulgaria's imports from world-Value in 2002	Bulgaria's imports from world-Value in 2003	Bulgaria's imports from world-Value in 2004	Bulgaria's imports from world-Value in 2005	Bulgaria's imports from world-Value in 2006	Bulgaria's imports from world-Value in 2007	Bulgaria's imports from world-Value in 2008	Bulgaria's imports from world-Value in 2009	Bulgaria's imports from world-Value in 2010	Bulgaria's imports from world-Value in 2011	Bulgaria's imports from world-Value in 2012	Bulgaria's imports from world-Value in 2013	Bulgaria's imports from world-Value in 2014	Bulgaria's imports from world-Value in 2015	Bulgaria's imports from world-Value in 2016	Bulgaria's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
54	"Man-made filaments; strip and the like of man-made textile materials"	4974	6940	14137	16867	20098	28773	34852	31575	18045	27811	34065	30137	31667	32865	43184	93673	102018		103772	116351	152024	166230	160822	170645	200109	179446	135436	153526	182380	177128	197393	209488	182912	196367	204392		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
27	"Mineral fuels, mineral oils and products of their distillation; bituminous substances; mineral ..."	952	1331	3764	6386	6555	23973	97232	65926	34822	23246	14309	5849	4809	6081	11990	21317	90325		365043	269696	427641	570255	972689	1229334	5983984	8086319	4703069	5620921	7486997	8147844	7914177	6954921	4567163	3593348	4835272		444700	683159	980133	1429186	2641145	3567425	5147932	7531776	3921300	4469479	6539030	7708169	6724654	6111840	4518440	3211455	4325262	
40	"Rubber and articles thereof"	2190	3063	4809	6956	9319	17237	24526	23935	20294	29481	41435	48733	82202	104778	70669	77646	85457		64979	76693	107607	141414	176837	214031	300943	386923	231167	265411	339039	341812	364677	376754	342863	353244	395370		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
55	"Man-made staple fibres"	12157	15959	26325	34431	40036	45149	46686	52721	40065	56400	69495	58282	63195	55216	53319	101671	84889		135926	154031	191269	217837	203543	213443	239718	228041	155818	167259	200059	189912	213098	235161	204989	215524	227748		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	2111	2730	3621	5588	11450	19674	15050	20998	7264	8856	11758	19829	18135	12795	20380	70634	75782		31753	44710	58339	66773	73688	79047	81309	69642	51643	55588	66968	59690	62266	63757	53798	57280	57898		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
73	"Articles of iron or steel"	7984	12869	20895	37274	63244	72343	107622	111724	50051	40364	46733	56489	53751	51178	49892	60539	74888		93367	110503	157791	259230	331078	453248	659190	800112	433776	471508	520158	578559	690907	1236253	591472	736839	677118		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	1247	6194	10539	7830	11638	49107	28358	24457	15223	30632	24727	24682	29389	30041	22909	107763	62606		61184	85551	131395	150868	170153	194900	237982	277663	202914	212871	233430	210580	241957	276024	245040	291132	282536		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	12718	17973	28723	33615	42343	47112	60638	64507	45453	45757	47003	36144	39341	40490	38850	47254	53619		166692	179999	220817	257867	287598	331821	445042	533784	434826	442665	515842	462751	482959	505442	452676	465785	496689		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
76	"Aluminium and articles thereof"	3963	4605	11402	20416	30648	54961	89447	94991	60084	68101	71506	82893	74625	80353	70050	46032	52638		91001	105595	144890	198496	237481	400230	523297	503662	334981	391318	461617	415397	441104	438389	453969	435085	522667		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
52	"Cotton"	16640	19521	35530	43867	60619	56997	47528	48113	43993	33102	35440	33928	47048	46988	38938	63775	48364		161825	185936	254139	290797	276533	296614	314439	286255	201318	213752	261537	224932	236115	234870	189045	185825	181122		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
