Product code	Product label	Turkey's exports to Iraq-Value in 2001	Turkey's exports to Iraq-Value in 2002	Turkey's exports to Iraq-Value in 2003	Turkey's exports to Iraq-Value in 2004	Turkey's exports to Iraq-Value in 2005	Turkey's exports to Iraq-Value in 2006	Turkey's exports to Iraq-Value in 2007	Turkey's exports to Iraq-Value in 2008	Turkey's exports to Iraq-Value in 2009	Turkey's exports to Iraq-Value in 2010	Turkey's exports to Iraq-Value in 2011	Turkey's exports to Iraq-Value in 2012	Turkey's exports to Iraq-Value in 2013	Turkey's exports to Iraq-Value in 2014	Turkey's exports to Iraq-Value in 2015	Turkey's exports to Iraq-Value in 2016	Turkey's exports to Iraq-Value in 2017	Iraq's imports from world- 	Iraq's imports from world-Value in 2001	Iraq's imports from world-Value in 2002	Iraq's imports from world-Value in 2003	Iraq's imports from world-Value in 2004	Iraq's imports from world-Value in 2005	Iraq's imports from world-Value in 2006	Iraq's imports from world-Value in 2007	Iraq's imports from world-Value in 2008	Iraq's imports from world-Value in 2009	Iraq's imports from world-Value in 2010	Iraq's imports from world-Value in 2011	Iraq's imports from world-Value in 2012	Iraq's imports from world-Value in 2013	Iraq's imports from world-Value in 2014	Iraq's imports from world-Value in 2015	Iraq's imports from world-Value in 2016	Iraq's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
88	"Aircraft, spacecraft, and parts thereof"	0	0	0	0	28	0	1	14	875	791	596	26680	3780	143	322	1008	4656															9385	548012	118152	427904		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	0	0	38	35	312	412	1083	1593	1195	3319	9522	9081	8329	6617	5483	3854	4961															1817	13225	20491	13336		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	0	0	53	17	27	57	154	100	124	91	4575	7833	13909	13601	7646	10564	5842															66459	11358	159842	17545		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
74	"Copper and articles thereof"	0	0	639	2177	2247	3398	5467	6225	10286	8339	20915	20988	23256	14930	9671	4798	5959															74147	33122	35347	24424		201846	183964	240312	382127	511132	815296	880253	1157409	597029	1063476	1391376	1384008	1456674	1427549	1169216	1114156	1441815	
55	"Man-made staple fibres"	0	0	801	3368	2841	4823	2183	9869	19658	10203	8676	8938	7599	5767	5758	4657	7281															2425	135124	149857	99571		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	0	0	1763	3374	4804	2691	2216	3204	5080	6425	9018	10986	15131	17527	12421	9313	7912															239169	42356	46681	27177		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
95	"Toys, games and sports requisites; parts and accessories thereof"	0	0	988	1345	1223	1868	3187	5095	7075	7819	11010	9132	12861	11915	7566	6848	9546															11710	129720	135996	205682		15516	15652	21404	25130	26937	35589	52723	67504	52004	65858	81281	98430	118787	129286	117718	107890	124895	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	0	0	1319	520	668	2437	3080	2583	3147	6517	10014	13786	7355	6716	6527	11937	10941															39916	112939	139979	119881		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
82	"Tools, implements, cutlery, spoons and forks, of base metal; parts thereof of base metal"	0	0	1413	3338	5045	8816	14940	8370	8916	12223	11973	16291	26823	24964	19653	12763	11170															43605	202894	182502	193304		25515	26825	41977	53867	65850	91770	127028	133115	115286	158685	179685	179016	221376	267818	246742	213859	243668	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	0	0	67	274	355	301	439	567	927	2386	3184	3422	6211	5471	5689	6207	11395															13828	67740	85643	38328		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
42	"Articles of leather; saddlery and harness; travel goods, handbags and similar containers; articles ..."	0	0	238	435	587	832	885	1613	2837	2653	3464	5788	8502	11513	13406	9768	12939															2841	130160	117383	119670		327652	306404	316285	324186	330373	360531	409486	451604	349507	370852	419895	410372	421312	427035	323480	294308	303455	
35	"Albuminoidal substances; modified starches; glues; enzymes"	0	0	258	700	1304	1290	1807	3743	6822	8148	9684	11183	13177	13727	11807	10934	13319															24662	29923	40891	33219		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
60	"Knitted or crocheted fabrics"	0	0	197	356	503	564	737	3305	1759	2009	3965	7377	14722	10064	12261	11169	15112															0	125743	90824	79555		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
54	"Man-made filaments; strip and the like of man-made textile materials"	0	0	791	1547	1251	2613	4307	7300	11173	8010	7726	13079	16245	18547	14079	13069	16302															532	227202	163287	126757		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
69	"Ceramic products"	0	0	1457	6059	9796	12204	9102	9643	18741	33041	56177	81660	72425	58994	26398	18430	17062															79087	286536	560572	268247		325802	392251	503840	640640	683485	692766	823184	868880	675845	787063	882715	954301	1001217	1021550	875413	884909	970157	
