Product code	Product label	Turkey's exports to Poland-Value in 2001	Turkey's exports to Poland-Value in 2002	Turkey's exports to Poland-Value in 2003	Turkey's exports to Poland-Value in 2004	Turkey's exports to Poland-Value in 2005	Turkey's exports to Poland-Value in 2006	Turkey's exports to Poland-Value in 2007	Turkey's exports to Poland-Value in 2008	Turkey's exports to Poland-Value in 2009	Turkey's exports to Poland-Value in 2010	Turkey's exports to Poland-Value in 2011	Turkey's exports to Poland-Value in 2012	Turkey's exports to Poland-Value in 2013	Turkey's exports to Poland-Value in 2014	Turkey's exports to Poland-Value in 2015	Turkey's exports to Poland-Value in 2016	Turkey's exports to Poland-Value in 2017	Poland's imports from world- 	Poland's imports from world-Value in 2001	Poland's imports from world-Value in 2002	Poland's imports from world-Value in 2003	Poland's imports from world-Value in 2004	Poland's imports from world-Value in 2005	Poland's imports from world-Value in 2006	Poland's imports from world-Value in 2007	Poland's imports from world-Value in 2008	Poland's imports from world-Value in 2009	Poland's imports from world-Value in 2010	Poland's imports from world-Value in 2011	Poland's imports from world-Value in 2012	Poland's imports from world-Value in 2013	Poland's imports from world-Value in 2014	Poland's imports from world-Value in 2015	Poland's imports from world-Value in 2016	Poland's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
75	"Nickel and articles thereof"	0	0	0	0	3	1	0	0	0	4	40	3	3	1	35	37	54		19575	16974	25958	47022	50674	89813	167761	179704	145891	165270	168451	160953	166027	170318	142383	124942	129064		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	8	0	0	0	50	0	0	0	0	0	0	0	0	1	2	0	83		62269	55447	63493	90679	149774	205355	383136	467190	448389	574421	735877	674653	964628	1050610	881297	942141	1039296		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
37	"Photographic or cinematographic goods"	0	0	4	104	106	331	261	211	437	580	1054	1483	1820	848	253	133	94		114082	119420	141857	161359	182163	191733	181082	185847	125589	115022	131528	115657	130720	132687	127858	122116	109805		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
23	"Residues and waste from the food industries; prepared animal fodder"	0	0	0	0	0	0	0	0	0	0	0	734	276	319	407	227	138		416460	426073	477155	600230	688083	722592	947042	1296222	1175684	1315893	1508047	1779337	1718793	1906172	1590562	1477525	1748828		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
92	"Musical instruments; parts and accessories of such articles"	21	48	25	58	55	73	152	233	166	107	156	117	146	170	136	197	212		11878	13156	16245	23695	24371	26674	39164	50806	35034	40535	43550	39257	45033	50567	48255	43817	47454		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
78	"Lead and articles thereof"	0	0	0	0	144	0	40	81	69	42	135	110	206	219	547	173	238		21120	28347	34345	56246	64610	87000	135152	102699	69614	128446	157742	112519	142776	153282	168665	186134	247785		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	16	0	39	85	199	232	241	1300	244	253	159	146	150	144	72	168	241		39446	42398	58976	77562	77863	70519	66391	41103	27842	30233	32309	21126	29854	35688	34578	34876	28148		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	0	0	0	0	0	0	0	2	0	1	0	2	4	16	85	346	266		13640	16536	19787	25932	32761	32923	45900	60456	50977	50081	55310	53331	56202	67294	53869	63199	76414		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
91	"Clocks and watches and parts thereof"	20	2	4	27	43	72	124	92	76	88	198	259	271	626	262	161	297		43462	44677	47079	55205	68545	98048	124414	149483	117332	105386	121610	117074	127251	160921	189584	186357	205428		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
18	"Cocoa and cocoa preparations"	5	40	351	3524	2552	919	1212	379	392	706	730	558	975	919	450	342	316		158337	203299	270168	303156	358958	445680	539620	680860	614500	782875	896246	787861	916516	1006536	1078292	1133996	1224283		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
41	"Raw hides and skins (other than furskins) and leather"	198	508	353	339	470	669	800	1698	1599	1106	973	1519	559	523	2246	616	330		358204	405895	488913	558535	560266	584961	632907	580359	370073	444567	565321	508190	568359	629628	505629	505755	510503		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	0	3	5	2	2	11	0	2	3	9	47	47	71	92	5	14	359		111885	118749	136078	228924	134995	162851	324650	477730	276179	290575	477584	294130	414726	781138	560091	386930	416539		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
22	"Beverages, spirits and vinegar"	5	33	18	0	0	9	30	0	0	0	0	3	37	81	170	292	489		108944	113780	147689	210306	283541	358542	585265	756977	595447	636783	745896	713955	800985	763032	733870	796168	917436		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	33	34	55	132	130	207	261	272	189	224	420	281	215	464	342	229	537		234148	236255	248896	285475	304616	285065	333605	406475	311514	300438	336304	277952	294801	357654	590557	529192	629026		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
