Product code	Product label	Turkey's exports to Spain-Value in 2001	Turkey's exports to Spain-Value in 2002	Turkey's exports to Spain-Value in 2003	Turkey's exports to Spain-Value in 2004	Turkey's exports to Spain-Value in 2005	Turkey's exports to Spain-Value in 2006	Turkey's exports to Spain-Value in 2007	Turkey's exports to Spain-Value in 2008	Turkey's exports to Spain-Value in 2009	Turkey's exports to Spain-Value in 2010	Turkey's exports to Spain-Value in 2011	Turkey's exports to Spain-Value in 2012	Turkey's exports to Spain-Value in 2013	Turkey's exports to Spain-Value in 2014	Turkey's exports to Spain-Value in 2015	Turkey's exports to Spain-Value in 2016	Turkey's exports to Spain-Value in 2017	Spain's imports from world- 	Spain's imports from world-Value in 2001	Spain's imports from world-Value in 2002	Spain's imports from world-Value in 2003	Spain's imports from world-Value in 2004	Spain's imports from world-Value in 2005	Spain's imports from world-Value in 2006	Spain's imports from world-Value in 2007	Spain's imports from world-Value in 2008	Spain's imports from world-Value in 2009	Spain's imports from world-Value in 2010	Spain's imports from world-Value in 2011	Spain's imports from world-Value in 2012	Spain's imports from world-Value in 2013	Spain's imports from world-Value in 2014	Spain's imports from world-Value in 2015	Spain's imports from world-Value in 2016	Spain's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	102	120	101	0	0	0	0	24	0	0	156	591	640	519	486	436	274		13807	14907	18208	18059	21552	28598	32405	33749	32525	34285	27406	26949	43932	59447	40888	39677	36167		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
75	"Nickel and articles thereof"	3	0	0	0	1	0	2	0	1	245	6	69	145	373	564	369	283		217082	246465	296741	451604	492131	783983	1037688	661315	279090	439620	510264	480881	422531	476983	358554	344046	374715		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
91	"Clocks and watches and parts thereof"	3	59	35	68	41	71	170	79	289	60	259	66	127	179	140	82	291		500366	517382	605809	700268	718022	840018	1008210	977569	685031	757791	860103	807417	848010	935729	942694	869168	830129		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	23	27	38	171	67	294	156	338	971	275	209	144	132	367	532	311	350		399733	467801	542986	620563	664949	704660	824102	1042911	731459	707834	760588	684398	624594	705612	572040	556273	583758		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	6	21	44	140	546	46	101	62	50	60	59	62	67	277	426	272	371		145520	171878	215559	234478	264031	278645	309653	296275	239977	227219	236978	206814	202705	242914	205456	231699	244130		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
79	"Zinc and articles thereof"	0	0	10	249	311	392	467	332	198	206	492	168	393	264	425	517	407		40367	40876	49201	52071	78304	149636	244727	166592	87776	92726	116951	69075	63559	96733	68806	68111	90375		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
18	"Cocoa and cocoa preparations"	5	155	130	378	692	494	411	554	90	158	154	305	476	480	1613	555	479		269147	378775	487083	542883	547234	583600	757340	936853	891757	1062954	1172683	997877	1011511	1177135	1084308	1193346	1140828		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	29	5227	6869	1185	164	3	0	42	75	0	0	2	2	0	261	169	517		1075362	1099700	1355346	1716894	1747381	1818550	2454252	2739169	2256712	2218479	2500119	2306263	2482604	2477888	1888823	1784047	2064304		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	48	55	174	145	279	1123	842	1137	656	591	544	4389	2011	4722	1369	748	650		479620	540601	709992	904601	988327	1071169	1223492	1474499	1349926	1334110	1410564	1353844	1399308	1413607	1277715	1349237	1430633		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
99	"Commodities not elsewhere specified"	27	10	1019	3563	1685	1913	1856	2173	1356	1062	1384	986	988	404	432	413	865		1018390	1038305	1300324	1664907	1291663	1351184	1847598	1531734	877806	1342819	1633208	1509351	426959	237110	365346	422848	10482387		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	44	246	1409	459	1131	643	1541	660	501	1237	925	534	482	832	634	1092	903		70550	76780	101459	104616	105125	98589	107727	100659	71237	68086	68537	75332	59976	61780	65785	72500	71567		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
44	"Wood and articles of wood; wood charcoal"	1785	1440	2269	1305	642	1650	3255	2239	1313	933	1099	739	346	471	253	661	1298		1787689	1866867	2346888	2698485	2850068	3050371	3602479	2818758	1707024	1726083	1645695	1252028	1289299	1414363	1269126	1359849	1458354		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
