Product code	Product label	Turkey's exports to Germany-Value in 2001	Turkey's exports to Germany-Value in 2002	Turkey's exports to Germany-Value in 2003	Turkey's exports to Germany-Value in 2004	Turkey's exports to Germany-Value in 2005	Turkey's exports to Germany-Value in 2006	Turkey's exports to Germany-Value in 2007	Turkey's exports to Germany-Value in 2008	Turkey's exports to Germany-Value in 2009	Turkey's exports to Germany-Value in 2010	Turkey's exports to Germany-Value in 2011	Turkey's exports to Germany-Value in 2012	Turkey's exports to Germany-Value in 2013	Turkey's exports to Germany-Value in 2014	Turkey's exports to Germany-Value in 2015	Turkey's exports to Germany-Value in 2016	Turkey's exports to Germany-Value in 2017	Germany's imports from world- 	Germany's imports from world-Value in 2001	Germany's imports from world-Value in 2002	Germany's imports from world-Value in 2003	Germany's imports from world-Value in 2004	Germany's imports from world-Value in 2005	Germany's imports from world-Value in 2006	Germany's imports from world-Value in 2007	Germany's imports from world-Value in 2008	Germany's imports from world-Value in 2009	Germany's imports from world-Value in 2010	Germany's imports from world-Value in 2011	Germany's imports from world-Value in 2012	Germany's imports from world-Value in 2013	Germany's imports from world-Value in 2014	Germany's imports from world-Value in 2015	Germany's imports from world-Value in 2016	Germany's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	82	188	578	561	1092	904	1570	1734	1461	1480	1526	1601	1551	1633	953	2803	2866		100372	94456	116764	128805	127390	134765	137953	113183	105613	100332	123385	99616	86748	86949	79099	80013	76098		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
10	"Cereals"	592	2845	757	1990	532	285	322	265	5296	9057	4071	465	3247	3591	7786	5241	3532		652553	743144	835628	899679	1034568	1254096	2003642	2670743	2496887	2364562	3328292	3090708	3311255	3422835	2856613	2727107	2684416		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
92	"Musical instruments; parts and accessories of such articles"	573	685	767	1102	1757	1603	2293	3297	2916	2479	2882	2993	2649	3284	3228	3921	4135		258922	259134	260371	261072	363244	404603	446895	490977	564681	660785	735233	714636	635863	706018	647322	672940	683351		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
35	"Albuminoidal substances; modified starches; glues; enzymes"	499	343	1027	1371	1051	1175	1470	1576	1605	1167	763	930	1608	1451	2266	2449	4340		1004775	1032078	1194704	1464496	1600075	1636327	1877523	2091658	1969335	2056304	2551034	2441585	2589648	2735856	2369240	2217398	2411567		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
18	"Cocoa and cocoa preparations"	827	984	2289	1904	2128	2129	2382	3093	4997	6175	3426	4752	4359	5016	4867	4612	4428		1280239	1525832	1923994	1921496	2077893	2145330	2665166	3145471	3556687	4136407	4696946	4180648	4253322	5050999	4675866	5003776	4850779		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	1058	1445	2105	2730	2276	3059	3608	3691	5985	4672	5873	5243	6293	5835	5837	5406	4590		962534	1188851	1454793	1867958	2270127	3400840	3894177	4708621	3436468	3996519	5670760	4529195	4828533	4708952	4043795	4344669	4412630		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
81	"Other base metals; cermets; articles thereof"	520	281	321	169	772	1036	779	3177	2088	3126	6870	5979	5082	5934	2230	3834	4920		645937	581940	637726	915302	1300680	1584665	1872993	2187270	1180628	1522269	2325986	2249528	2176219	2308711	2132721	2071036	2495809		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
99	"Commodities not elsewhere specified"	132	1559	877	1361	10766	16307	64919	81983	89573	17105	15719	10415	11193	6607	6257	6725	5352		21074115	18589215	53120492	69598135	33549278	43230936	98146272	105918577	16586456	15306526	17223329	13814483	12223199	13533151	12302488	12005999	13863199		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
65	"Headgear and parts thereof"	932	1259	1780	2412	2029	1828	1987	2088	1332	1994	3152	3869	4233	5840	4710	5373	5509		182339	210209	237572	272976	299060	353489	370212	433137	485887	568422	630740	551403	580035	641061	578184	609007	671262		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	3488	3704	4520	6375	7328	8206	8896	8354	8917	9330	10693	10380	10427	10676	7839	9033	7096		1672104	1903262	2182420	2156379	2225061	2202231	2496332	2661975	3046048	2776786	2868162	2515782	2379737	2656083	2614237	2934804	2899155		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
93	"Arms and ammunition; parts and accessories thereof"	1668	1604	23700	24337	2402	4976	4484	7115	3481	2714	3889	4825	4677	4468	4846	9931	7338		99327	105451	104204	118280	128596	124387	160861	189421	223252	224144	252303	273305	282512	234738	210964	260852	265427		22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	14969	12386	11421	15340	29344	20850	24277	21523	18012	21337	19383	14837	14191	14017	18288	13789	7838		240582	261547	279085	312562	354650	375549	521493	620444	637927	547148	722992	639139	683990	643238	571463	611125	620175		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	944	2784	4226	2682	3438	4276	5823	5836	6164	7097	8588	9167	9376	9035	7313	7786	8573		1670334	1840454	2008801	2230586	2494770	2472451	2585483	2860432	3521590	3655440	3915281	3608130	3466170	3511409	2951689	3031900	3212927		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
04	"Dairy produce; birds' eggs; natural honey; edible products of animal origin, not elsewhere ..."	3887	16030	14236	6333	3360	3785	835	825	2843	3416	2201	1721	3910	7274	5519	6376	9278		3271327	3719384	4554797	4998333	5071179	5841881	7041864	7795950	7272907	7773623	8632287	7959397	8854526	9279887	7572150	7575264	9169675		41478	59793	78442	66225	79885	101926	168442	235932	249877	303466	484057	545560	662462	732679	532707	592723	702305	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	722	1296	1213	1178	2158	2540	2746	3620	3065	3696	3086	5101	6656	9228	9520	7969	9488		2452786	2532973	2914203	3310498	3610442	4077249	4677569	5073213	4504333	5837811	7172762	6829287	7591572	7661757	6376162	6469939	6893827		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
43	"Furskins and artificial fur; manufactures thereof"	19312	25764	26610	28168	21185	24931	17037	15660	11850	19952	31581	19811	15204	14669	9709	8833	9651		177127	183434	178860	184145	180509	216990	182030	166716	175347	191718	267039	263340	243537	227226	156196	139558	168223		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
44	"Wood and articles of wood; wood charcoal"	5942	5409	9206	8641	10297	8374	7752	9204	7159	8563	11804	11069	12279	11751	11601	9255	10105		4041802	4058130	4644908	4919472	5431102	6365974	7125287	6833175	7133968	8075408	9059729	8118327	8602290	9178471	8025001	8290696	8825926		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
89	"Ships, boats and floating structures"	8505	16051	24712	29521	247618	112263	195909	186152	11784	39992	26996	14588	21302	87111	32227	33638	11201		1707458	873008	1903914	1777238	3508147	8792554	3776566	8127345	6698789	14600263	9694723	6112247	4548730	2556610	2022811	2838584	2998176		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
96	"Miscellaneous manufactured articles"	4362	4342	6218	5749	5678	6033	6063	5821	6532	7360	7248	4912	7042	10829	10179	8717	11623		866471	861130	928307	1080845	1298204	1378895	1424639	1534846	1626816	1797114	2009865	2827062	2991295	3243547	2828138	2967366	3169899		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
29	"Organic chemicals"	23330	17663	14257	23872	20367	12966	11673	28761	7776	13412	37574	15510	12937	11778	10352	15682	11746		17239146	12454501	14944082	18892593	20844698	24433754	30493899	32038342	25722458	28701359	34850789	32769876	33583283	34284663	31440090	30395140	34309396		155599	164746	207263	298290	255321	346186	374341	486560	347698	520499	545361	646889	598460	534418	473941	472804	657067	
26	"Ores, slag and ash"	2795	7445	2342	17626	8664	10715	20975	20135	2998	30974	12786	12678	12526	16207	9649	2043	11886		2516820	2387500	2302151	3916070	4895523	6848987	8410317	9307674	6260842	10094338	13249251	11321716	10357850	10210509	7337744	6473493	8353367		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	3258	12101	5565	3071	2518	2874	2675	3349	3976	1695	936	5468	557	37125	8966	12685	11926		681154	921058	1133454	1291280	1544440	1762333	1520897	2092614	2163244	2337437	2229450	2231368	3114633	2849756	2634711	2670044	3088368		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
24	"Tobacco and manufactured tobacco substitutes"	31201	66392	68379	54720	42178	64996	37011	30427	39612	29162	30187	12618	18997	38226	17630	21351	13825		1458902	1492532	1683567	1759595	1680107	1815403	1941003	2012394	2444047	2093920	2911364	2422595	2451593	2652269	2236840	2198822	2372747		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
05	"Products of animal origin, not elsewhere specified or included"	16123	21927	27049	23060	19453	16080	17037	16241	9691	10597	14988	18382	30055	33430	22149	19297	15693		448875	435711	509393	599539	633509	623182	656294	872433	939104	925862	1107455	1160646	1196803	1155777	932167	935933	1129924		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	7516	6428	8346	11606	13279	15576	19473	16767	18623	24527	22606	22054	24568	23352	18775	15717	16631		890678	816409	867461	972254	928646	1030886	1101718	1044731	788074	1014534	1253625	1031233	894466	830061	680525	738872	738236		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
30	"Pharmaceutical products"	18164	20379	25730	45778	51549	57708	79015	81293	81483	83326	58779	68605	63703	56279	48446	22951	18304		8962798	16224677	18708749	24062638	28630705	32482860	38729776	44376027	44676014	45163370	48618733	43532788	45232516	49294043	45673331	49096043	54012465		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
38	"Miscellaneous chemical products"	2170	1823	1826	3212	4005	15481	13089	10792	6445	22443	7336	5528	13370	26160	14914	22738	18517		4351301	4703728	5245664	6657613	7750054	9311954	10831747	13573946	11662454	13436355	17009796	14581537	14872448	15665701	13402201	13888918	14975233		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
28	"Inorganic chemicals; organic or inorganic compounds of precious metals, of rare-earth metals, ..."	5090	4318	4497	5456	6005	9051	11651	14337	13390	14728	17658	24857	14884	26048	27298	25393	19041		3153744	2943184	3193843	3546728	4173654	5583385	6630919	8801802	7383979	8788024	9567914	9416314	8257629	8331938	6900880	6502334	7173121		211934	218311	238106	315746	373079	462425	516632	679620	611669	930672	1216057	1266598	1199165	1320975	1248975	1085811	1318097	
