Product code	Product label	Turkey's exports to Iran, Islamic Republic of-Value in 2001	Turkey's exports to Iran, Islamic Republic of-Value in 2002	Turkey's exports to Iran, Islamic Republic of-Value in 2003	Turkey's exports to Iran, Islamic Republic of-Value in 2004	Turkey's exports to Iran, Islamic Republic of-Value in 2005	Turkey's exports to Iran, Islamic Republic of-Value in 2006	Turkey's exports to Iran, Islamic Republic of-Value in 2007	Turkey's exports to Iran, Islamic Republic of-Value in 2008	Turkey's exports to Iran, Islamic Republic of-Value in 2009	Turkey's exports to Iran, Islamic Republic of-Value in 2010	Turkey's exports to Iran, Islamic Republic of-Value in 2011	Turkey's exports to Iran, Islamic Republic of-Value in 2012	Turkey's exports to Iran, Islamic Republic of-Value in 2013	Turkey's exports to Iran, Islamic Republic of-Value in 2014	Turkey's exports to Iran, Islamic Republic of-Value in 2015	Turkey's exports to Iran, Islamic Republic of-Value in 2016	Turkey's exports to Iran, Islamic Republic of-Value in 2017	Iran, Islamic Republic of's imports from world- 	Iran, Islamic Republic of's imports from world-Value in 2001	Iran, Islamic Republic of's imports from world-Value in 2002	Iran, Islamic Republic of's imports from world-Value in 2003	Iran, Islamic Republic of's imports from world-Value in 2004	Iran, Islamic Republic of's imports from world-Value in 2005	Iran, Islamic Republic of's imports from world-Value in 2006	Iran, Islamic Republic of's imports from world-Value in 2007	Iran, Islamic Republic of's imports from world-Value in 2008	Iran, Islamic Republic of's imports from world-Value in 2009	Iran, Islamic Republic of's imports from world-Value in 2010	Iran, Islamic Republic of's imports from world-Value in 2011	Iran, Islamic Republic of's imports from world-Value in 2012	Iran, Islamic Republic of's imports from world-Value in 2013	Iran, Islamic Republic of's imports from world-Value in 2014	Iran, Islamic Republic of's imports from world-Value in 2015	Iran, Islamic Republic of's imports from world-Value in 2016	Iran, Islamic Republic of's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
23	"Residues and waste from the food industries; prepared animal fodder"	1	0	0	39	57	10	278	269	428	904	788	2044	1374	1244	457	529	580		202872	215745	227643	350371	108743	18728	384762	558231	665060	964520	863287	1656066	1883315	1379492		709508	501435		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	0	0	0	5	5	5	8	6	22	81	389	165	207	109	104	70	583		62	107	262	1069	685	158	699	586	1035	1580	1518	1157	142	617		1100	10761		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	0	0	0	25	37	1719	936	281	370	2958	2399	4585	2502	4500	3232	2250	600		0	4238	0	2467	0	0	0	0	0	0	0	0	0	0		0	869		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
09	"Coffee, tea, maté and spices"	0	21	9	0	4	0	28	45	94	400	527	150	127	350	360	504	614		57656	7134	8419	41390	98040	25441	126586	132175	150172	208136	229603	324079	370555	306109		336744	365656		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
81	"Other base metals; cermets; articles thereof"	16	19	20	54	6	42	186	39	311	264	210	247	595	215	116	216	620		6673	5316	5293	6528	7569	2435	14929	15631	106177	11068	15637	11355	16271	13010		11779	16175		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
80	"Tin and articles thereof"	0	0	0	0	0	1	2481	1192	114	339	730	781	498	2	149	896	758		5803	3948	7533	10351	13940	4291	19792	10828	10445	16019	35521	33487	22220	25035		16421	10532		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
02	"Meat and edible meat offal"	32	0	0	0	0	0	0	1063	0	9146	18182	42864	10797	2170	3	142	851		77649	15758	60711	106333	51807	9997	238199	322458	456978	980190	895977	760826	496436	365118		389865	700718		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	91	43	100	56	110	277	198	188	347	1397	1885	822	643	1416	1220	3160	876		33949	25294	16251	32446	15309	3540	53589	32096	23595	25518	27496	14569	16848	8391		6812	35885		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
78	"Lead and articles thereof"	46	38	263	153	0	0	465	1	167	253	716	361	167	124	38	1313	1158		3504	6751	2044	2388	9554	2342	14376	4403	6784	4529	9001	6900	2979	2383		23938	8706		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
37	"Photographic or cinematographic goods"	517	475	697	82	236	663	1068	885	863	1597	2946	6168	5450	2858	1222	403	1275		44455	47875	68630	58354	61997	12943	85957	78425	72098	75332	79942	73747	65277	55936		51056	44634		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
