Product code	Product label	Turkey's exports to Iran, Islamic Republic of-Value in 2001	Turkey's exports to Iran, Islamic Republic of-Value in 2002	Turkey's exports to Iran, Islamic Republic of-Value in 2003	Turkey's exports to Iran, Islamic Republic of-Value in 2004	Turkey's exports to Iran, Islamic Republic of-Value in 2005	Turkey's exports to Iran, Islamic Republic of-Value in 2006	Turkey's exports to Iran, Islamic Republic of-Value in 2007	Turkey's exports to Iran, Islamic Republic of-Value in 2008	Turkey's exports to Iran, Islamic Republic of-Value in 2009	Turkey's exports to Iran, Islamic Republic of-Value in 2010	Turkey's exports to Iran, Islamic Republic of-Value in 2011	Turkey's exports to Iran, Islamic Republic of-Value in 2012	Turkey's exports to Iran, Islamic Republic of-Value in 2013	Turkey's exports to Iran, Islamic Republic of-Value in 2014	Turkey's exports to Iran, Islamic Republic of-Value in 2015	Turkey's exports to Iran, Islamic Republic of-Value in 2016	Turkey's exports to Iran, Islamic Republic of-Value in 2017	Iran, Islamic Republic of's imports from world- 	Iran, Islamic Republic of's imports from world-Value in 2001	Iran, Islamic Republic of's imports from world-Value in 2002	Iran, Islamic Republic of's imports from world-Value in 2003	Iran, Islamic Republic of's imports from world-Value in 2004	Iran, Islamic Republic of's imports from world-Value in 2005	Iran, Islamic Republic of's imports from world-Value in 2006	Iran, Islamic Republic of's imports from world-Value in 2007	Iran, Islamic Republic of's imports from world-Value in 2008	Iran, Islamic Republic of's imports from world-Value in 2009	Iran, Islamic Republic of's imports from world-Value in 2010	Iran, Islamic Republic of's imports from world-Value in 2011	Iran, Islamic Republic of's imports from world-Value in 2012	Iran, Islamic Republic of's imports from world-Value in 2013	Iran, Islamic Republic of's imports from world-Value in 2014	Iran, Islamic Republic of's imports from world-Value in 2015	Iran, Islamic Republic of's imports from world-Value in 2016	Iran, Islamic Republic of's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	1755	43	328	2411	5108	7607	14650	11755	20390	44422	50868	16656	10683	19017	19259	23098	19611		886	867	1690	4890	8508	1709	8137	9930	13881	13109	13127	7313	2224	4276		9129	153062		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
52	"Cotton"	4871	1131	1351	4185	3620	5219	3565	16020	22000	17306	20742	14215	15338	20196	21714	27614	23522		2965	1583	11253	38169	45306	9515	115704	134933	89796	109761	149680	159408	215941	164846		156807	134916		842540	805838	997278	1219991	1179569	1338306	1611317	1633650	1278472	1449154	1922073	1785532	1928176	1875160	1703314	1719340	1718295	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	5962	5830	4077	3213	3583	3114	2987	3564	6970	6713	15288	19960	36357	21052	25092	29621	23594		396405	375501	690169	670453	653777	106203	1008556	1162154	1000534	1459972	1649300	2059301	1866926	1476617		895212	1073600		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
90	"Optical, photographic, cinematographic, measuring, checking, precision, medical or surgical ..."	796	1541	2783	4612	4538	5211	7822	10316	12018	17679	24242	37670	28592	21354	19433	18603	24180		438890	561756	643428	645592	725495	252104	972650	1732049	1438448	1256181	1410155	1086579	1167396	1149240		1295203	2008448		71087	80295	119160	159323	180276	226558	302884	364946	331465	367134	448032	554929	660941	716064	724819	709266	810833	
70	"Glass and glassware"	6204	7104	18909	25227	26211	33575	42682	49132	53611	56367	48378	22512	17397	29985	27177	37935	24563		69031	71608	127352	165293	176455	62261	269567	288398	263294	262967	291991	192439	141689	171739		210804	331377		410675	443738	520303	614566	631492	680145	829217	1016809	838628	903293	977705	955747	993181	1063084	1042265	953568	916145	
30	"Pharmaceutical products"	64	372	168	1804	1147	1851	2655	2955	4163	9865	14124	44346	86815	44763	25156	26254	25486		393489	340887	490960	522584	593772	204532	958001	1010702	1176276	1345657	1409943	1467895	1823624	1534780		1456460	1296082		127651	145210	179444	248216	282796	312613	357818	421134	429061	558172	566797	661783	754085	805583	878149	826774	875480	
08	"Edible fruit and nuts; peel of citrus fruit or melons"	129	40	0	106	120	364	4205	14756	45153	47360	83283	32555	7530	24704	35674	16524	27968		30446	54728	91996	93574	163998	99630	289495	303538	554197	623643	552896	354540	403518	452541		548668	249753		1201056	1170709	1391984	1902515	2501037	2388333	2670618	2855302	3001898	3490879	3908880	3806416	3969004	4327138	4355366	3872709	3940925	
57	"Carpets and other textile floor coverings"	634	71	172	2065	6204	4177	11293	18351	16435	27060	33908	20431	12599	16934	9772	50505	28568		166	3050	1034	1492	2182	442	9327	12687	18849	20493	17802	6858	784	3711		4854	47901		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
58	"Special woven fabrics; tufted textile fabrics; lace; tapestries; trimmings; embroidery"	53	138	1542	20184	27239	22494	45879	48216	29751	32665	37365	27139	31210	35256	43755	42728	35785		2427	2306	5985	13002	13873	1991	26359	34476	36427	45429	45474	38183	22449	24250		28821	130689		288787	316646	362628	454059	549688	571503	654101	683473	439158	479465	528843	548909	609934	595593	479860	484918	479612	
34	"Soap, organic surface-active agents, washing preparations, lubricating preparations, artificial ..."	4734	3446	3322	3486	5099	4650	7087	8192	10511	18231	33582	28029	24430	33260	29010	36009	36033		34209	29843	36598	55591	48827	13536	72696	73473	72017	99399	109959	91328	97845	112275		119307	200130		233289	261134	319076	377372	412067	485225	516667	662605	647727	678101	767737	854429	915527	1016321	868379	758972	780074	
18	"Cocoa and cocoa preparations"	1515	2606	4760	4829	2229	5777	10077	9079	13338	35603	46283	37941	36790	45906	44842	43452	36503		8940	10554	14448	24178	24497	7834	41701	42986	43541	84865	101226	66096	92736	80054		90997	101604		90960	103121	181426	231784	243688	271733	364300	390622	371683	430928	509920	550006	612414	638559	555752	476221	523445	
76	"Aluminium and articles thereof"	2126	3297	6546	6832	6081	9010	15352	22187	25422	33212	40775	57537	41564	44328	48770	42372	40596		149612	138341	234218	275986	364798	72954	675254	549869	557759	597455	474987	391821	285354	348515		272794	358240		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
62	"Articles of apparel and clothing accessories, not knitted or crocheted"	112	775	1233	5813	14663	3073	2527	6980	16854	24570	16631	13509	6128	17631	36228	145562	40875		45	206	1711	9602	20280	3783	8045	11045	10506	12393	13450	11213	1635	2606		32825	284794		2639429	3234295	3813876	4536829	4862376	4710984	5445286	5326729	4294831	4636123	5124460	5431268	5714199	6232503	5917103	5925410	5950783	
40	"Rubber and articles thereof"	5043	5618	6505	6396	13055	15576	12083	15638	20238	23948	34981	40755	34110	39922	37111	44753	43269		213602	214984	290372	363780	383660	179990	564416	634926	695905	805793	981669	891545	910762	939819		655031	754273		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
38	"Miscellaneous chemical products"	1342	1844	3076	3814	5795	7610	11381	12411	15372	15257	25522	39176	36153	41221	35945	40502	43783		435533	411233	456591	464666	464386	137619	575141	594821	663208	692805	736516	775851	745639	828027		682150	774160		64299	76232	95566	121883	160869	220295	280150	364258	320298	399775	451639	496882	554767	593496	546420	562646	576576	
35	"Albuminoidal substances; modified starches; glues; enzymes"	463	1030	2794	3191	3959	4709	6278	6762	13792	19703	42521	74276	70613	51135	51842	54991	45772		18651	16493	26553	35111	39834	14512	61355	70392	73889	94464	126727	139065	147388	151055		152039	159656		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
94	"Furniture; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings; ..."	923	1610	11423	21098	30337	35273	69717	79454	77318	96365	116345	75780	37549	43932	46098	46766	46316		6865	13210	18541	48817	66416	31560	125660	160268	181348	223393	223555	116634	63898	91431		163664	512565		245707	358692	634417	855707	958345	1101804	1484142	1891085	1588862	1786405	2110174	2420661	2830674	2970948	2753604	2658514	2761898	
32	"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring ..."	2943	3687	6025	8536	8645	13072	14862	21347	28349	35009	54470	75033	67770	71273	57543	46255	51489		155645	161404	197811	221578	236757	56624	303460	266764	277269	318210	338090	301680	320158	322985		328276	408276		92485	112862	135022	177767	234697	287745	357455	452406	428770	532435	611672	701241	764472	771011	680897	640883	689455	
61	"Articles of apparel and clothing accessories, knitted or crocheted"	123	350	512	2395	799	604	295	3274	9457	3115	4613	4425	5516	32672	70794	193145	53768		31	157	699	2694	3356	959	2154	4134	5862	7550	8847	7994	1636	2697		28522	372153		3641200	4426210	5732569	6259222	6590352	6938275	8022460	7826732	6925548	7731212	8385636	8418618	9244940	10024248	8928097	8849344	8849652	
54	"Man-made filaments; strip and the like of man-made textile materials"	5365	2636	7917	17345	30592	28234	34991	61483	78562	90218	93729	67636	56481	74463	62794	66120	57208		124182	60736	107806	173889	193586	30458	225270	221741	248995	219229	231372	257326	382720	335347		351300	547718		470301	500132	638824	796562	894103	1036892	1256300	1336016	1075024	1249851	1446859	1478091	1689747	1772567	1564154	1486897	1539454	
83	"Miscellaneous articles of base metal"	1587	2312	3003	7162	8169	11880	19318	25855	25870	34124	56286	43619	53548	131036	48040	48637	57937		31580	44289	55371	63434	67633	29785	87541	87814	92138	133535	149791	126006	131760	155569		159644	364892		78244	100438	152515	217346	282209	383821	526997	651734	504462	580920	695621	735081	813519	935345	761454	763921	837264	
72	"Iron and steel"	38533	24182	69618	133912	60594	69285	152670	205872	227841	562513	451713	615414	111552	101014	62683	50968	58696		1526721	1258284	2536978	3675900	4069152	797816	7833350	8015680	6821803	8187693	7651662	5292365	3028329	3493446		1874803	2119535		2069932	2223241	2969012	5313308	4973475	6273353	8372266	14946358	7641010	8740067	11225329	11332482	9918794	9244173	6556743	6180353	8238262	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	3165	5769	17504	16452	6154	3578	5035	5389	7088	5327	15012	19880	28743	44198	37323	64898	60633		12217	10026	26702	27449	17416	2725	15247	24963	36156	33436	40904	38386	37154	50046		83141	137713		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
24	"Tobacco and manufactured tobacco substitutes"	669	8932	39056	32256	62718	110295	89419	88539	73531	19889	39824	101302	113005	133092	133357	148788	64403		14326	80098	263507	334845	370524	16293	456971	460400	311942	168270	245893	255952	280154	236653		283794	389948		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
96	"Miscellaneous manufactured articles"	158	406	1351	2425	2912	3636	4905	5988	5746	4724	5664	18542	25350	44150	93374	69376	65933		21407	22584	35610	35123	36269	18980	49101	57439	53515	66464	71438	68864	68702	90797		122757	312834		36145	42068	58341	69957	79538	97260	116259	119648	109467	118355	128444	796447	990124	1079876	970872	864211	872790	
33	"Essential oils and resinoids; perfumery, cosmetic or toilet preparations"	506	568	903	2515	8809	10719	17559	23939	24945	34981	61209	47711	68336	70781	60028	71417	71223		25000	24659	30570	51822	58355	12605	118998	150628	179258	210158	227776	219111	239678	283484		356305	477917		83613	98725	153503	203187	256755	306866	361008	448352	418311	492007	558717	621208	705871	771351	695467	696371	762627	
26	"Ores, slag and ash"	11	0	0	54	356	14	113	3	200	3145	663	1423	11015	15481	16852	25914	71631		65098	87049	97545	166565	60147	6076	130425	147553	92582	95590	99639	95676	132684	531059		49178	92267		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
48	"Paper and paperboard; articles of paper pulp, of paper or of paperboard"	10965	13035	16263	22961	22608	19434	26507	33598	35490	50704	71532	103362	112281	95857	66813	81546	81138		372550	367080	479288	510484	718999	84947	1040985	1064832	1087752	1224563	1218410	1211594	1475203	1164659		958506	991914		251063	315008	386200	478502	582101	624667	861427	1077653	1004769	1216836	1427254	1033095	1140573	1203727	1185523	1353499	1521008	
73	"Articles of iron or steel"	5551	6073	11206	22402	41348	87334	63153	60950	76882	101594	165662	115920	107309	115506	89970	111559	130227		471015	457450	625732	819244	1153300	603542	1292548	1680763	1715979	1619741	1249090	1246344	976634	1040356		917033	1564000		975727	1237215	1391047	2226923	2731357	3336371	4129749	5742363	4545275	4850216	5748004	6093117	6148046	6356117	5465810	4964336	5602685	
71	"Natural or cultured pearls, precious or semi-precious stones, precious metals, metals clad ..."	2	88	423	1263	1368	627	899	302	779	83319	54666	6540575	1679050	820229	889980	1704271	157891		5334	1443437	37834	21930	62652	1766	54526	50258	816779	40119	26144	16690	8907	11965		15222	192517		472780	619189	810364	1063946	1325764	1824130	2623772	5383129	5929025	3747222	3738763	16325215	6998608	7716840	11263517	12176385	10878497	
44	"Wood and articles of wood; wood charcoal"	7670	13184	26408	43099	46649	66971	107718	111719	145363	173049	190286	154452	129624	209103	169140	170277	164980		53750	67883	111774	269211	196010	37040	443310	451692	542201	651774	684278	673732	648929	728190		676292	501423		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
39	"Plastics and articles thereof"	13968	14787	25513	32810	44997	52417	81385	104178	121386	155192	225043	227263	208616	243966	186124	181156	168585		526844	615784	914629	1213896	1423643	212129	2085624	1912593	1914505	2312032	2682046	2170845	1915313	1909392		1578590	1857305		610143	676461	926036	1323732	1722148	2214266	2822051	3563148	3093759	3716596	4580258	5012899	5608724	6097283	5358854	5025870	5476514	
85	"Electrical machinery and equipment and parts thereof; sound recorders and reproducers, television ..."	11395	24311	48850	59623	52676	56163	92988	120597	115029	134289	194732	166838	144411	163765	157848	169439	176390		1338870	1483701	1936651	2199892	2758105	894861	2861129	3314351	2894048	3151933	3901220	3632982	4232637	4427294		4538473	4743888		2259929	2851855	3474510	4790306	5423346	6327750	7422515	7971713	6630701	7530130	8874013	9373078	9544253	9692254	8280121	7827991	8097223	
55	"Man-made staple fibres"	21777	4123	33900	48975	37919	45360	49316	61809	65988	68157	100620	123150	90967	95241	120413	156061	206363		184383	165580	266909	341091	332033	110517	636747	437105	468362	516693	637326	535800	517697	464521		443636	689097		640085	627223	767028	925406	963201	1033834	1045084	1035586	948939	1120571	1334818	1378287	1381678	1456061	1347763	1316833	1429189	
87	"Vehicles other than railway or tramway rolling stock, and parts and accessories thereof"	17182	20697	30691	64115	100892	75390	78927	155709	94839	134887	188043	185799	72782	108049	99420	169946	224212		1182611	3253538	2306092	1947233	1111354	622983	2259032	2540867	2183855	2501836	2807350	2245445	2545158	3828494		3094254	5913433		2335381	3289845	5272017	8288799	9566435	11886092	15903675	18326711	12251734	13812677	15803438	15148114	17000250	18063448	17463564	19801974	23946390	
84	"Machinery, mechanical appliances, nuclear reactors, boilers; parts thereof"	32966	31604	62338	85001	103251	130920	211320	303090	350957	469300	641281	431180	349319	483801	422697	446136	542936		3731045	4634678	6351767	8027660	9520586	1547631	8970624	9722636	10448266	11720971	11479710	8695812	7924619	9593845		7561602	8946272		1744972	2131140	2992983	4125934	5246419	6516726	8781251	10258590	8132787	9413411	11560990	11999300	12989247	13591126	12333803	12339237	13830708	
