Product code	Product label	Turkey's exports to Algeria-Value in 2001	Turkey's exports to Algeria-Value in 2002	Turkey's exports to Algeria-Value in 2003	Turkey's exports to Algeria-Value in 2004	Turkey's exports to Algeria-Value in 2005	Turkey's exports to Algeria-Value in 2006	Turkey's exports to Algeria-Value in 2007	Turkey's exports to Algeria-Value in 2008	Turkey's exports to Algeria-Value in 2009	Turkey's exports to Algeria-Value in 2010	Turkey's exports to Algeria-Value in 2011	Turkey's exports to Algeria-Value in 2012	Turkey's exports to Algeria-Value in 2013	Turkey's exports to Algeria-Value in 2014	Turkey's exports to Algeria-Value in 2015	Turkey's exports to Algeria-Value in 2016	Turkey's exports to Algeria-Value in 2017	Algeria's imports from world- 	Algeria's imports from world-Value in 2001	Algeria's imports from world-Value in 2002	Algeria's imports from world-Value in 2003	Algeria's imports from world-Value in 2004	Algeria's imports from world-Value in 2005	Algeria's imports from world-Value in 2006	Algeria's imports from world-Value in 2007	Algeria's imports from world-Value in 2008	Algeria's imports from world-Value in 2009	Algeria's imports from world-Value in 2010	Algeria's imports from world-Value in 2011	Algeria's imports from world-Value in 2012	Algeria's imports from world-Value in 2013	Algeria's imports from world-Value in 2014	Algeria's imports from world-Value in 2015	Algeria's imports from world-Value in 2016	Algeria's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
31	"Fertilisers"	0	0	1294	2613	3	6	2	0	0	0	39	0	1021	527	683	169	587		27783	26667	34397	46299	41432	47527	50021	76439	101559	122361	142061	171352	159647	164900	226232	99808	93512		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
99	"Commodities not elsewhere specified"	0	0	80	115	122	212	105	129	359	357	342	486	445	789	701	580	489		0	0	0	0	0	0	0	593	0	0	0	0	0	0	0	0	0		17601	16552	54745	107332	254796	288683	305010	268372	273935	166511	206394	148270	300023	555998	339134	372371	413846	
65	"Headgear and parts thereof"	81	53	84	28	10	44	75	19	36	25	178	114	313	279	300	229	387		1541	2318	1860	3096	5156	4330	5856	6987	5503	8684	4470	7765	9469	8465	7464	7780	7639		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
22	"Beverages, spirits and vinegar"	1	15	0	7	14	380	425	1022	353	345	951	1229	679	1646	441	417	371		5113	12385	15462	4664	14036	21031	24560	27742	19993	23848	51793	75932	96500	98525	63321	78950	79058		36654	42050	70429	113696	148627	147177	174557	194316	180748	229518	258721	285734	295391	325988	315239	290543	320193	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	0	0	106	0	0	0	0	0	0	0	0	0	14	17	354		7827	8833	6108	7414	5909	9322	13512	21993	23219	38161	41376	34837	35134	41752	51347	46138	63612		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	12	19	92	1290	11	216	411	111	46	34	74	44	24	130	101	124	201		36531	7120	27737	13475	25713	19618	70310	257867	426067	262068	182719	46210	25391	85962	128470	201997	139910		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
37	"Photographic or cinematographic goods"	0	0	1	0	3	116	150	70	233	629	0	49	35	54	208	137	158		19881	27413	25551	30377	29250	25285	31547	39107	34750	42768	42015	47547	41213	40896	40310	32917	24141		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	27	35	36	538	254	152	66	115	53	66	101	112	413	169	108	178	147		23809	28973	23162	38112	47285	50946	49609	82240	65445	68813	62534	79289	95079	162706	150418	115501	57429		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
50	"Silk"	0	0	0	0	0	1	7	2	1	16	16	80	228	133	30	31	117		24	252	414	253	138	115	106	61	61	211	286	116	185	449	739	315	401		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
75	"Nickel and articles thereof"	14	1	25	96	8	0	54	52	55	16	14	38	113	46	24	1	98		634	509	354	919	1108	486	1595	1697	764	564	1257	1895	1447	1107	1266	2083	1679		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
13	"Lac; gums, resins and other vegetable saps and extracts"	0	0	5	3	1	4	0	18	8	6	20	2	8	70	16	113	71		3668	4653	6413	7079	8458	7767	11261	12092	12392	14433	17943	19927	19370	21981	18737	18072	19639		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
67	"Prepared feathers and down and articles made of feathers or of down; artificial flowers; articles ..."	8	2	0	0	0	0	0	0	0	0	0	10	7	21	8	19	62		719	816	1114	1743	1306	1207	1597	1933	2383	1790	2021	1500	2194	2250	2166	2080	2354		281	369	487	397	456	509	835	1248	787	1135	1008	1619	2360	1824	2013	2764	2547	
16	"Preparations of meat, of fish or of crustaceans, molluscs or other aquatic invertebrates"	0	0	184	167	398	76	0	0	0	0	0	0	0	33	0	0	61		11009	2857	1476	2199	2603	3612	7515	7212	12761	11617	13659	19086	21010	29809	30619	35555	31157		20547	19474	31661	35633	42300	32000	37307	38763	39998	55773	65446	74530	98419	100845	83176	74193	109450	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	0	0	0	2	10	3	18	137	190	11	2	3	2	11	317	264	60		2174	4667	3840	6354	5021	5104	7065	5445	5520	8490	9893	10510	9853	11831	12130	10034	12816		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
81	"Other base metals; cermets; articles thereof"	0	0	0	0	26	1	5	0	20	93	3	2	0	10	57	39	60		1543	487	686	700	806	1122	1007	1699	2239	3232	1701	973	2469	2343	2370	2807	2313		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	0	17	259	802	61	277	103	146	219	735	1030	1041	487	563	739	122	59		1093	2181	2325	2826	2963	1922	2275	3808	1758	1478	1284	457	3238	1961	508	3161	888		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
93	"Arms and ammunition; parts and accessories thereof"	0	0	0	0	0	73	9	3	0	0	0	0	321	440	609	0	56																				22713	43941	71820	75471	79473	122205	160002	191962	135699	187625	238017	335990	432602	512762	440855	416715	296869	
91	"Clocks and watches and parts thereof"	7	25	2	14	8	9	24	20	15	9	15	5	8	21	68	81	40		4602	4305	4469	6199	6446	5018	5038	7551	7794	8340	10556	10130	12459	12948	16003	15502	11741		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
09	"Coffee, tea, maté and spices"	797	678	95	87	86	535	132	3	3	2	24	17	144	7	112	245	29		83628	82657	111555	127625	144438	179357	239578	327501	259664	245354	356158	392080	375174	378647	378952	395978	423771		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	54	9	1	4	3	0	3	9	51	22	23	0	10	23	15	19	15		1173	1075	850	1235	760	1209	1787	1389	1241	1093	1969	2529	2922	2896	3292	5723	4999		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
41	"Raw hides and skins (other than furskins) and leather"	2	44	44	7	4	9	0	0	0	31	49	15	74	52	33	8	15		3052	3096	2240	1857	1600	996	953	1905	3722	1198	2029	3354	5027	2387	1719	1339	891		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
45	"Cork and articles of cork"	14	10	0	1	0	0	1	3	1	1	44	8	0	6	1	2	14		73	150	247	148	338	434	432	1038	602	315	538	115	556	397	640	400	513		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
26	"Ores, slag and ash"	141	99	149	234	0	0	2	0	81	0	1	2396	5	4	0	269	10		13721	10453	15740	38717	69760	69458	79725	51372	12363	30757	19895	22843	20634	35069	21545	13179	5201		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	0	19	13	0	77	42	127	63	313	126	3	0	0	305	6	40	9		780	1052	1318	1256	1503	913	1536	1473	2386	2197	2436	3310	4281	5492	3328	4125	4161		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
23	"Residues and waste from the food industries; prepared animal fodder"	0	2	0	0	0	0	0	0	0	0	0	16	13	60	41	7	7		108046	111537	117871	209188	163776	164762	226377	335956	340318	437320	537925	526755	777037	904603	690434	618249	482130		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
10	"Cereals"	11583	2342	0	0	22496	5365	0	0	0	1129	0	4	95	216	0	71	7		990756	1282598	1124176	1359542	1427112	1385796	1958191	4016024	2313554	1950573	4019858	3259391	3273090	3647317	3516568	2783057	2751207		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	5	0	1	0	4	2	27	11	4	0	0	3	22	15	0	1	5		236	306	326	537	607	258	331	439	403	554	864	905	840	884	685	786	1312		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
43	"Furskins and artificial fur; manufactures thereof"	0	0	7	0	1	0	35	0	0	0	2	0	0	0	0	0	3		0	2	4	1	6	156	200	163	91	76	234	157	31	6	41	46	23		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
36	"Explosives; pyrotechnic products; matches; pyrophoric alloys; certain combustible preparations"	100	37	31	13	9	32	21	4	11	27	32	0	0	36	0	29	3		1922	1671	2869	3125	3386	4970	5333	6569	7359	5878	3292	3715	2286	2929	4851	6664	5202		8171	9835	12276	12818	13101	9244	11341	18199	11952	15581	18306	23575	23963	28563	30264	27074	24543	
97	"Works of art, collectors' pieces and antiques"	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	375	1		34	68	75	301	6	50	42	81	98	72	256	12	52	16	2454	5320	19		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
92	"Musical instruments; parts and accessories of such articles"	6	3	0	2	4	2	0	8	0	6	7	0	1	11	2	3	0		308	454	356	488	1148	1055	971	1157	708	1143	1065	1153	2983	1101	822	6281	3911		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
88	"Aircraft, spacecraft, and parts thereof"	0	0	0	0	2	5	7	247	42	128	5	10	3	0	10	27	0		170875	218927	27728	52299	851996	32268	122797	130125	137884	368228	684819	103818	112069	111121	261183	621348	215081		524656	126794	444167	490812	254890	404605	530902	259140	285910	294359	343630	500686	688549	595661	688755	717532	1534670	
89	"Ships, boats and floating structures"	68	6	14	4877	8267	10494	9302	3093	1200	169	0	0	47	17	23	2	0		8530	18324	60099	189773	130104	55882	127435	81462	103434	170882	66230	60414	20687	85141	82545	96250	599676		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
80	"Tin and articles thereof"	0	0	1	15	9	0	0	33	0	147	0	0	153	156	0	0	0		420	675	826	733	998	633	4240	764	1358	1215	1071	2640	1987	1765	6112	1851	2600		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
05	"Products of animal origin, not elsewhere specified or included"	0	0	0	0	0	0	0	0	0	0	0	1	5	10	1	0	0		358	337	298	579	405	514	478	847	614	584	430	394	489	1068	1737	3073	2442		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
01	"Live animals"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7652	8721	28633	82536	51481	48675	21454	27622	67188	102202	144065	133427	189485	175191	105322	113707	108523		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
02	"Meat and edible meat offal"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10267	35353	88362	178239	220990	164030	141014	170036	172185	168773	164525	256853	253997	307500	259837	233384	188849		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
03	"Fish and crustaceans, molluscs and other aquatic invertebrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3005	6536	15480	21739	23140	27325	20786	25122	42282	63876	47121	49228	73122	111699	84384	80116	98104		54514	96728	124842	180514	206040	233385	273078	383297	318056	312928	395312	413747	520981	630002	647512	744561	797294	
78	"Lead and articles thereof"	0	0	0	4	3	0	0	25	0	0	0	0	1	0	0	13	0		2990	4450	3781	7887	9938	7186	9917	12813	10666	14551	10080	9541	11707	6856	10778	6260	4521		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
