Product code	Product label	Turkey's exports to Algeria-Value in 2001	Turkey's exports to Algeria-Value in 2002	Turkey's exports to Algeria-Value in 2003	Turkey's exports to Algeria-Value in 2004	Turkey's exports to Algeria-Value in 2005	Turkey's exports to Algeria-Value in 2006	Turkey's exports to Algeria-Value in 2007	Turkey's exports to Algeria-Value in 2008	Turkey's exports to Algeria-Value in 2009	Turkey's exports to Algeria-Value in 2010	Turkey's exports to Algeria-Value in 2011	Turkey's exports to Algeria-Value in 2012	Turkey's exports to Algeria-Value in 2013	Turkey's exports to Algeria-Value in 2014	Turkey's exports to Algeria-Value in 2015	Turkey's exports to Algeria-Value in 2016	Turkey's exports to Algeria-Value in 2017	Algeria's imports from world- 	Algeria's imports from world-Value in 2001	Algeria's imports from world-Value in 2002	Algeria's imports from world-Value in 2003	Algeria's imports from world-Value in 2004	Algeria's imports from world-Value in 2005	Algeria's imports from world-Value in 2006	Algeria's imports from world-Value in 2007	Algeria's imports from world-Value in 2008	Algeria's imports from world-Value in 2009	Algeria's imports from world-Value in 2010	Algeria's imports from world-Value in 2011	Algeria's imports from world-Value in 2012	Algeria's imports from world-Value in 2013	Algeria's imports from world-Value in 2014	Algeria's imports from world-Value in 2015	Algeria's imports from world-Value in 2016	Algeria's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
76	"Aluminium and articles thereof"	2497	3326	11418	11872	13295	9938	14082	14209	15650	22412	19448	18659	21439	27003	27316	32656	31657		79126	104106	105377	145942	134243	173376	211561	283114	258833	287899	359007	407919	445269	490822	513695	520133	489892		321041	345430	497338	649488	875609	1233803	1619640	1776509	1399411	1916086	2285695	2251943	2363206	2546906	2370147	2237340	2513763	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	83	55	108	314	192	200	97	43	198	430	205	156	587	160	1618	10185	29551		15980	32755	37846	53430	46759	35725	43684	56483	55932	58772	75208	96548	126734	137850	124247	167680	172065		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
57	"Carpets and other textile floor coverings"	224	622	1231	1496	835	637	649	2483	3694	6879	11422	16395	24404	29886	25539	26995	28532		706	2607	1860	5503	5314	4803	4467	5607	8179	11790	13703	18655	30318	35141	31557	32603	30898		263254	286558	381036	517543	669989	743093	991984	1158452	1075386	1266828	1601798	1997286	2187814	2347582	2009356	1912553	2162564	
63	"Other made-up textile articles; sets; worn clothing and worn textile articles; rags"	1819	2473	4622	8707	9302	9845	11108	7570	7990	6715	8466	14582	20317	22748	22216	22417	23162		11481	15464	14849	22407	25805	30317	44609	51256	69197	64689	72034	80567	99881	117921	116493	117901	120791		1055227	1248022	1631925	1856536	1969748	1920431	2110210	2097710	1647817	1838582	2138565	1903514	2191131	2227852	1899423	1953915	2017275	
56	"Wadding, felt and nonwovens; special yarns; twine, cordage, ropes and cables and articles thereof"	1027	316	367	607	706	405	460	822	2927	7572	9776	12343	19489	20214	25434	23084	22843		6451	7496	8979	12194	13333	15454	20587	34145	46732	68333	86399	106102	127064	112392	116101	117709	115822		56374	67266	98236	166638	178883	172705	205557	221699	227952	302555	406620	476730	513645	578202	570180	612456	647136	
21	"Miscellaneous edible preparations"	3421	5788	7686	8308	11860	14778	21250	25365	25800	26798	21635	13974	17532	18147	19932	23442	19635		60729	82181	80857	97649	109981	112371	147804	168975	202239	233060	273719	307141	356848	383839	347986	349374	356236		101738	128560	159716	194286	235660	325668	437292	545692	541313	554692	715533	717680	764246	784319	695253	686295	687045	
44	"Wood and articles of wood; wood charcoal"	1669	2941	2423	4293	3015	2915	3409	5496	5613	5608	5777	7656	7547	10299	15099	18961	18493		213027	237407	310691	355169	347955	421779	662791	642868	585409	695969	725511	779983	837841	998308	774153	712268	428710		109563	116997	145381	203276	249515	335595	455777	534724	510031	573203	652927	657954	724631	853305	692752	675873	763956	
40	"Rubber and articles thereof"	3219	3574	5687	8939	5984	10218	13450	13997	15970	18102	26036	29484	27214	34274	25471	22356	18397		135739	158631	174981	242916	226232	214956	255888	325759	370339	456259	508039	650839	634119	625939	600919	585558	491483		458890	513990	684092	841431	1008639	1192419	1589147	1807993	1468685	1895911	2593022	2424868	2482053	2597295	2165622	2201788	2494978	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	4757	3596	1037	1000	440	272	1552	3613	1543	1487	2014	1638	2453	3135	1387	7371	16565		235426	276337	342521	380961	311187	383508	515823	764653	564508	670182	979534	993158	964687	819277	718292	744811	899239		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
60	"Knitted or crocheted fabrics"	10241	8480	7817	13633	16096	20442	22445	21334	18459	17337	26202	28166	29677	25474	21643	17496	16228		7627	7599	7319	8562	7161	6475	6271	7804	9350	8500	10706	13936	20368	26988	24588	18772	25703		238948	263624	343559	441763	571082	753162	1011908	1132497	978721	1265851	1482848	1560629	1681870	1693530	1440792	1497948	1554920	
