Product code	Product label	Turkey's exports to Saudi Arabia-Value in 2001	Turkey's exports to Saudi Arabia-Value in 2002	Turkey's exports to Saudi Arabia-Value in 2003	Turkey's exports to Saudi Arabia-Value in 2004	Turkey's exports to Saudi Arabia-Value in 2005	Turkey's exports to Saudi Arabia-Value in 2006	Turkey's exports to Saudi Arabia-Value in 2007	Turkey's exports to Saudi Arabia-Value in 2008	Turkey's exports to Saudi Arabia-Value in 2009	Turkey's exports to Saudi Arabia-Value in 2010	Turkey's exports to Saudi Arabia-Value in 2011	Turkey's exports to Saudi Arabia-Value in 2012	Turkey's exports to Saudi Arabia-Value in 2013	Turkey's exports to Saudi Arabia-Value in 2014	Turkey's exports to Saudi Arabia-Value in 2015	Turkey's exports to Saudi Arabia-Value in 2016	Turkey's exports to Saudi Arabia-Value in 2017	Saudi Arabia's imports from world- 	Saudi Arabia's imports from world-Value in 2001	Saudi Arabia's imports from world-Value in 2002	Saudi Arabia's imports from world-Value in 2003	Saudi Arabia's imports from world-Value in 2004	Saudi Arabia's imports from world-Value in 2005	Saudi Arabia's imports from world-Value in 2006	Saudi Arabia's imports from world-Value in 2007	Saudi Arabia's imports from world-Value in 2008	Saudi Arabia's imports from world-Value in 2009	Saudi Arabia's imports from world-Value in 2010	Saudi Arabia's imports from world-Value in 2011	Saudi Arabia's imports from world-Value in 2012	Saudi Arabia's imports from world-Value in 2013	Saudi Arabia's imports from world-Value in 2014	Saudi Arabia's imports from world-Value in 2015	Saudi Arabia's imports from world-Value in 2016	Saudi Arabia's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
97	"Works of art, collectors' pieces and antiques"	6	5	3	1	0	0	3	25	56	16	3	3	211	171	17	48	117		3414	5639	4716	4368	5365	5933	6575	9944	9205	10509	10426	10225	14477	15532	10877	23230	9436		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
05	"Products of animal origin, not elsewhere specified or included"	0	0	5	0	0	0	1	0	1	29	0	1	4	1	2	49	112		2083	1439	2988	2892	3615	3801	4567	6191	6633	4270	4326	5868	5640	6839	7175	6767	6744		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	0	1	0	1	0	3	1	55	1	0	2	2	4	8	5	32	88		568	968	1279	1074	1371	1432	1964	2412	2863	4560	5586	7978	6605	5465	7492	34210	6386		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
75	"Nickel and articles thereof"	13	1	2	2	2	1	19	5	76	49	88	46	69	56	20	91	65		1723	2645	6666	7481	5435	9960	30189	23061	10786	11368	17106	184089	34599	29178	28889	25962	37881		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
80	"Tin and articles thereof"	0	0	0	0	0	0	0	0	9	8	2	9	0	0	34	72	52		617	437	856	2371	2729	2892	6123	10986	4860	9049	16109	8978	10527	14978	10577	9104	11720		194	302	115	426	637	940	3626	3409	520	2302	2163	1198	1552	1103	1158	1970	1748	
46	"Manufactures of straw, of esparto or of other plaiting materials; basketware and wickerwork"	0	6	2	5	0	3	3	14	9	2	7	67	8	7	39	49	42		3246	2731	4442	9098	9328	7947	5716	6226	7690	8571	14171	25502	37553	43056	41104	31840	33133		220	308	753	539	514	723	510	825	462	619	725	936	1086	2411	4022	6401	1201	
14	"Vegetable plaiting materials; vegetable products not elsewhere specified or included"	8	0	5	2	0	2	0	20	62	27	0	52	91	120	118	17	40		2143	1977	2222	2986	3685	2374	3093	5203	4697	3525	5326	6854	7801	5761	11546	11265	11621		18981	10471	16889	15563	17083	13357	18320	19774	11134	23340	32852	28417	20367	12983	17778	17742	20388	
50	"Silk"	3	16	4	0	0	0	0	10	0	3	0	0	0	17	38	3	29		2224	3905	5306	8503	11742	13938	9850	13236	9935	6802	8499	5724	4049	3197	3659	2987	2268		1790	1955	3628	6091	4557	3337	3280	3395	4077	3700	3538	3017	3391	2737	2626	2441	3376	
81	"Other base metals; cermets; articles thereof"	0	0	1	2	0	119	475	0	10	1	9	51	12	43	34	20	27		4918	2049	3000	3454	6443	9464	14160	23604	8165	11537	39621	46176	23974	36970	31700	20327	16661		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
92	"Musical instruments; parts and accessories of such articles"	13	0	0	9	6	0	0	2	0	0	0	4	4	25	0	84	19		2628	2893	3832	5167	4909	4379	3460	3570	3741	3645	6295	5152	5886	5217	6353	6366	7478		2317	2831	3323	4357	5114	5719	8009	9746	8024	8749	9094	9411	9200	10219	9166	9557	9484	
41	"Raw hides and skins (other than furskins) and leather"	132	265	182	85	55	21	38	14	3	11	64	80	86	50	52	135	16		1318	838	2527	2945	2875	4315	1456	1863	809	737	1787	1409	1012	1688	876	1608	1297		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
45	"Cork and articles of cork"	16	31	31	0	42	41	0	0	0	0	1	1	3	5	3	10	13		1076	629	1007	929	6377	2846	3989	3559	3237	2975	4497	2487	3653	4120	4474	25141	8875		124	120	170	175	320	322	464	618	452	330	715	512	673	891	679	436	634	
43	"Furskins and artificial fur; manufactures thereof"	5	0	0	0	10	0	0	8	78	45	54	2	5	18	4	9	5		1522	2717	2469	1350	3629	3806	3892	6586	3831	1145	1114	2741	2415	3083	7049	7633	2584		100366	138317	159622	149069	155342	182544	171400	140835	104878	174587	261903	273937	283011	239768	136825	123751	156044	
78	"Lead and articles thereof"	86	18	20	42	1	3	2	81	11	32	110	11	17	6	171	32	3		2838	2554	2236	2586	3598	16014	24700	64650	17317	35399	106485	58453	60269	25402	45995	31332	20222		2657	2724	1350	5904	3510	3905	4429	5976	4596	6411	7662	9730	13919	15508	18738	26827	25719	
47	"Pulp of wood or of other fibrous cellulosic material; recovered (waste and scrap) paper or ..."	0	0	0	0	0	0	0	814	919	324	45	131	45	0	0	0	0		19443	10729	27625	30296	31374	52203	61422	98269	67773	89005	93399	90936	102773	83766	110339	58977	106130		83	738	637	659	937	1191	1470	7407	5745	14612	27798	8478	29020	34836	24259	23991	21826	
37	"Photographic or cinematographic goods"	8	32	57	20	7	20	17	23	37	53	43	0	0	0	1	0	0		30462	31944	40818	46122	52763	48641	49521	55051	51675	53390	52896	65659	67631	65157	112262	87532	117451		6224	7878	7402	5755	7539	8544	11123	12258	11298	14043	17646	25437	26296	18742	12523	11471	13682	
26	"Ores, slag and ash"	0	0	0	4	0	3	3	0	0	11	0	6	1265	577	0	0	0		245072	70873	153104	274361	646189	620987	685573	1385193	826053	1510450	1847642	1710901	1380478	1426945	844177	691210	1034051		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
