Product code	Product label	Turkey's exports to United Kingdom-Value in 2001	Turkey's exports to United Kingdom-Value in 2002	Turkey's exports to United Kingdom-Value in 2003	Turkey's exports to United Kingdom-Value in 2004	Turkey's exports to United Kingdom-Value in 2005	Turkey's exports to United Kingdom-Value in 2006	Turkey's exports to United Kingdom-Value in 2007	Turkey's exports to United Kingdom-Value in 2008	Turkey's exports to United Kingdom-Value in 2009	Turkey's exports to United Kingdom-Value in 2010	Turkey's exports to United Kingdom-Value in 2011	Turkey's exports to United Kingdom-Value in 2012	Turkey's exports to United Kingdom-Value in 2013	Turkey's exports to United Kingdom-Value in 2014	Turkey's exports to United Kingdom-Value in 2015	Turkey's exports to United Kingdom-Value in 2016	Turkey's exports to United Kingdom-Value in 2017	United Kingdom's imports from world- 	United Kingdom's imports from world-Value in 2001	United Kingdom's imports from world-Value in 2002	United Kingdom's imports from world-Value in 2003	United Kingdom's imports from world-Value in 2004	United Kingdom's imports from world-Value in 2005	United Kingdom's imports from world-Value in 2006	United Kingdom's imports from world-Value in 2007	United Kingdom's imports from world-Value in 2008	United Kingdom's imports from world-Value in 2009	United Kingdom's imports from world-Value in 2010	United Kingdom's imports from world-Value in 2011	United Kingdom's imports from world-Value in 2012	United Kingdom's imports from world-Value in 2013	United Kingdom's imports from world-Value in 2014	United Kingdom's imports from world-Value in 2015	United Kingdom's imports from world-Value in 2016	United Kingdom's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
75	"Nickel and articles thereof"	41	1	14	17	1	44	8	4	95	40	38	235	66	119	301	423	466		729697	634753	745878	1216895	1256789	1824498	3109893	2217774	848019	1607268	2003907	1599026	1436338	1414042	1251211	1004145	1169108		689	976	977	1953	2945	2584	12438	10382	6035	11039	9678	25849	21750	14986	12007	23909	45763	
10	"Cereals"	40	96	155	104	123	631	3050	210	109	94	1036	2021	48	155	133	1194	475		794058	766764	873659	903256	937769	951968	1434907	1767797	1358547	1217401	1401624	1682586	2371331	1919027	1535398	1217650	1544947		162212	80444	56164	17463	114646	200963	66603	38412	204618	349247	110113	170358	175599	126373	108660	102770	109987	
31	"Fertilisers"	6	2	0	0	2382	150	0	9560	14	5159	120	61	97	116	78	9	513		457933	410767	576152	643473	694513	727960	932648	1806414	834691	1208221	1498868	1307071	1262125	1366299	1132509	924518	933089		18743	34904	20371	39178	37755	37558	84346	217321	83679	205484	200598	147397	98501	151356	134435	146239	163173	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	575	296	581	1468	2604	1865	3375	3701	5361	4538	4195	4646	3735	4018	4009	3711	611		151989	169514	200502	236888	246200	287925	367912	445432	378980	391744	478248	431964	520182	480003	427977	426263	434269		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
81	"Other base metals; cermets; articles thereof"	72	54	32	51	282	187	105	194	76	6	1025	785	475	19	43	123	752		722556	568328	553717	757569	1018921	1172138	1316897	1410704	794656	1015739	1326421	1175784	1105088	1084980	996633	897079	1067701		1270	1019	1190	2517	2665	2237	4306	5766	4866	8262	13332	14136	14471	13510	8118	11465	23249	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	174	161	217	287	178	255	399	181	420	304	608	972	1107	1268	614	648	829		796121	869279	1071512	1217339	1234107	1535314	1864134	2617677	1726796	1806969	2524243	2282226	2218576	2102855	1790667	1693608	2010768		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	496	567	651	1190	1335	676	1098	1026	1187	975	1157	1079	1364	1195	971	967	929		594464	612921	657678	710933	687752	734049	867557	1193351	1134712	1154217	1180693	1204375	1231974	1187756	1061069	916349	1095301		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
65	"Headgear and parts thereof"	195	357	268	292	379	300	442	351	384	686	877	1137	1941	2574	1599	1652	1044		226992	238719	271817	306054	306730	332205	360149	384338	376353	415452	487019	421608	438737	495614	467395	456820	470417		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
97	"Works of art, collectors' pieces and antiques"	25	55	54	3	45	0	13	70	83	200	783	205	171	233	317	1015	1240		3026678	3549271	3008300	3650817	3781266	4880417	6900178	5792736	3856870	5460407	7931944	7840652	5757428	5865120	6310123	3787805	2849320		3532	1315	335	1231	435	653	794	1103	2054	2956	4599	2038	14999	4021	4135	7711	9229	
23	"Residues and waste from the food industries; prepared animal fodder"	0	20	58	58	0	5	16	1	16	13	8	0	2	62	86	112	1428		1147836	1122805	1500812	1671118	1655144	1882722	2166230	2627615	2435987	2640215	2714189	2738867	3244757	3334617	2905550	2673358	2764987		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
79	"Zinc and articles thereof"	2275	1470	563	2361	2057	847	1612	1353	653	866	1137	835	452	798	703	710	1485		145451	118254	213074	230389	255766	519083	640117	361049	214784	295531	300014	237596	273908	339693	296356	286608	399673		7383	9026	4722	10229	9617	9330	12639	12933	10846	11410	16812	18549	19385	20682	22622	25257	23786	
41	"Raw hides and skins (other than furskins) and leather"	595	345	1284	679	578	487	332	585	198	165	610	1003	766	955	317	917	1506		343791	310016	326379	338104	298495	301821	312926	265950	156989	211171	259721	237592	308200	345837	299812	255028	244767		68556	67205	79901	84629	87461	102612	120162	121071	93631	115731	138608	161317	198676	226493	181134	184206	210077	
91	"Clocks and watches and parts thereof"	256	225	183	151	136	207	323	652	105	311	514	494	992	1120	1333	1181	1574		822339	843489	896593	1032598	1023331	1127156	1273290	1358597	1141256	1279413	1543739	1540180	1715959	1883410	2098813	1989960	2000791		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
26	"Ores, slag and ash"	10	27	16	113	81	32	3235	3399	222	187	1997	1433	6247	2101	2452	3322	2445		1791008	1406221	1557045	2055401	2416458	3063137	4025989	4830253	2081947	3317967	4076573	3373584	3875187	3271574	2254820	1742779	1696320		88123	109138	109151	202087	277918	511086	885499	1036348	702169	1296437	1254682	1391576	1774230	1398746	1000959	929242	1397660	
24	"Tobacco and manufactured tobacco substitutes"	1073	355	524	413	586	548	2151	139	3	139	186	572	255	1476	62	5951	2656		767527	833552	856409	811449	803102	829555	845667	862798	873260	1376250	2320073	1290586	733760	705669	638798	469834	699981		435367	385033	418809	477848	590047	684890	643799	704550	757499	697027	670625	842432	904504	1072108	918492	1006056	946199	
