Product code	Product label	Turkey's exports to Italy-Value in 2001	Turkey's exports to Italy-Value in 2002	Turkey's exports to Italy-Value in 2003	Turkey's exports to Italy-Value in 2004	Turkey's exports to Italy-Value in 2005	Turkey's exports to Italy-Value in 2006	Turkey's exports to Italy-Value in 2007	Turkey's exports to Italy-Value in 2008	Turkey's exports to Italy-Value in 2009	Turkey's exports to Italy-Value in 2010	Turkey's exports to Italy-Value in 2011	Turkey's exports to Italy-Value in 2012	Turkey's exports to Italy-Value in 2013	Turkey's exports to Italy-Value in 2014	Turkey's exports to Italy-Value in 2015	Turkey's exports to Italy-Value in 2016	Turkey's exports to Italy-Value in 2017	Italy's imports from world- 	Italy's imports from world-Value in 2001	Italy's imports from world-Value in 2002	Italy's imports from world-Value in 2003	Italy's imports from world-Value in 2004	Italy's imports from world-Value in 2005	Italy's imports from world-Value in 2006	Italy's imports from world-Value in 2007	Italy's imports from world-Value in 2008	Italy's imports from world-Value in 2009	Italy's imports from world-Value in 2010	Italy's imports from world-Value in 2011	Italy's imports from world-Value in 2012	Italy's imports from world-Value in 2013	Italy's imports from world-Value in 2014	Italy's imports from world-Value in 2015	Italy's imports from world-Value in 2016	Italy's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
06	"Live trees and other plants; bulbs, roots and the like; cut flowers and ornamental foliage"	77	71	251	70	59	366	186	231	10	33	18	127	280	335	1217	645	430		378251	417781	454661	614350	631963	658105	696956	721234	661280	746470	783627	682766	655861	662922	592637	580014	619597		14282	20066	31486	37748	36230	40523	46447	45524	48613	56053	75957	73028	76989	82993	77429	81614	85510	
02	"Meat and edible meat offal"	371	723	652	1882	1486	1643	1604	1793	1528	1103	1371	1395	1496	1446	1082	878	461		2903256	2969536	3665284	4375937	4749162	5449833	5770933	6245116	5788945	5824772	6352468	5882110	6111564	6094263	4938616	4719128	5073363		17188	13249	18720	22487	36217	29468	46518	89124	154896	208012	390255	532489	614698	659435	444448	370847	542834	
05	"Products of animal origin, not elsewhere specified or included"	655	537	1588	2309	2830	1131	629	713	463	743	2171	1891	1446	1812	1152	664	568		137295	146201	161458	196643	202891	227954	242869	314755	267803	282439	310870	292776	301047	316330	243024	220443	238607		28124	37649	48705	47546	40638	33611	34629	40670	31531	33747	45899	56835	64097	74476	54238	50643	54720	
65	"Headgear and parts thereof"	17	45	75	62	310	101	257	357	119	444	425	272	288	438	420	537	625		94793	109382	127873	177464	222022	257707	259518	261970	233800	280829	306666	246323	247419	278628	254762	281062	306489		3929	4531	5495	7724	8152	9531	11754	16175	11524	14303	16960	21169	26549	34025	31094	31580	37773	
91	"Clocks and watches and parts thereof"	72	63	434	206	142	289	764	1004	509	843	1373	1429	969	1186	892	813	1062		826043	903381	994944	1180475	1245933	1326546	1491896	1575670	1331463	1372062	1643116	1661676	1744909	1911031	1954510	1716086	1713005		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
19	"Preparations of cereals, flour, starch or milk; pastrycooks' products"	553	100	1017	1258	405	530	671	941	882	690	918	565	599	1576	1868	1997	1109		447596	530508	692560	873047	987614	1150479	1392290	1491391	1375990	1448976	1655791	1547032	1657958	1712453	1498272	1538302	1627436		131114	164044	239009	304125	348444	401959	532908	711939	678128	804479	1037190	1234702	1544821	1656090	1505591	1500485	1618547	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	45	67	141	185	268	230	268	491	443	419	742	1127	560	958	878	1727	1237		545244	568013	592993	746343	743836	802614	866775	876477	801425	784410	863685	771405	759100	795194	673552	638658	653140		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
09	"Coffee, tea, maté and spices"	1490	1138	969	1411	1458	1162	1410	2007	1675	1600	1410	1006	1408	1462	1083	1150	1346		551036	474001	554909	631091	823692	971500	1217796	1536749	1392577	1465904	2146427	2069037	1828112	1903703	1972893	1885170	2014689		57908	66883	61130	64041	64359	70616	94671	105959	97416	103447	110495	118694	159251	172076	168481	195891	178379	
35	"Albuminoidal substances; modified starches; glues; enzymes"	633	761	877	922	1509	1710	1685	2226	1788	1610	1358	2312	1367	1477	1904	2091	2013		439265	418587	492842	599766	617420	609829	696694	736918	588009	625956	693460	625632	694968	729618	614408	588908	644233		10995	22701	19559	25581	34606	44829	55334	70604	75112	94365	135571	183444	197167	181712	175529	182440	196511	
86	"Railway or tramway locomotives, rolling stock and parts thereof; railway or tramway track fixtures ..."	495	804	4976	274	251	121	530	232	290	102	139	636	744	1600	3408	848	2060		270587	232400	394201	486930	482694	602941	598133	743543	787267	668713	816224	860562	955888	1152708	1183669	1177100	794015		19359	36068	38801	25772	30938	25742	19738	31750	86099	16841	115181	127016	183418	150341	94904	50698	85320	
53	"Other vegetable textile fibres; paper yarn and woven fabrics of paper yarn"	788	414	916	1294	1892	764	1334	1184	972	941	2061	1664	1055	979	1070	2071	2182		189176	197555	258358	295579	277770	256316	246164	198655	123073	177805	222421	181039	167310	189643	172242	174840	171518		4351	6077	15813	17585	25092	24596	31317	29472	18561	21755	24796	23733	26630	25928	22135	29494	32389	
13	"Lac; gums, resins and other vegetable saps and extracts"	0	0	163	50	169	254	865	243	0	21	1035	1277	1168	1387	2101	2186	2185		88355	93862	115174	135468	150242	132796	146685	169140	143958	157821	198500	238595	234658	229003	195814	191440	196966		2043	1570	1900	2849	2615	3038	5454	3618	1525	4683	6636	8403	10456	9821	9107	10283	12003	
