Product code	Product label	Turkey's exports to Belgium-Value in 2001	Turkey's exports to Belgium-Value in 2002	Turkey's exports to Belgium-Value in 2003	Turkey's exports to Belgium-Value in 2004	Turkey's exports to Belgium-Value in 2005	Turkey's exports to Belgium-Value in 2006	Turkey's exports to Belgium-Value in 2007	Turkey's exports to Belgium-Value in 2008	Turkey's exports to Belgium-Value in 2009	Turkey's exports to Belgium-Value in 2010	Turkey's exports to Belgium-Value in 2011	Turkey's exports to Belgium-Value in 2012	Turkey's exports to Belgium-Value in 2013	Turkey's exports to Belgium-Value in 2014	Turkey's exports to Belgium-Value in 2015	Turkey's exports to Belgium-Value in 2016	Turkey's exports to Belgium-Value in 2017	Belgium's imports from world- 	Belgium's imports from world-Value in 2001	Belgium's imports from world-Value in 2002	Belgium's imports from world-Value in 2003	Belgium's imports from world-Value in 2004	Belgium's imports from world-Value in 2005	Belgium's imports from world-Value in 2006	Belgium's imports from world-Value in 2007	Belgium's imports from world-Value in 2008	Belgium's imports from world-Value in 2009	Belgium's imports from world-Value in 2010	Belgium's imports from world-Value in 2011	Belgium's imports from world-Value in 2012	Belgium's imports from world-Value in 2013	Belgium's imports from world-Value in 2014	Belgium's imports from world-Value in 2015	Belgium's imports from world-Value in 2016	Belgium's imports from world-Value in 2017	Turkey's exports to world- 	Turkey's exports to world-Value in 2001	Turkey's exports to world-Value in 2002	Turkey's exports to world-Value in 2003	Turkey's exports to world-Value in 2004	Turkey's exports to world-Value in 2005	Turkey's exports to world-Value in 2006	Turkey's exports to world-Value in 2007	Turkey's exports to world-Value in 2008	Turkey's exports to world-Value in 2009	Turkey's exports to world-Value in 2010	Turkey's exports to world-Value in 2011	Turkey's exports to world-Value in 2012	Turkey's exports to world-Value in 2013	Turkey's exports to world-Value in 2014	Turkey's exports to world-Value in 2015	Turkey's exports to world-Value in 2016	Turkey's exports to world-Value in 2017	
66	"Umbrellas, sun umbrellas, walking sticks, seat-sticks, whips, riding-crops and parts thereof"	0	1	1	141	248	791	1387	1744	668	546	710	302	140	68	177	238	248		26490	26659	31788	46844	39456	44555	54946	55528	46709	48339	66730	50213	49601	50712	42750	48943	51146		519	1137	3340	4155	6314	9584	17201	18769	10487	11261	12420	7249	5661	5365	4535	5233	5382	
01	"Live animals"	6	62	30	0	63	1368	1947	1009	688	389	538	258	360	407	438	596	300		272799	282263	327251	410198	418153	454103	592072	686303	733380	728301	757846	756884	848501	747975	579743	650990	663556		43569	31276	8217	7311	5180	8515	7078	12922	24366	7322	6215	8142	13464	26720	34473	27914	34673	
12	"Oil seeds and oleaginous fruits; miscellaneous grains, seeds and fruit; industrial or medicinal ..."	197	298	285	406	182	630	846	794	988	424	125	269	257	220	209	245	318		674986	759616	911651	926882	919199	1051588	1459736	1680411	1613630	1811631	2377406	2474493	2220379	2282178	1849019	1829719	1846453		53684	50682	73323	80261	96607	116198	129699	149713	154652	182887	229737	238304	278886	255552	199972	372814	284781	
91	"Clocks and watches and parts thereof"	33	24	38	31	15	37	44	42	34	67	67	28	96	347	603	862	332		186183	157527	160949	196986	179684	176338	229693	254780	228707	239003	292800	304240	342839	328113	281536	251389	246723		5391	6314	7054	7713	7372	8601	13451	15188	14657	20293	18938	20983	27591	37268	34915	34194	45874	
11	"Products of the milling industry; malt; starches; inulin; wheat gluten"	71	73	47	55	59	34	81	284	112	137	190	194	315	225	233	354	351		192245	212477	303538	392405	375576	399119	591999	849989	654228	531136	655640	671394	799888	627123	535642	547169	607453		61360	74757	139968	235212	483572	321803	504658	715656	665317	720213	1098380	1020558	1113873	1126375	1176203	1282739	1253835	
49	"Printed books, newspapers, pictures and other products of the printing industry; manuscripts, ..."	363	284	227	337	514	270	505	548	416	538	940	560	803	976	726	438	456		849714	802452	1024621	1146278	1204049	1246868	1338449	1427855	1274750	1271496	1408298	1273392	1336568	1131042	838170	813190	823431		21071	20579	30945	37212	49499	53956	74789	82212	84745	84248	89759	88778	94698	96669	87374	75061	79950	
15	"Animal or vegetable fats and oils and their cleavage products; prepared edible fats; animal ..."	91	208	217	836	1407	1190	1785	12333	1622	15233	7077	551	708	460	560	485	497		647102	823324	973790	1198090	1138080	1222607	1622778	2628243	1893505	1817730	2805468	2318534	2543623	2228151	1685634	1821881	2074854		234827	155093	347174	277049	502911	512917	401667	766003	511000	458236	1026173	1200983	1402820	1176513	994364	1045131	1034034	
51	"Wool, fine or coarse animal hair; horsehair yarn and woven fabric"	6827	5476	7969	4547	6731	11495	11293	8308	5922	4090	1448	2778	3120	1986	2002	897	503		167679	172127	209249	230651	209297	228183	243143	203190	154295	135211	144671	137563	131733	137355	116926	105308	104324		108265	117978	132833	167572	180202	185033	228992	233043	152938	173219	204156	195288	194995	195904	154519	122058	149141	
23	"Residues and waste from the food industries; prepared animal fodder"	0	6	3	48	27	0	11	112	19	12	92	10	15	180	97	93	612		919432	945124	1043494	1191774	1175449	1222468	1571386	2102598	1732569	1684025	2028445	2014326	2356403	2292814	1878234	1914580	2036985		24749	12077	13832	10928	15435	9448	11156	52129	65867	27335	50980	131101	201527	161745	110588	129108	186913	
89	"Ships, boats and floating structures"	58	23	15	313	15921	82	26150	2465	19691	291	134	97	1162	1147	260	238	639		91044	104874	189161	1370806	2649169	852192	1054759	1602673	1335852	1094243	966959	525797	254544	538859	178079	183963	250384		308647	290073	440511	686334	1251573	1398516	1818572	2647859	1826247	1108614	1271173	812835	1139344	1270033	996784	970058	1308252	
