Product code	Product label	Turkey's imports from France-Value in 2001	Turkey's imports from France-Value in 2002	Turkey's imports from France-Value in 2003	Turkey's imports from France-Value in 2004	Turkey's imports from France-Value in 2005	Turkey's imports from France-Value in 2006	Turkey's imports from France-Value in 2007	Turkey's imports from France-Value in 2008	Turkey's imports from France-Value in 2009	Turkey's imports from France-Value in 2010	Turkey's imports from France-Value in 2011	Turkey's imports from France-Value in 2012	Turkey's imports from France-Value in 2013	Turkey's imports from France-Value in 2014	Turkey's imports from France-Value in 2015	Turkey's imports from France-Value in 2016	Turkey's imports from France-Value in 2017	France's exports to world- 	France's exports to world-Value in 2001	France's exports to world-Value in 2002	France's exports to world-Value in 2003	France's exports to world-Value in 2004	France's exports to world-Value in 2005	France's exports to world-Value in 2006	France's exports to world-Value in 2007	France's exports to world-Value in 2008	France's exports to world-Value in 2009	France's exports to world-Value in 2010	France's exports to world-Value in 2011	France's exports to world-Value in 2012	France's exports to world-Value in 2013	France's exports to world-Value in 2014	France's exports to world-Value in 2015	France's exports to world-Value in 2016	France's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
4707	"Recovered "waste and scrap" paper or paperboard (excluding paper wool)"	0	110	0	0	0	0	1	0	1540	3	0	13	0	157	467	463	3121		76309	104479	134649	173837	201342	235106	353149	385325	290563	473497	625426	499781	454015	436562	397693	431504	481960		6986	23815	12211	9412	5482	8984	4631	15334	11526	17277	16100	8991	13198	33277	47526	73192	145881	
2935	"Sulphonamides"	7612	5597	5217	6823	6776	8369	2068	2544	1444	1024	565	497	387	507	447	363	3130		126681	106561	106319	152308	146014	169910	182869	232705	183738	190491	213053	237821	274479	263317	229654	234239	239372		37333	29808	33338	34254	29444	39208	27118	21879	21368	28312	31759	24855	21159	22739	21796	21311	27096	
5903	"Textile fabrics impregnated, coated, covered or laminated with plastics (excluding tyre cord ..."	4039	8258	12116	9697	9555	12880	13665	11112	10027	9089	8139	4958	4612	3696	1896	2030	3266		272948	305925	318401	331941	311176	288451	304270	339852	236894	237950	261331	250065	235812	235819	208249	194895	216822		35475	49876	61984	106842	132266	105711	115277	130497	115889	140271	193274	164289	184759	201020	167585	164291	190373	
2523	"Cement, incl. cement clinkers, whether or not coloured"	1338	1734	1261	1414	1319	1192	3472	2955	1869	2111	3155	3378	2819	3191	3297	2845	3268		82863	85561	91418	111465	112990	127835	104755	110902	98784	126693	121473	132517	149439	141267	119699	113614	120282		8857	4053	8194	17087	36323	129502	94145	36658	6041	9629	7848	12502	13334	14358	17076	16526	11259	
5503	"Synthetic staple fibres, not carded, combed or otherwise processed for spinning"	421	1098	1792	2263	2988	10502	2899	2593	2172	1547	1415	2379	1860	2807	3230	2969	3339		16888	29759	28307	34711	35223	30261	37359	42728	33056	39679	48852	40571	41890	52932	35040	32425	33508		85422	128252	161068	170367	190079	219489	260377	251775	191710	265867	341148	322860	353682	390371	376570	351190	422360	
4403	"Wood in the rough, whether or not stripped of bark or sapwood, or roughly squared (excluding ..."	899	46	0	847	261	1344	978	2517	1419	1969	3832	3463	2793	3049	2741	2158	3353		263814	210393	239104	261261	262065	288328	372813	349333	301686	394350	458263	327973	350529	377842	320526	293660	339708		66509	78408	100732	172825	208316	229455	254091	210506	113160	146994	175003	146782	107556	103788	89696	62218	33431	
3810	"Pickling preparations for metal surfaces; fluxes and other auxiliary preparations for soldering, ..."	1075	1702	2400	1427	2435	2758	3769	4167	5046	3989	3919	4077	4985	3258	5113	4710	3360		35783	43987	48713	58511	56552	67706	84286	92226	75083	82818	92568	93417	97342	86349	70696	65391	67831		4598	5957	8452	9087	11383	13270	17481	17330	16073	17914	17654	16412	19111	16622	17621	16426	16621	
8541	"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, ..."	10943	5972	4654	4717	4133	3800	1105	765	545	682	1068	1042	440	422	530	469	3398		750752	615192	747366	857364	778529	902156	1032957	1144453	1072495	1586283	1510861	1298134	1266156	1318568	1197294	1090099	997962		56448	72058	86007	117950	111498	130138	182071	186968	163014	204073	260140	269003	314664	410827	630440	2963839	3789458	
3812	"Prepared rubber accelerators; compound plasticisers for rubber or plastics, n.e.s.; anti-oxidising ..."	1151	1349	1946	1397	2312	1856	2126	3299	2806	3705	4050	4264	4823	5413	4994	3787	3406		57341	50741	67382	82641	83798	93918	96953	101084	74159	110724	136933	109996	102013	82859	66748	63780	68834		19643	29279	39983	47459	52878	58204	63007	67181	55049	67773	84349	74620	74657	77611	83134	80378	94046	
8308	"Clasps, frames with clasps, buckles, buckle-clasps, hooks, eyes, eyelets and the like, of base ..."	469	668	1041	1426	1058	1450	1754	1433	1060	2141	3519	7774	4010	4107	3267	1831	3470		85830	74485	98394	110099	90109	84060	102101	116621	93024	118054	156679	155973	135260	132152	124671	160658	209846		9836	14360	17944	25785	29009	31401	40851	43178	35444	48576	51762	55191	57458	54948	42634	37589	44202	
3207	"Prepared pigments, prepared opacifiers and prepared colours, vitrifiable enamels and glazes, ..."	1911	2067	2387	2629	5192	4937	3642	4002	3399	2663	3903	3260	4352	3356	3692	2555	3481		37980	36297	40428	44177	47010	46957	55345	58120	50584	64322	64914	60943	62752	63803	53950	51741	60486		31401	38114	49512	59522	71175	82820	99798	105742	79392	104902	136994	136590	125917	110922	94399	90081	100014	
8467	"Tools for working in the hand, pneumatic, hydraulic or with self-contained electric or non-electric ..."	137	777	746	929	1879	2849	2158	2953	1682	2005	3584	2510	2232	3020	2962	3455	3621		53381	149430	167305	178887	201950	238451	263989	289163	220472	269665	329581	316385	341031	364302	336370	374384	425079		11026	42930	71485	112888	156174	172741	196096	196812	140022	232317	263397	264821	236182	242792	241979	228681	227877	
9999	"Commodities not elsewhere specified"	50883	10504	29826	21252	17534	10332	7848	5804	6217	6328	3259	4272	2008	1734	1055	1051	3632		6080717	6221083	7396429	8367138	8185651	9691735	12206916	13605493	11533304	12592674	14887547	14045934	13869025	14157960	12097627	11927689	12579656		2510861	2224681	3422565	3689466	6214911	9287654	10924866	34131572	19125400	24383848	35423236	40729748	36542161	35565420	25065939	16352330	21569047	
2938	"Glycosides, natural or reproduced by synthesis, and their salts, ethers, esters and other  ..."	2197	2129	3393	3603	2545	3059	4700	6536	4450	4034	3415	2500	2389	2610	2227	2246	3681		28682	32276	36668	41737	43766	52790	62484	84151	67641	76021	90070	95932	93066	102558	113942	107153	142932		4242	3863	5622	5432	8357	13971	19633	26165	16798	21815	15779	10489	9588	7640	7371	6754	9929	
9612	"Typewriter or similar ribbons, inked or otherwise prepared for giving impressions, whether ..."	980	655	1005	1347	1740	2811	3206	2915	2992	2417	2627	2154	2278	2455	2103	2223	3735		130994	131101	143442	185511	187848	223442	189248	153828	143169	150276	196475	190651	209993	225913	195654	189394	189308		11124	11824	14410	21961	21457	20438	23248	22021	20723	22962	24420	22375	23775	23884	20827	21403	20170	
3601	"Propellent powders"	0	0	391	83	0	0	164	0	720	1361	1180	1713	2767	3790	3375	3669	3736		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		678	165	1547	1353	3098	1098	1278	2673	3760	5702	8073	6506	6068	8415	9146	8001	8903	
4802	"Uncoated paper and paperboard, of a kind used for writing, printing or other graphic purposes, ..."	810	1815	3551	8651	8425	10477	6943	15456	3989	3646	9090	9377	5294	13834	8894	6821	3747		539706	729189	808230	795996	797028	796010	878439	901623	838733	845139	938787	713586	726138	729089	683450	592490	557483		48569	91218	119243	188617	217845	246876	307201	375759	310981	478982	465724	505251	536321	500338	510765	685819	626187	
6807	"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch"	263	782	430	837	331	891	618	1195	4571	923	2671	1614	1423	2401	3204	2944	3770		69482	81832	78810	86503	105146	119403	135713	130095	93470	97287	129462	112036	102356	105256	82398	90053	80356		6359	8051	8916	12370	15702	29442	21746	22950	23880	24537	23249	18277	20820	19049	14349	13308	15833	
1206	"Sunflower seeds, whether or not broken"	687	3772	2030	1852	2058	1840	1722	1663	1747	3485	1628	3074	4424	3223	1893	3420	3817		132255	118857	107958	174337	198401	174325	217157	277812	201140	272688	383360	401928	456021	407404	329572	345380	357668		42707	42008	153335	157376	161759	116520	260166	365145	240620	349690	589577	443959	474002	406155	237984	263005	356471	
7905	"Zinc plates, sheets, strip and foil"	0	0	0	60	134	170	161	394	234	300	452	1077	2657	2566	2976	3496	3922		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	43	140	537	491	1197	1336	1535	958	1949	2342	3209	8778	6692	5393	5203	7147	
8546	"Electrical insulators of any material (excluding insulating fittings)"	2075	2202	1345	430	1169	863	818	2302	3025	2535	2573	2580	4422	2281	3501	3629	3937		90378	115446	115058	106331	95535	76346	79021	93015	49728	50358	63991	54908	58093	48160	50493	48447	42879		14618	11777	11355	12520	14783	14713	19529	44681	37398	38713	56840	56851	59139	59219	53105	45897	44896	
2929	"Compounds with other nitrogen function (excluding amine-function compounds; oxygen-function ..."	9657	6936	4292	4693	6554	9563	9129	9544	6417	6071	7537	15301	14213	12564	11541	3341	3968		44679	44043	52191	51035	48167	46903	45439	46049	1473	1243	1132	1534	1359	2425	4933	1744	1255		65508	84075	108338	128028	126732	136771	138887	158352	113983	125408	148542	165832	192932	186357	157124	167801	288498	
8539	"Electric filament or discharge lamps, incl. sealed beam lamp units and ultraviolet or infra-red ..."	995	1211	1489	2957	2763	2757	4559	8283	3781	3491	4636	4883	6205	5180	4401	4674	4004		496006	584064	747748	832949	816566	766569	971658	1195576	1109076	1020863	1034490	863637	877548	834001	677942	558938	665555		47601	65273	87181	116470	130145	153674	193815	229858	188506	234065	262975	227644	246969	203900	168973	146206	175916	
9030	"Oscilloscopes, spectrum analysers and other instruments and apparatus for measuring or checking ..."	1658	990	1246	684	2319	1644	1671	2776	1982	1254	4383	2891	6981	4409	4269	3884	4005		392967	382883	398425	467837	509405	601717	677903	737574	603598	645522	759053	695036	757564	744366	591334	530573	501744		30216	26915	27402	36816	44053	52588	77624	101476	65432	80581	97264	88305	91741	93373	99575	92584	122143	
6902	"Refractory bricks, blocks, tiles and similar refractory ceramic constructional goods (excluding ..."	2012	11158	2694	6685	3304	19063	12923	12693	3905	5280	5208	11752	7729	7038	8798	3476	4036		188790	211694	240178	251460	289378	311950	333134	348220	286751	252029	311956	250948	202481	170795	124483	130635	154903		16733	37124	27593	36134	43931	85795	78570	97577	45326	57137	78409	102439	80835	85651	83953	51326	59099	
