Product code	Product label	Turkey's imports from Iran, Islamic Republic of-Value in 2001	Turkey's imports from Iran, Islamic Republic of-Value in 2002	Turkey's imports from Iran, Islamic Republic of-Value in 2003	Turkey's imports from Iran, Islamic Republic of-Value in 2004	Turkey's imports from Iran, Islamic Republic of-Value in 2005	Turkey's imports from Iran, Islamic Republic of-Value in 2006	Turkey's imports from Iran, Islamic Republic of-Value in 2007	Turkey's imports from Iran, Islamic Republic of-Value in 2008	Turkey's imports from Iran, Islamic Republic of-Value in 2009	Turkey's imports from Iran, Islamic Republic of-Value in 2010	Turkey's imports from Iran, Islamic Republic of-Value in 2011	Turkey's imports from Iran, Islamic Republic of-Value in 2012	Turkey's imports from Iran, Islamic Republic of-Value in 2013	Turkey's imports from Iran, Islamic Republic of-Value in 2014	Turkey's imports from Iran, Islamic Republic of-Value in 2015	Turkey's imports from Iran, Islamic Republic of-Value in 2016	Turkey's imports from Iran, Islamic Republic of-Value in 2017	Iran, Islamic Republic of's exports to world- 	Iran, Islamic Republic of's exports to world-Value in 2001	Iran, Islamic Republic of's exports to world-Value in 2002	Iran, Islamic Republic of's exports to world-Value in 2003	Iran, Islamic Republic of's exports to world-Value in 2004	Iran, Islamic Republic of's exports to world-Value in 2005	Iran, Islamic Republic of's exports to world-Value in 2006	Iran, Islamic Republic of's exports to world-Value in 2007	Iran, Islamic Republic of's exports to world-Value in 2008	Iran, Islamic Republic of's exports to world-Value in 2009	Iran, Islamic Republic of's exports to world-Value in 2010	Iran, Islamic Republic of's exports to world-Value in 2011	Iran, Islamic Republic of's exports to world-Value in 2012	Iran, Islamic Republic of's exports to world-Value in 2013	Iran, Islamic Republic of's exports to world-Value in 2014	Iran, Islamic Republic of's exports to world-Value in 2015	Iran, Islamic Republic of's exports to world-Value in 2016	Iran, Islamic Republic of's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
3812	"Prepared rubber accelerators; compound plasticisers for rubber or plastics, n.e.s.; anti-oxidising ..."	0	0	5	0	0	1	241	227	22	187	135	50	52	107	11	25	25		2	46	101	80	310	321	909	1366	1470	2026	2590	4774	7926	7794		7597	1014		19643	29279	39983	47459	52878	58204	63007	67181	55049	67773	84349	74620	74657	77611	83134	80378	94046	
4005	"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip (excluding ..."	0	0	188	107	18	50	0	16	31	144	344	377	164	51	22	13	25		69	43	371	70	28	19	34	74	16	52	13	10	449	418		512	30		8380	10548	18387	26624	31611	39147	57935	65212	46453	53616	79916	76860	91903	85943	77055	79876	88661	
9031	"Measuring or checking instruments, appliances and machines not elsewhere specified in chapter ..."	0	0	31	0	13	1	1	8	44	24	29	141	197	108	21	0	26		108	32	24	3	1156	187	227	713	508	87	2064	69	125	8193		30869	1000		76209	71129	102454	149249	164689	182493	204740	307177	193641	210793	296682	344112	339764	369796	359324	325972	383885	
0704	"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled"	0	0	0	0	0	0	0	0	0	18	1043	390	159	15	221	28	27		3869	3116	4391	3608	6864	7075	10633	23114	38050	68867	64483	61784	49937	41173		32848	16153		0	0	0	0	0	1	0	4	14	18	1052	430	162	15	394	75	27	
2836	"Carbonates; peroxocarbonates "percarbonates"; commercial ammonium carbonate containing ammonium ..."	23	47	38	59	72	29	11	325	260	120	154	496	154	71	71	62	27		830	1341	2868	5654	7591	6697	12380	20253	23455	16782	26572	21286	22506	18425		30974	4857		33939	49656	60614	70041	72120	78210	107272	130329	128949	114124	116652	112055	106731	114331	84445	97739	76997	
3814	"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excluding ..."	7	0	0	0	11	47	0	0	98	0	0	0	0	60	58	14	28		41778	35966	60282	68412	90041	98809	120694	122745	144637	188292	341397	617890	357661	273543		52453	901		3325	4864	7367	8790	9508	10918	15593	20325	15189	17419	33138	21617	22648	23205	20344	18713	19470	
4113	"Leather further prepared after tanning or crusting "incl. parchment-dressed leather", of goats ..."	0	16	44	0	0	0	0	21	0	25	0	0	0	0	9	230	28		0	0	355	906	1322	1945	2817	1552	2286	1457	1135	622	2257	3420		3155	148		0	18955	23671	20202	26380	41642	44054	42653	24738	36294	44190	44377	36670	34231	17284	10507	11781	
9401	"Seats, whether or not convertible into beds, and parts thereof, n.e.s. (excluding medical, ..."	4	4	5	3	25	43	6	230	0	69	86	34	21	38	12	69	28		1359	1370	1766	2226	2141	2244	1560	731	4107	4198	4891	5709	4847	3924		6156	768		49818	68456	106624	169693	202992	268434	356109	382573	303823	405370	465425	410228	451414	474932	426783	301892	325505	
2847	"Hydrogen peroxide, whether or not solidified with urea"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29		0	1	0	0	0	0	0	0	0	0	0	0	0	0		11	272		4153	2545	5532	5033	7994	5218	4782	6152	6291	2826	8075	6880	9176	8523	9752	6902	7953	
8424	"Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying ..."	0	0	0	3	0	0	85	0	16	24	10	21	56	0	68	10	29		480	1465	671	1448	934	599	3078	1534	492	1307	547	1446	1879	1300		418	814		23499	38465	56684	74858	95868	111938	143396	175346	114729	143628	203089	215010	239991	279654	203195	242511	224853	
