Product code	Product label	Turkey's imports from Algeria-Value in 2001	Turkey's imports from Algeria-Value in 2002	Turkey's imports from Algeria-Value in 2003	Turkey's imports from Algeria-Value in 2004	Turkey's imports from Algeria-Value in 2005	Turkey's imports from Algeria-Value in 2006	Turkey's imports from Algeria-Value in 2007	Turkey's imports from Algeria-Value in 2008	Turkey's imports from Algeria-Value in 2009	Turkey's imports from Algeria-Value in 2010	Turkey's imports from Algeria-Value in 2011	Turkey's imports from Algeria-Value in 2012	Turkey's imports from Algeria-Value in 2013	Turkey's imports from Algeria-Value in 2014	Turkey's imports from Algeria-Value in 2015	Turkey's imports from Algeria-Value in 2016	Turkey's imports from Algeria-Value in 2017	Algeria's exports to world- 	Algeria's exports to world-Value in 2001	Algeria's exports to world-Value in 2002	Algeria's exports to world-Value in 2003	Algeria's exports to world-Value in 2004	Algeria's exports to world-Value in 2005	Algeria's exports to world-Value in 2006	Algeria's exports to world-Value in 2007	Algeria's exports to world-Value in 2008	Algeria's exports to world-Value in 2009	Algeria's exports to world-Value in 2010	Algeria's exports to world-Value in 2011	Algeria's exports to world-Value in 2012	Algeria's exports to world-Value in 2013	Algeria's exports to world-Value in 2014	Algeria's exports to world-Value in 2015	Algeria's exports to world-Value in 2016	Algeria's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
8451	"Machinery (excluding of heading 8450) for washing, cleaning, wringing, drying, ironing, pressing ..."	0	0	0	0	0	0	1	23	18	0	0	0	0	0	0	0	0		16	0	81	6	0	0	0	48	0	0	142	0	0	0	0	0	0		97161	254608	302325	272387	298842	218338	199338	149816	82678	174191	211253	262530	249128	241504	196181	197288	202100	
8457	"Machining centres, unit construction machines "single station" and multi-station transfer machines ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		38335	80144	86611	130933	181625	176648	213231	212256	66239	138248	231656	263682	254217	272875	268031	265425	258399	
8539	"Electric filament or discharge lamps, incl. sealed beam lamp units and ultraviolet or infra-red ..."	0	0	0	0	0	24	2	0	0	0	0	0	0	0	0	0	0		0	11	10	3	1	1	4	3	0	35	2	0	0	82	480	1	3		47601	65273	87181	116470	130145	153674	193815	229858	188506	234065	262975	227644	246969	203900	168973	146206	175916	
8541	"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	60	4	0	0	68	2	4	0	0	3	4	0	4	0	1	2		56448	72058	86007	117950	111498	130138	182071	186968	163014	204073	260140	269003	314664	410827	630440	2963839	3789458	
8543	"Electrical machines and apparatus, having individual functions, n.e.s. in chapter 85 and parts ..."	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0		15	45	16	3	0	3	1	81	32	0	1	88	13	122	8	3	1		70898	69422	122935	159406	187272	202272	248360	249489	206227	245472	317256	317840	341704	335405	306896	337190	261012	
8548	"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		153	24	92	0	397	504	3250	4042	985	0	0	0	0	0	40	3687	3148		2079	526	986	2177	2752	3000	4414	3570	3169	4275	2627	1768	1816	1329	3654	9475	7728	
8713	"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		981	1206	1044	1697	3428	4471	7167	9084	4426	7157	9393	8441	13423	13520	13123	14742	17029	
8715	"Baby carriages and parts thereof, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2847	4345	6944	9234	8284	14024	13433	19781	13394	26349	39916	39568	36656	48350	44241	34457	33760	
9001	"Optical fibres and optical fibre bundles; optical fibre cables (excluding made up of individually ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0		30904	27323	25708	30831	40075	47124	58202	80132	70313	104503	122209	113700	137283	186882	169667	165564	175584	
9008	"Image projectors, and photographic enlargers and reducers (excluding cinematographic)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	1	0	2	0	0	2	3	0	0	0	0	0	0	0	0	0		2488	2784	3376	1237	1570	908	1242	1192	174	195	302	164	196	119	77	47	106	
9011	"Optical microscopes, incl. those for photomicrography, cinephotomicrography or microprojection ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0		6628	5188	9175	12426	16869	15666	21751	21492	16813	18238	21248	21739	21858	27858	22108	20620	20763	
9015	"Surveying, incl. photogrammetrical surveying, hydrographic, oceanographic, hydrological, meteorological ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2108	3906	1532	2228	2410	3790	4776	3648	2700	1775	902	384	607	924	254	443	636		12234	23623	16972	21316	46124	34709	48906	47202	59403	58677	62740	69588	75274	79863	73106	51377	67053	
9021	"Orthopaedic appliances, incl. crutches, surgical belts and trusses; splints and other fracture ..."	0	6	0	0	0	0	0	256	0	0	0	0	0	0	0	0	0		0	0	0	0	0	120	0	0	7	5	0	0	4	7	5	6	13		108245	106724	109311	147211	207061	261793	286927	353159	319143	359750	401844	417004	483839	493186	424268	442956	409891	
9026	"Instruments and apparatus for measuring or checking the flow, level, pressure or other variables ..."	0	0	0	1	0	25	0	0	0	0	0	0	0	0	0	0	0		106	187	128	111	127	189	212	358	193	56	221	82	151	109	467	73	124		30008	37466	48030	59021	78378	89677	113644	133734	108907	135864	182210	182780	208285	211556	226267	235352	247148	
