Product code	Product label	Turkey's imports from Poland-Value in 2001	Turkey's imports from Poland-Value in 2002	Turkey's imports from Poland-Value in 2003	Turkey's imports from Poland-Value in 2004	Turkey's imports from Poland-Value in 2005	Turkey's imports from Poland-Value in 2006	Turkey's imports from Poland-Value in 2007	Turkey's imports from Poland-Value in 2008	Turkey's imports from Poland-Value in 2009	Turkey's imports from Poland-Value in 2010	Turkey's imports from Poland-Value in 2011	Turkey's imports from Poland-Value in 2012	Turkey's imports from Poland-Value in 2013	Turkey's imports from Poland-Value in 2014	Turkey's imports from Poland-Value in 2015	Turkey's imports from Poland-Value in 2016	Turkey's imports from Poland-Value in 2017	Poland's exports to world- 	Poland's exports to world-Value in 2001	Poland's exports to world-Value in 2002	Poland's exports to world-Value in 2003	Poland's exports to world-Value in 2004	Poland's exports to world-Value in 2005	Poland's exports to world-Value in 2006	Poland's exports to world-Value in 2007	Poland's exports to world-Value in 2008	Poland's exports to world-Value in 2009	Poland's exports to world-Value in 2010	Poland's exports to world-Value in 2011	Poland's exports to world-Value in 2012	Poland's exports to world-Value in 2013	Poland's exports to world-Value in 2014	Poland's exports to world-Value in 2015	Poland's exports to world-Value in 2016	Poland's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
6909	"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar ..."	0	0	0	0	13	25	30	40	23	34	139	197	50	38	15	146	18		203	280	801	1512	53328	175221	256319	288359	233368	306906	369788	310073	336689	397464	385631	360093	384400		3083	4398	5920	9376	12644	13116	13178	15982	17118	28697	33650	26928	27667	31175	30390	32020	30531	
7325	"Articles of iron or steel, cast, n.e.s."	0	1	77	11	0	2	17	83	3	51	5	3	60	47	44	83	18		158282	158277	171064	236935	286797	330623	431235	524298	297399	320963	432881	416419	413948	411421	323002	317104	328834		2232	3370	7515	7395	8408	25852	29754	31254	11124	18326	12518	14160	12919	16436	12699	10434	10685	
4822	"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not ..."	0	0	0	0	0	0	0	0	0	3	3	0	0	9	13	4	19		151	781	1628	2633	2562	2517	5379	7301	5206	5934	8917	10149	10729	7305	7099	8400	9133		969	1151	767	529	1099	1832	2693	4682	4396	6736	4817	2654	3189	3141	2967	1919	2700	
7212	"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ..."	0	0	0	0	0	1	4	0	0	0	0	0	27	0	19	9	19		3332	3364	6047	11852	10422	14020	17602	24926	17917	21139	34557	29116	26470	27627	24137	29073	35116		8386	12882	13828	17778	17466	42158	109689	60904	48310	67898	61482	51979	54856	56954	54098	57984	61730	
5608	"Knotted netting of twine, cordage or rope, by the piece or metre; made-up fishing nets and ..."	0	2	0	1	0	1	1	2	22	4	43	2	6	0	10	1	19		2274	2683	4454	10988	8602	12851	11502	12890	4275	5864	8818	4703	11380	6535	5801	7808	12506		1498	2525	4737	4855	7139	8614	11772	9118	6029	9884	15029	11635	8478	6919	10178	11087	11324	
3507	"Enzymes; prepared enzymes, n.e.s."	0	153	294	492	688	551	617	509	36	31	0	0	0	0	0	4	19		447	2063	5883	9098	10237	12292	14316	14673	11559	9486	8391	8476	8628	9414	8675	10163	13004		28209	36872	46046	55910	62373	61852	68415	72759	78534	83857	97136	96772	107594	119647	105297	100937	115304	
7117	"Imitation jewellery"	0	0	2	1	0	7	4	2	0	3	3	5	8	18	57	3	20		1019	682	1415	1804	1791	3459	8312	15805	25834	30782	31514	30690	32152	42600	48107	49905	51306		4380	6528	10920	22106	33332	37556	48510	75081	63281	81003	106848	91194	103726	109277	101082	73161	63677	
4419	"Tableware and kitchenware, of wood (excluding interior fittings, ornaments, cooperage products, ..."	3	0	0	0	22	32	47	25	78	41	8	11	6	8	26	22	20		7722	9833	11062	16058	15600	13736	14442	17110	13062	12171	9987	10408	14106	17344	16827	17609	14082		843	604	991	2126	1942	2010	3570	4759	4700	6461	8525	7360	11572	12923	17185	17156	11436	
1103	"Cereal groats, meal and pellets"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21		766	780	894	1216	1991	2121	4081	6549	5977	6653	15704	15608	32033	25613	20201	23797	21541		31	4	100	78	242	38	211	541	41	180	206	135	167	273	907	264	341	
7609	"Aluminium tube or pipe fittings "e.g., couplings, elbows, sleeves""	0	0	0	0	0	0	0	0	0	1	46	7	8	36	30	34	21		1631	1528	4004	3646	4770	3751	3494	3857	2534	2668	3437	3147	3138	3772	3856	4332	5890		643	718	744	1983	2384	2657	7890	5618	4568	6475	8451	8949	9168	10687	9071	7953	10811	
2715	"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ..."	0	0	0	0	0	0	0	0	4	0	0	12	0	3	0	3	21		1016	532	825	934	926	1160	2309	3254	2132	3443	4572	6649	7814	8506	6600	5911	16867		267	1178	813	1317	1443	3274	6257	7381	3302	5164	5724	3020	2269	1587	1980	4061	3159	
1107	"Malt, whether or not roasted"	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	22		1618	3052	4964	11447	5340	3090	8943	17158	26310	20356	27271	26609	17063	32244	28879	34908	36770		454	289	236	2410	1701	2794	1087	2246	875	4471	3401	3045	15079	15927	17865	23292	26866	
9010	"Apparatus and equipment for photographic or cinematographic laboratories, not elsewhere specified ..."	0	0	0	743	344	178	42	43	34	29	197	175	94	103	83	44	23		1360	2249	2879	13645	5689	11371	3170	4761	3358	3840	5137	4340	5302	4461	4948	4476	6027		15857	20420	35854	53052	45644	24831	22164	18587	13167	11797	10684	9090	7476	7826	4593	3436	2866	
9613	"Cigarette lighters and other lighters, whether or not mechanical or electrical and parts thereof, ..."	3	0	1	1	0	19	0	0	3	2	4	0	0	10	0	5	24		728	743	1474	1698	1302	1426	1096	783	1322	1405	1192	1077	1753	2088	2566	2430	2310		8903	8912	10134	14562	18881	20596	19944	19960	21167	25016	25958	28039	29868	31255	30067	26623	27607	
7214	"Bars and rods, of iron or non-alloy steel, not further worked than forged, hot-rolled, hot-drawn ..."	1	0	7	4	0	30	52	35	51	1	32	25	10	16	47	41	24		62453	60451	104626	191290	210470	303511	453977	645660	408498	565117	858724	913004	790357	501757	348063	315513	424419		4587	6115	7577	19101	16310	21363	28610	53465	22214	61278	74466	38947	75100	54452	48843	33466	62833	
4407	"Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, ..."	2	1	0	1	2	13	0	0	7	378	81	15	0	28	0	31	25		126839	135151	180473	196039	177099	191702	231330	205032	141068	177696	185551	173077	207776	229680	192501	213447	269479		21539	25839	27641	46722	66032	99675	113248	159720	99440	132290	210967	222298	238438	278957	281418	236491	240147	
