Product code	Product label	Turkey's imports from Japan-Value in 2001	Turkey's imports from Japan-Value in 2002	Turkey's imports from Japan-Value in 2003	Turkey's imports from Japan-Value in 2004	Turkey's imports from Japan-Value in 2005	Turkey's imports from Japan-Value in 2006	Turkey's imports from Japan-Value in 2007	Turkey's imports from Japan-Value in 2008	Turkey's imports from Japan-Value in 2009	Turkey's imports from Japan-Value in 2010	Turkey's imports from Japan-Value in 2011	Turkey's imports from Japan-Value in 2012	Turkey's imports from Japan-Value in 2013	Turkey's imports from Japan-Value in 2014	Turkey's imports from Japan-Value in 2015	Turkey's imports from Japan-Value in 2016	Turkey's imports from Japan-Value in 2017	Japan's exports to world- 	Japan's exports to world-Value in 2001	Japan's exports to world-Value in 2002	Japan's exports to world-Value in 2003	Japan's exports to world-Value in 2004	Japan's exports to world-Value in 2005	Japan's exports to world-Value in 2006	Japan's exports to world-Value in 2007	Japan's exports to world-Value in 2008	Japan's exports to world-Value in 2009	Japan's exports to world-Value in 2010	Japan's exports to world-Value in 2011	Japan's exports to world-Value in 2012	Japan's exports to world-Value in 2013	Japan's exports to world-Value in 2014	Japan's exports to world-Value in 2015	Japan's exports to world-Value in 2016	Japan's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
1515	"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ..."	0	0	0	3	0	0	0	0	2	0	14	0	1	31	12	28	0		21404	26683	28490	33997	28651	31542	30407	39451	43535	47005	51252	49145	49325	56452	54941	61322	64983		40630	65725	75264	75171	95586	93726	107832	150775	80218	68277	69777	53437	57063	36601	41644	60217	46003	
1517	"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6422	7397	7756	9024	11666	11601	14273	16694	14323	12460	16291	15841	13003	11836	10505	10757	11657		3128	3828	8263	11768	11909	12253	18073	18043	24899	21325	30515	23079	28365	44170	40792	33691	53234	
1806	"Chocolate and other food preparations containing cocoa"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0		17040	18936	22536	29046	35438	40196	46955	49801	44757	53570	55529	61703	56302	72531	73597	84874	78600		17230	20274	24060	36137	41544	58484	64349	80343	77269	89227	91693	100653	111379	98108	90108	92729	113354	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		408	301	350	255	864	503	599	638	277	421	283	471	284	230	247	236	319		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2101	"Extracts, essences and concentrates, of coffee, tea or maté and preparations with a basis of ..."	0	0	0	0	0	0	0	6	6572	11926	4649	0	0	0	0	0	0		31154	35066	24488	22658	23777	19942	30287	59028	49853	54736	51105	37535	43914	49229	43140	36016	35204		23802	25888	31406	42199	52338	66435	69428	88247	64886	69825	99473	87355	96353	102872	113232	120811	140731	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	195	0	0	40	0	0	0	0	0	0	0	0	0	0	68	7		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1189	0	47	29	18	2912	12756	16246	14629	15466	13616	19460	26460	39134	50638	67696	85680		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1600	74	45	95	397	655	1129	1991	1502	2210	2361	2457	2625	4850	5285	6130	6469		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	0	0	0	0	454	0	0	0	0	0	0	5	0	0		57467	65110	63498	67052	80815	86478	106318	116601	115168	127304	140913	143405	122262	128647	152252	160507	179786		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
0505	"Skins and other parts of birds, with their feathers or down, feathers and parts of feathers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		546	1079	1271	962	2260	3622	4375	5535	5274	4042	2882	4349	5804	6050	6393	5152	4764		213	265	511	768	1227	1461	2018	1697	907	1283	2672	6439	7064	4012	3647	1827	2010	
2402	"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0		239732	227245	223833	243638	244822	227365	248937	259746	274222	297461	323245	308166	228426	181544	193636	192141	118086		7	84	11	7	13	15	323	446	1581	1454	2926	326	1692	1339	1754	407	1088	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0		3237	3629	4013	7972	6768	7987	11674	12027	5206	7071	6856	10032	5226	5512	4270	4512	3297		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	2	3	11	0	11	0	117	0	0	0	0	0		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		17736	21867	42269	81501	83292	115556	116750	120950	87177	111568	243916	147893	199934	174122	111601	96228	137516		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2846	"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ..."	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0		40145	48001	61502	74784	136275	242520	372638	153530	107351	152796	275699	260244	174547	176407	170312	175814	205955		655	774	942	892	785	773	1456	1815	1209	3856	6070	3447	2571	1727	1893	2369	1525	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2368	5269	4232	4432	2877	4454	6621	6485	5271	6048	4863	4096	1545	2085	2187	2067	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2808	"Nitric acid; sulphonitric acids"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3148	2927	3246	4701	5873	6726	6213	5053	4097	3792	4593	5349	3452	3159	3530	3877	4071		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		116	164	197	200	366	536	424	306	570	1001	2610	2556	1546	1329	1063	879	896		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3818	"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ..."	0	0	0	0	18	0	0	17	23	22	6	15	0	72	0	0	0		1467311	1629305	1914864	2644779	3114779	4162069	5289468	4908110	2631799	4048784	3914460	2996387	2580708	2730727	2605819	2631628	3085733		18	26	37	20	63	130	84	111	225	354	344	571	708	1069	1492	1454	2144	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	2497	2677	2792	2541	3792	4844		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		574	2583	527	551	1235	718	586	123	535	1948	2060	1830	1090	980	491	1071	463		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	1	0	0	0	0	1	0	0	0	0	2	4	3	7	0	0		958	584	826	1372	2190	2421	1765	1502	1895	1604	2621	1971	2564	2395	2253	1140	1779		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	3	0	3	0	0	0	0	0	7	0	0		3322	1850	1798	5596	6750	5742	6443	5689	1402	2367	2582	3046	2574	1727	2001	2004	1156		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		206	61	75	121	5	143	39	163	164	145	128	7	0	83	6	4	0		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5107	"Yarn of combed wool (excluding that put up for retail sale)"	0	0	0	0	0	3	4	1	2	1	0	1	0	0	0	0	0		5317	6029	7119	5778	6695	8520	9901	7386	5141	6029	6510	8196	6141	6308	5145	4532	4490		25127	33204	38874	38975	41301	42151	42127	47373	42159	45947	64346	51833	45367	43413	39375	31479	31113	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		374	107	221	42	39	113	83	210	3	38	25	61	32	85	11	9	85		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
5206	"Cotton yarn containing predominantly, but < 85% cotton by weight (excluding sewing thread and ..."	3	0	8	1	75	41	85	200	0	54	12	76	707	4	1	1	0		5776	6670	7333	8675	7969	8666	8352	6526	4675	5592	5801	4680	6456	5520	4643	3374	3437		3317	3790	5174	4618	6904	5302	7230	6130	5441	11256	11441	9290	29275	69900	38589	62926	77014	
4102	"Raw skins of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		12	15	5	27	11	0	11	13	5	4	5	0	3	0	9	9	0		248462	402786	371161	338861	234875	274104	242480	179840	89215	167722	311596	334036	317107	184291	61800	32532	56845	
4104	"Tanned or crust hides and skins of bovine "incl. buffalo" or equine animals, without hair on, ..."	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		106852	37300	28303	34055	32021	29606	32456	20029	12322	16276	14695	14429	11902	11142	10009	10404	10838		53042	6811	6898	7669	6240	13350	37074	40087	17495	36647	64639	48104	64550	54836	37916	36535	31017	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		105	136	61	167	133	163	41	65	107	224	83	81	44	41	39	124	288		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6	40	40	4	42	7	14	8	0	0	0	0	0	0	0	0	0		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16	9	116	4	52	769	1568	2966	1780	699	417	496	226	485	503	97	361		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
4415	"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, ..."	0	0	3	0	0	1	10	0	0	0	0	2	0	0	1	0	0		3264	2666	3044	4012	5084	4539	4260	3310	2631	2647	2837	3048	3102	3046	3273	2735	2362		840	828	1635	2889	3752	4009	3969	6409	3228	7121	6661	8846	9322	9424	8305	6930	8206	
4822	"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not ..."	0	0	0	0	0	0	72	210	11	24	6	0	1	0	0	0	0		1533	1207	1149	1545	1335	1531	1589	2435	2259	6014	2740	1558	1722	1927	1973	2302	2343		969	1151	767	529	1099	1832	2693	4682	4396	6736	4817	2654	3189	3141	2967	1919	2700	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	0	15	5	0	6	0	3	6	4	4	0	0	0	0	0	0		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0		9082	5807	3980	4543	4706	4494	4569	4455	3460	3696	3347	2938	2244	1620	1964	2161	2032		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
6602	"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13	17	9	11	142	41	13	95	54	126	86	145	76	161	149	139	152		6	11	26	52	98	132	250	289	196	314	577	374	366	502	340	415	378	
6807	"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		1368	940	2075	1892	2094	3028	1346	1378	1341	1918	1275	1958	1051	1101	755	3788	1650		6359	8051	8916	12370	15702	29442	21746	22950	23880	24537	23249	18277	20820	19049	14349	13308	15833	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0		269	282	424	282	268	269	466	706	422	656	1240	2057	4680	3607	2692	3742	3707		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	14	2	0	0	0	0	0	0	0	0	76	4	58	0	0	0	0		2344	2656	2867	3975	5765	2290	4065	3542	3328	2099	4000	5784	2232	3382	1953	2303	814		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0		14550	16887	17519	18388	16252	21585	20831	17655	12451	21775	22675	18320	14043	16269	16127	18878	17561		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1353	1209	1346	1113	1007	1129	1543	1837	1342	2726	3432	3069	2733	7424	5113	6508	6299		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	113	0	0	0	0	0	98	47	0	0	0	0	34	0		325460	214636	192423	201206	342484	614950	906788	1378416	936371	1288559	1347354	1247264	1545430	1409035	885450	727457	853501		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	0	0	1	1331	0	0	473	0	501	2	0	569	0	2	0	0	0		64362	74805	107178	189699	220763	374584	554370	692868	497887	767670	801400	732979	706481	563891	256230	154491	217111		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		234	259	1071	1533	3235	3563	2774	4124	3631	4945	7546	5181	4608	5688	5152	3516	4015		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7224	"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products ..."	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		35188	19936	33991	78492	95365	84041	119114	125761	78616	204488	275373	173810	168678	198802	120785	118510	151775		2927	2906	4522	7116	12501	13191	32146	14046	12726	16821	32018	30101	27814	38465	34512	31353	86203	
7302	"Railway or tramway track construction material of iron or steel, the following : rails, check-rails ..."	0	1	18	92	1	42	0	15	109	14	4604	21	3	14	14	0	0		112721	126635	151297	219242	191121	240496	294106	353865	377493	551848	665449	669479	644962	545111	489775	427445	339056		4882	5838	15433	22721	39753	27483	47878	103737	84501	112720	92468	79346	69222	36795	31374	53630	54681	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	4	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0		1416	1125	1899	2959	932	459	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		133130	129687	211637	391195	434958	89399	503	427	5942	2650	743	3539	3134	3350	1862	1013	370		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		869	1961	2307	4508	2740	3440	3902	3996	3384	3268	4822	4586	2685	3651	3486	1933	3027		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	0	0	59	1	0	0	15	0	0	0	0	0	1	397	152	219	0		2396	5999	4167	17454	10859	9767	15490	13199	9401	15656	26897	35005	18818	24723	31839	34902	22723		5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
8530	"Electrical signalling, safety or traffic control equipment for railways, tramways, roads, inland ..."	2826	7971	329	904	115	222	0	2	4	2	55	395	4	0	0	0	0		12947	12596	5248	49323	43600	33691	19860	22299	47673	45889	52888	39343	47846	41773	42430	50109	37883		23938	27251	6780	8283	20240	19970	26318	41944	59008	46851	85920	39150	91158	62751	50480	38317	58466	
8715	"Baby carriages and parts thereof, n.e.s."	0	0	0	0	25	5	0	0	0	0	0	0	0	0	0	0	0		2397	1614	1099	1098	911	429	551	808	914	223	478	642	984	673	496	540	749		2847	4345	6944	9234	8284	14024	13433	19781	13394	26349	39916	39568	36656	48350	44241	34457	33760	
9204	"Accordions and similar instruments; mouth organs"	1	0	0	20	0	5	0	0	0	0	0	0	0	0	0	0	0		1333	1781	1673	2019	1961	2393	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	6524	1025	20	99	82	12502	297	145919	105	0	209	466	476	576	309	0		11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
0101	"Live horses, asses, mules and hinnies"	0	0	0	0	0	0	2953	0	0	0	0	0	0	137	51	0	0		15350	21422	2839	2314	5430	8086	15034	18090	1749	19319	13236	3162	2874	8819	19141	8864	17306		12912	6605	1512	1351	1568	4265	7684	8554	5190	14660	4235	2674	8628	4506	3010	1770	1618	
0103	"Live swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	59	0	0	0	110	5	104	0	0	0	0	0	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0302	"Fish, fresh or chilled (excluding fish fillets and other fish meat of heading 0304)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		90847	89598	90815	118191	123944	139863	151883	122934	106520	109607	90497	68748	56908	66637	75892	89523	98936		331	273	1011	2933	6420	10865	14589	20509	20130	26722	38604	46229	44060	50475	65548	45218	43300	
0503	"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		192	104	72	124	32	43	0	0	0	0	0	0	0	0	0	0	0		190	291	325	202	274	410	0	0	0	0	0	0	0	0	0	0	0	
0704	"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		61	77	22	138	919	234	1617	610	344	290	244	332	716	641	927	1470	1906		0	0	0	0	0	1	0	4	14	18	1052	430	162	15	394	75	27	
0809	"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		66	2421	1743	2138	3886	3137	3953	4801	4947	5180	3265	4764	5905	7829	9036	11194	14549		15	64	12	88	237	101	160	563	89	156	167	197	67	40	133	102	226	
1104	"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6	52	98	119	56	22	31	51	85	131	79	49	66	152	210	158	231		246	335	632	146	505	687	894	2023	9087	20384	26722	37235	39020	37777	42152	42478	41428	
1106	"Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		471	545	369	225	100	106	267	198	231	188	273	323	434	342	595	570	710		1212	878	711	547	1570	1406	1415	1910	1859	1649	2577	617	1444	849	1035	1530	2798	
1214	"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		386	591	1699	485	251	358	319	254	180	71	12	5	7	3	129	84	69		12	2	0	0	0	425	2111	0	23	2208	3030	6482	5694	1397	522	583	3533	
1502	"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11	13	2	11	21	5	10	14	0	5	643	31	0	0	0	0	67		32074	47237	61550	55930	68082	69605	94343	131660	84807	106988	111854	110253	55815	69058	18897	14325	15684	
