Product code	Product label	Turkey's imports from Korea, Republic of-Value in 2001	Turkey's imports from Korea, Republic of-Value in 2002	Turkey's imports from Korea, Republic of-Value in 2003	Turkey's imports from Korea, Republic of-Value in 2004	Turkey's imports from Korea, Republic of-Value in 2005	Turkey's imports from Korea, Republic of-Value in 2006	Turkey's imports from Korea, Republic of-Value in 2007	Turkey's imports from Korea, Republic of-Value in 2008	Turkey's imports from Korea, Republic of-Value in 2009	Turkey's imports from Korea, Republic of-Value in 2010	Turkey's imports from Korea, Republic of-Value in 2011	Turkey's imports from Korea, Republic of-Value in 2012	Turkey's imports from Korea, Republic of-Value in 2013	Turkey's imports from Korea, Republic of-Value in 2014	Turkey's imports from Korea, Republic of-Value in 2015	Turkey's imports from Korea, Republic of-Value in 2016	Turkey's imports from Korea, Republic of-Value in 2017	Korea, Republic of's exports to world- 	Korea, Republic of's exports to world-Value in 2001	Korea, Republic of's exports to world-Value in 2002	Korea, Republic of's exports to world-Value in 2003	Korea, Republic of's exports to world-Value in 2004	Korea, Republic of's exports to world-Value in 2005	Korea, Republic of's exports to world-Value in 2006	Korea, Republic of's exports to world-Value in 2007	Korea, Republic of's exports to world-Value in 2008	Korea, Republic of's exports to world-Value in 2009	Korea, Republic of's exports to world-Value in 2010	Korea, Republic of's exports to world-Value in 2011	Korea, Republic of's exports to world-Value in 2012	Korea, Republic of's exports to world-Value in 2013	Korea, Republic of's exports to world-Value in 2014	Korea, Republic of's exports to world-Value in 2015	Korea, Republic of's exports to world-Value in 2016	Korea, Republic of's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
1001	"Wheat and meslin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	3	0	1	0	21	0	0	4	0	3	42	0	2	2		49621	148010	277543	221868	25031	52624	570390	1483190	901858	655044	1623089	1125977	1289235	1545853	1103420	892409	1043332	
1108	"Starches; inulin"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		18132	15556	14358	10246	14325	19490	21489	12944	19833	38822	27713	26894	27320	28136	24508	21354	17796		2411	6404	6832	7483	8581	9785	13230	14751	15040	14082	16868	17450	14172	16690	14129	14264	15472	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	10		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
0105	"Live poultry, "fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		268	489	454	0	0	97	228	107	0	28	25	3	16	0	39	59	68		8367	8312	6323	7379	7793	8955	8082	14473	13659	16294	24863	28750	18850	18105	16452	10292	10054	
0201	"Meat of bovine animals, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3	0	0	0	56	0	0	15	1	7	13	35	2	0	86	2785	2430		0	5	0	0	0	0	0	0	0	230253	509114	90230	20306	5258	55092	41636	45688	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		40191	14340	13082	10278	2978	18934	22894	14487	6399	59	143	847	1172	639	1095	930	421		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
1517	"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1123	1536	1341	1097	2561	2812	4679	4283	2561	8746	18598	9732	9437	10986	11300	7585	17209		3128	3828	8263	11768	11909	12253	18073	18043	24899	21325	30515	23079	28365	44170	40792	33691	53234	
1806	"Chocolate and other food preparations containing cocoa"	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0		26861	27534	32294	30752	33592	28292	30960	27495	30405	40232	48804	54670	50823	54872	57762	55524	64666		17230	20274	24060	36137	41544	58484	64349	80343	77269	89227	91693	100653	111379	98108	90108	92729	113354	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		548	818	3470	8243	17899	23692	1493	2092	1776	1641	979	378	477	445	394	745	809		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4	0	93	0	26	40	131	581	287	422	37	66	36	2	9	61	328		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3700	3584	3464	6972	12731	13627	17790	33910	19176	31830	51482	42186	32386	14912	13483	9178	5237		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	0	0	0	15	0	1	16	5	0	20	12	11	0	0	3	0	0		116100	65093	102228	75134	84190	130644	113450	135695	121065	202030	261446	345858	302915	316690	276255	338102	377740		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2713	"Petroleum coke, petroleum bitumen and other residues of petroleum oil or of oil obtained from ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		81555	175545	198300	214075	269749	467474	651002	967258	842771	1394043	1235225	1398500	1799754	1952245	1346800	811886	1330625		49844	53155	62893	98593	125042	138008	213865	348689	184184	348213	432538	490068	569121	587042	395632	268805	463800	
2808	"Nitric acid; sulphonitric acids"	0	0	0	0	0	0	0	0	520	241	0	0	0	0	0	0	0		22510	22898	25075	29112	48480	41278	41989	43035	29089	35592	41062	55488	63669	58059	52259	54037	59875		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		150	24	149	129	79	23	8	230	309	685	741	1330	2183	2669	6079	9809	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2906	"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives"	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0		905	3731	4478	3559	4575	4829	5643	9960	8132	7064	6557	7895	9199	9046	8394	8657	12268		1781	2571	3165	3327	3260	4325	5753	6739	3937	6999	9883	11111	12441	11911	10168	11039	12552	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	144	316	49	0	0		243	269	222	201	286	201	182	52	80	186	185	219	252	208	258	181	216		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	5	0	0	1	3	0	46	3	0	12	4	0	31	10		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3813	"Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ..."	0	0	0	0	0	0	0	0	13	0	0	3	0	1	0	0	0		3	91	267	78	166	228	47	158	68	766	275	1513	1031	657	800	983	591		1546	1731	1590	3276	3756	4834	4455	5138	4325	3378	5390	6980	6744	6989	6256	6008	4735	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	50125	141390	89363	75843	66558	26636		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
4104	"Tanned or crust hides and skins of bovine "incl. buffalo" or equine animals, without hair on, ..."	29	20	0	188	0	0	0	0	0	0	0	0	2	0	0	0	0		850364	74027	43095	48212	50084	54359	55177	37400	29947	28453	22700	30646	34422	41536	22373	16749	18704		53042	6811	6898	7669	6240	13350	37074	40087	17495	36647	64639	48104	64550	54836	37916	36535	31017	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	1	4	0	2	3	13	46	5	0	0	1	5	5	2	0	0		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		15	0	0	0	0	0	0	1	293	115	64	2	467	1159	15	17	6		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		152	44	34	219	85	84	74	206	37	148	306	47	83	385	182	46	671		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1177	1090	429	2708	281	393	34	15	1834	793	39850	237	41662	31040	4119	249	8366		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1315	2045	2142	2238	575	1241	169	129	62	82	194	70	504	445	153	145	29		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6	91	19	92	128	156	146	112	28	0	1	0	16	23	21	7	0		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		71	75	353	242	501	119	243	292	41	78	170	68	7	8	156	8	29		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0		706	230	84	97	54	205	112	128	71	49	204	180	82	92	105	23	6		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
5206	"Cotton yarn containing predominantly, but < 85% cotton by weight (excluding sewing thread and ..."	0	0	1	6	0	0	0	0	0	373	128	0	0	143	0	1	0		6557	8489	7234	7277	14572	17540	14019	17036	20670	22566	36573	33261	39087	45054	30135	24730	28611		3317	3790	5174	4618	6904	5302	7230	6130	5441	11256	11441	9290	29275	69900	38589	62926	77014	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		27	0	8	0	21	34	18	37	2	3	11	0	0	0	164	180	373		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
6602	"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		983	934	1260	1715	795	1492	1134	1937	1948	2761	2768	3213	6316	4283	2108	3033	2486		6	11	26	52	98	132	250	289	196	314	577	374	366	502	340	415	378	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		637	544	1854	2002	1576	1777	3331	3632	3100	4846	3619	3093	3644	3698	2221	2229	2436		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		160	712	286	1037	424	1273	322	822	117	71	75	104	92	213	67	37	23		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	0	0	0	0	0	0	0	0	0	2	4	0	0	0	0	0	0		6757	5711	6102	5342	5121	4477	4419	3359	3024	3080	2025	3531	815	1412	2346	1010	629		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0		1372	2341	1484	1986	3585	3291	1870	1924	1524	2170	2817	3511	2558	2144	2053	3896	5453		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		9	20	0	20	2	2	28	28	4	0	650	59	12	28	22	21	7		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		26350	25649	58973	105246	47349	2475	77490	59455	22595	43228	58510	124851	185183	370209	292237	123826	70447		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		4497	2899	1980	1405	1877	4106	6239	8014	4915	5675	4622	6054	7756	4321	6131	3141	7185		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		126	30	33	0	14	28	28	33	182	132	12025	20560	16002	19138	2625	1849	135		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7319	"Sewing needles, knitting needles, bodkins, crochet hoods, embroidery stilettos and similar ..."	0	2	3	1	1	0	6	1	0	2	20	0	24	0	8	2	0		4682	3266	2930	3736	5262	5214	6145	7547	6790	13340	16923	9271	10550	10924	10819	10018	12285		1051	1137	1350	1417	1897	2010	2330	3039	1944	2631	2341	2575	2640	2302	2202	1954	2438	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		218	205	315	3174	729	303	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		147	4	903	2105	1164	820	221	123	4374	308	1659	1335	154	1527	1329	1836	1125		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		66	0	0	0	8	36	16	17	0	48	37	162	0	0	30	0	0		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8713	"Carriages for disabled persons, whether or not motorised or otherwise mechanically propelled ..."	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0		21906	23040	27757	12343	4362	1249	1175	300	227	248	93	114	263	275	363	507	2609		981	1206	1044	1697	3428	4471	7167	9084	4426	7157	9393	8441	13423	13520	13123	14742	17029	
8715	"Baby carriages and parts thereof, n.e.s."	49	89	123	787	596	656	190	84	77	0	64	0	0	0	0	0	0		6894	4826	3732	2813	1680	848	1040	906	779	1494	1491	1335	1471	1487	1650	1152	1421		2847	4345	6944	9234	8284	14024	13433	19781	13394	26349	39916	39568	36656	48350	44241	34457	33760	
9008	"Image projectors, and photographic enlargers and reducers (excluding cinematographic)"	42	17	33	24	15	3	14	0	0	0	138	0	0	0	19	0	0		18179	15408	16587	11403	9204	9983	11694	10525	5048	7341	2453	1002	748	808	864	565	621		2488	2784	3376	1237	1570	908	1242	1192	174	195	302	164	196	119	77	47	106	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		297	340	601	336	346	259	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
9301	"Military weapons, incl. sub-machine guns (excluding revolvers and pistols of heading 9302 and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		50	229	727	888	727	1571	9313	18439	2364	24531	30729	3174	27204	78092	84990	93042	30172		11718	33899	10210	2173	0	0	0	0	0	0	0	39871	16563	8651	0	0	0	
0101	"Live horses, asses, mules and hinnies"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		62	59	0	0	1253	131	5	361	891	98	226	0	132	910	137	113	317		12912	6605	1512	1351	1568	4265	7684	8554	5190	14660	4235	2674	8628	4506	3010	1770	1618	
0103	"Live swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		98	27	0	195	1326	0	70	133	770	114	0	0	0	0	0	0	0		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0302	"Fish, fresh or chilled (excluding fish fillets and other fish meat of heading 0304)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		19874	15008	19375	19105	24554	21140	21374	34422	39999	43643	44223	49221	36929	28854	33343	38075	33587		331	273	1011	2933	6420	10865	14589	20509	20130	26722	38604	46229	44060	50475	65548	45218	43300	
0503	"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	6	14	9	1	0	0	0	0	0	0	0	0	0	0	0		190	291	325	202	274	410	0	0	0	0	0	0	0	0	0	0	0	
0704	"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3853	977	506	8026	5855	2214	2586	8557	9456	4815	8185	8931	8469	15572	17402	15016	16629		0	0	0	0	0	1	0	4	14	18	1052	430	162	15	394	75	27	
0809	"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		261	543	14	174	72	8	72	14	32	138	157	236	290	514	496	1015	1599		15	64	12	88	237	101	160	563	89	156	167	197	67	40	133	102	226	
1104	"Cereal grains otherwise worked, e.g. hulled, rolled, flaked, pearled, sliced or kibbled; germ ..."	0	0	0	0	0	0	0	0	4	2	0	5	5	2	7	3	0		568	349	202	133	516	453	572	816	1117	1752	1905	2590	3087	2368	2929	810	944		246	335	632	146	505	687	894	2023	9087	20384	26722	37235	39020	37777	42152	42478	41428	
1106	"Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		58	19	16	22	24	23	136	63	66	1400	93	256	121	158	300	620	808		1212	878	711	547	1570	1406	1415	1910	1859	1649	2577	617	1444	849	1035	1530	2798	
1214	"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2	18	0	420	240	163	1	1	0	0	0	2	45	0	0	0		12	2	0	0	0	425	2111	0	23	2208	3030	6482	5694	1397	522	583	3533	
1502	"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3	6	0	0	0	0	0	0	0	0	0	0	7797	885	2109	1922	1652		32074	47237	61550	55930	68082	69605	94343	131660	84807	106988	111854	110253	55815	69058	18897	14325	15684	
1605	"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved (excluding smoked)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		102273	91258	88915	102333	85660	75843	68387	79218	79544	87212	105451	99374	113994	112764	117617	111937	116926		28	140	152	395	235	221	377	263	330	1169	316	651	911	1617	2557	1693	3034	
2002	"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid"	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		25	210	86	497	85	53	102	205	97	135	29	2	270	273	42	18	49		9	754	142	501	838	134	143	1589	2691	2789	2875	614	827	1203	1142	651	669	
2201	"Waters, incl. natural or artificial mineral waters and aerated waters, not containing added ..."	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0		2153	2171	1942	2532	4610	5626	3957	3852	5876	8073	21339	6267	6685	6260	8881	6766	7150		87	105	106	151	206	535	744	1165	825	1099	1751	1909	3262	2467	2975	2518	2063	
2308	"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		13	279	611	305	238	42	0	223	81	302	25	42	110	79	60	87	182		17	40	102	130	113	215	688	682	463	464	521	1475	17308	20735	3438	2422	11410	
