Product code	Product label	Turkey's imports from Belgium-Value in 2001	Turkey's imports from Belgium-Value in 2002	Turkey's imports from Belgium-Value in 2003	Turkey's imports from Belgium-Value in 2004	Turkey's imports from Belgium-Value in 2005	Turkey's imports from Belgium-Value in 2006	Turkey's imports from Belgium-Value in 2007	Turkey's imports from Belgium-Value in 2008	Turkey's imports from Belgium-Value in 2009	Turkey's imports from Belgium-Value in 2010	Turkey's imports from Belgium-Value in 2011	Turkey's imports from Belgium-Value in 2012	Turkey's imports from Belgium-Value in 2013	Turkey's imports from Belgium-Value in 2014	Turkey's imports from Belgium-Value in 2015	Turkey's imports from Belgium-Value in 2016	Turkey's imports from Belgium-Value in 2017	Belgium's exports to world- 	Belgium's exports to world-Value in 2001	Belgium's exports to world-Value in 2002	Belgium's exports to world-Value in 2003	Belgium's exports to world-Value in 2004	Belgium's exports to world-Value in 2005	Belgium's exports to world-Value in 2006	Belgium's exports to world-Value in 2007	Belgium's exports to world-Value in 2008	Belgium's exports to world-Value in 2009	Belgium's exports to world-Value in 2010	Belgium's exports to world-Value in 2011	Belgium's exports to world-Value in 2012	Belgium's exports to world-Value in 2013	Belgium's exports to world-Value in 2014	Belgium's exports to world-Value in 2015	Belgium's exports to world-Value in 2016	Belgium's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
9030	"Oscilloscopes, spectrum analysers and other instruments and apparatus for measuring or checking ..."	48	9	135	57	103	104	473	82	130	180	307	217	60	144	122	164	99		57496	58324	72061	104813	95514	102091	118154	143829	99481	83329	89127	80823	105473	104455	79605	81217	84860		30216	26915	27402	36816	44053	52588	77624	101476	65432	80581	97264	88305	91741	93373	99575	92584	122143	
2529	"Feldspar; leucite, nepheline and nepheline syenite; fluorspar"	0	0	0	0	0	0	0	2	0	0	0	0	2	12	30	35	100		3176	3370	6399	4621	9693	21035	20345	33176	19455	27489	32059	49612	40849	30166	21807	3652	3481		4031	2410	4268	8257	8256	9126	12038	13566	13085	15284	18280	24045	23454	22643	23297	19777	22842	
5111	"Woven fabrics of carded wool or of carded fine animal hair (excluding fabrics for technical ..."	7	19	5	3	12	26	30	6	1	5	10	36	17	26	62	209	101		6352	7372	6443	10351	11570	14353	12961	13142	12916	12726	12374	11500	11108	11213	8464	9001	8739		32499	36404	41437	54413	49161	52272	53085	52510	44073	50564	49895	47542	50315	41472	27099	22450	30382	
7601	"Unwrought aluminium"	0	3	1	4	8	0	42	26	22	126	0	43	7	0	0	0	103		283201	428956	319590	565826	535031	627374	565573	560284	303556	600203	482945	351119	550273	539871	524897	428618	285524		212092	291858	433354	599142	785431	1239573	1619895	1715744	1073850	1752178	2353232	2110921	2188966	2490682	2326951	1854285	2272962	
0713	"Dried leguminous vegetables, shelled, whether or not skinned or split"	0	0	0	0	0	0	0	0	0	28	49	24	33	128	210	357	104		28910	22029	21324	29959	30470	30590	56911	88479	33666	30893	37930	34726	56850	59071	60179	50257	62335		64113	36985	14327	15201	58853	66880	78709	332831	207428	257844	282654	215283	260920	384320	370825	380383	439412	
8205	"Hand tools, incl. glaziers' diamonds, of base metal, n.e.s.; blowlamps and the like; vices, ..."	53	117	89	85	155	58	112	527	202	240	133	79	209	77	159	122	105		47341	46378	70920	93043	105148	118273	139811	154600	121248	155263	130639	121542	140470	122882	112774	122944	128301		9721	9159	10575	16446	20815	27705	33942	38854	27412	40903	58931	48101	52221	58520	52019	34928	35566	
7105	"Dust and powder of natural or synthetic precious or semi-precious stones"	17	178	69	159	205	141	84	71	67	177	390	242	139	141	129	37	106		38278	39438	32248	30933	30809	30156	30197	26807	17460	21603	20530	18369	18868	17232	17780	17376	18028		2748	2475	3138	3364	4462	4172	4415	3640	3822	4722	5280	5888	5653	5692	4904	4212	4524	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	89	163	309	287	208	264	324	439	290	413	158	116	151	238	97	57	106		57	48	63	170	178	75	106	11784	9457	12926	13626	13901	12129	13580	10348	11162	11690		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
7406	"Powders and flakes, of copper (excluding grains of copper and spangles of heading 8308)"	11	36	18	21	34	32	34	53	56	157	96	92	90	150	81	112	106		2921	1662	1679	1709	1969	8497	11656	6329	7940	10315	4770	8440	10965	11266	11381	12148	6424		1019	1515	1975	2658	2687	3538	3630	4857	3006	4619	5277	4808	5506	5015	4523	3543	4626	
6004	"Knitted or crocheted fabrics, of a width >  30 cm, containing by weight >= 5% of elastomeric ..."	0	195	151	235	287	366	468	371	155	161	141	112	179	131	108	132	107		0	41807	41978	41896	39566	42496	56779	46566	41718	47586	45502	34948	46464	44149	36593	28490	23465		0	21621	34315	58192	52747	50098	80812	84344	70805	133673	158814	94485	116001	105025	82902	75137	96887	
