Product code	Product label	Turkey's imports from Russian Federation-Value in 2001	Turkey's imports from Russian Federation-Value in 2002	Turkey's imports from Russian Federation-Value in 2003	Turkey's imports from Russian Federation-Value in 2004	Turkey's imports from Russian Federation-Value in 2005	Turkey's imports from Russian Federation-Value in 2006	Turkey's imports from Russian Federation-Value in 2007	Turkey's imports from Russian Federation-Value in 2008	Turkey's imports from Russian Federation-Value in 2009	Turkey's imports from Russian Federation-Value in 2010	Turkey's imports from Russian Federation-Value in 2011	Turkey's imports from Russian Federation-Value in 2012	Turkey's imports from Russian Federation-Value in 2013	Turkey's imports from Russian Federation-Value in 2014	Turkey's imports from Russian Federation-Value in 2015	Turkey's imports from Russian Federation-Value in 2016	Turkey's imports from Russian Federation-Value in 2017	Russian Federation's exports to world- 	Russian Federation's exports to world-Value in 2001	Russian Federation's exports to world-Value in 2002	Russian Federation's exports to world-Value in 2003	Russian Federation's exports to world-Value in 2004	Russian Federation's exports to world-Value in 2005	Russian Federation's exports to world-Value in 2006	Russian Federation's exports to world-Value in 2007	Russian Federation's exports to world-Value in 2008	Russian Federation's exports to world-Value in 2009	Russian Federation's exports to world-Value in 2010	Russian Federation's exports to world-Value in 2011	Russian Federation's exports to world-Value in 2012	Russian Federation's exports to world-Value in 2013	Russian Federation's exports to world-Value in 2014	Russian Federation's exports to world-Value in 2015	Russian Federation's exports to world-Value in 2016	Russian Federation's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
0203	"Meat of swine, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		24	4	4	46	7	261	194	194	505	293	339	277	1185	1661	9090	41051	61401		0	0	0	0	0	15	0	0	0	0	0	0	0	0	1	0	0	
0304	"Fish fillets and other fish meat, whether or not minced, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	370	110	65	139	35	100	3	0	0		37076	40571	59750	61673	85491	104741	103369	79125	146601	186324	242501	168709	277373	331181	289418	276331	349174		929	1428	1868	4024	6517	10064	12509	14905	15051	26120	29362	26467	26972	26009	28869	23396	30218	
1108	"Starches; inulin"	0	0	0	0	0	0	0	0	0	0	3	0	0	0	89	14	0		370	439	1085	551	642	426	637	403	666	394	902	3997	4931	6198	6781	6450	9014		2411	6404	6832	7483	8581	9785	13230	14751	15040	14082	16868	17450	14172	16690	14129	14264	15472	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		122	32	117	128	46	67	445	99	32	32	37	64	80	55	221	724	828		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1515	"Fixed vegetable fats and oils, incl. jojoba oil, and their fractions, whether or not refined, ..."	0	0	0	3	9	0	0	0	0	0	0	0	0	0	3	0	0		288	344	618	1559	1435	1467	2708	3945	2932	2724	4092	4956	5838	6627	10911	36761	25940		40630	65725	75264	75171	95586	93726	107832	150775	80218	68277	69777	53437	57063	36601	41644	60217	46003	
1517	"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ..."	0	0	0	0	0	0	0	0	0	0	6	6	67	0	0	0	0		7547	9041	16550	27816	41157	53085	88478	121552	118110	95974	110494	185080	190969	189615	155198	161611	199939		3128	3828	8263	11768	11909	12253	18073	18043	24899	21325	30515	23079	28365	44170	40792	33691	53234	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		139	3542	6322	4374	4504	4808	3741	334	4176	17930	53916	69808	48754	32792	29958	23172	45112		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		118	41	152	740	27627	14323	32497	72707	30987	24861	99622	83024	104732	138122	16709	32492	77518		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3527	1395	1884	7774	13799	15290	18132	25260	30188	21627	46491	77652	88196	116463	130325	167166	393204		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		159	70	129	165	162	482	509	1158	1261	136	65	378	374	544	724	596	610		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2808	"Nitric acid; sulphonitric acids"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2235	3489	3842	3776	3923	4337	4675	4932	3017	3617	5033	6831	7711	8128	3966	1971	3315		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2823	"Titanium oxides"	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		231	141	65	149	9	115	7	16	68	127	51	134	104	78	1432	642	229		5247	5737	5986	8147	7431	8248	8883	8589	6216	9264	14280	12066	12978	12268	7539	8478	13483	
2846	"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7160	11820	22394	15192	8378	6328	7204	13878	9916	18377	66935	37223	18467	23723	14876	8596	10330		655	774	942	892	785	773	1456	1815	1209	3856	6070	3447	2571	1727	1893	2369	1525	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		57	77	85	69	212	359	145	22	7	27	51	74	110	91	103	108	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2906	"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2965	2750	3306	7050	4523	1458	2391	293	13	24	27	96	144	136	58	56	91		1781	2571	3165	3327	3260	4325	5753	6739	3937	6999	9883	11111	12441	11911	10168	11039	12552	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		62	10	8	47	26	68	33	61	170	28	13	365	322	303	248	466	372		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3210	"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ..."	0	0	63	0	0	0	0	260	0	0	9	1	0	0	0	1	0		3203	2074	4214	4005	4439	12213	11762	6199	3315	978	919	5241	3610	2730	2361	2220	2895		4475	6235	7194	8837	9956	10537	14473	16391	13482	13663	17264	16726	17141	23273	23783	24195	24782	
3403	"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ..."	0	0	0	0	0	0	0	546	0	12	26	0	0	0	20	4	0		10379	4729	5521	10218	8097	8392	12969	16389	9205	10398	13312	20502	45842	31662	24779	28927	31282		35496	46553	61886	78975	86295	108534	151624	182741	123649	137549	167671	144388	169061	162748	141443	136005	150734	
2927	"Diazo-, azo- or azoxy-compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		93	7	3	4	7	17	20	3	2	9	14	119	323	302	327	276	565		2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
2931	"Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0		3329	3007	2905	4166	5974	6478	8843	11937	8414	11956	17840	13862	12040	15030	13440	12856	20442		25909	20619	26033	19568	19182	19862	24586	43433	31750	39966	48371	44431	51621	69048	50210	44149	64134	
3818	"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11645	20706	21619	32278	41571	64823	63627	77321	16751	23647	14944	6823	5827	11837	14849	18968	35542		18	26	37	20	63	130	84	111	225	354	344	571	708	1069	1492	1454	2144	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	13	50	3	20	4		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0		18686	11541	23082	14708	30999	27934	26788	43408	26488	12419	13163	25942	23150	18151	11961	7075	7830		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0		2793	319	262	345	414	343	482	373	299	322	395	501	3731	9113	2114	419	1007		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		747	1205	1988	2441	8970	8445	7551	5098	13234	17902	13740	49888	71819	76129	72309	22140	101570		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	5	10	0	3	2	6	0	9	0	1	0	0	0	0	0	0		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	26	30	51	0	4	0	225	0	0	0	0	0	0	413	997	8	0		1471	8661	13272	6133	6104	9729	19503	13938	5915	12645	12628	12099	19026	17768	23137	16731	19953		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5107	"Yarn of combed wool (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1133	917	885	225	6	154	25	93	140	411	246	210	395	120	349	90	54		25127	33204	38874	38975	41301	42151	42127	47373	42159	45947	64346	51833	45367	43413	39375	31479	31113	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11	0	0	1	0	0	23	14	0	0	0	26	42	71	18	2	0		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
5206	"Cotton yarn containing predominantly, but < 85% cotton by weight (excluding sewing thread and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		66	66	6	18	11	0	0	0	0	0	0	48	316	606	304	481	945		3317	3790	5174	4618	6904	5302	7230	6130	5441	11256	11441	9290	29275	69900	38589	62926	77014	
5208	"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing <= 200 g/m²"	70	1081	2947	342	90	11	93	0	0	14	43	0	0	0	26	4	0		103662	98874	114259	122581	107887	97392	75198	45722	25177	30110	26042	26660	31229	26664	21415	23435	24538		83322	188090	269936	341045	393886	418317	505628	478538	397265	554470	586735	350507	388954	339648	237591	174648	206409	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	29	0	1	2	7	15	26	135	46	61	65	115	8	18	18	13		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5516	"Woven fabrics of artificial staple fibres"	8	8	0	0	1	0	0	0	1	0	0	0	1	4	0	1	0		8612	3036	1391	550	305	174	68	86	14	47	8	911	1818	1983	1336	1353	1347		54359	76424	65022	68603	47842	73261	95608	83388	67594	91881	122983	108868	122254	125084	110802	98239	89062	
5605	"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6	0	0	0	23	2	1	5	3	0	2	28	122	64	24	10	21		3581	2672	2758	3420	4550	8279	12517	9680	5370	7009	7372	10217	19591	19015	19476	6891	7755	
5801	"Woven pile fabrics and chenille fabrics (excluding terry towelling and similar woven terry ..."	0	0	0	0	0	176	0	123	137	0	480	113	0	13	0	51	0		305	57	73	108	95	314	284	97	205	20	83	2473	2532	2513	1532	2815	3119		31186	71519	120415	118791	130163	143430	81345	37289	32654	40135	59682	42282	46281	33746	24765	21963	31657	
5807	"Labels, badges and similar articles, of textile materials, in the piece, in strips or cut to ..."	1	1	0	1	4	1	0	5	0	0	0	0	0	0	0	0	0		38	39	53	45	15	37	19	96	73	79	220	658	568	523	362	434	712		9638	13595	15108	17735	17076	19177	23884	21423	18781	19653	20219	19674	19434	21772	18594	19907	18598	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	0	0	0	0	0	0	0	27	56	91	2	1	1	10	25	7		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
6001	"Pile fabrics, incl. "long pile" fabrics and terry fabrics, knitted or crocheted"	1	0	0	0	0	0	0	0	0	0	0	0	0	116	107	37	0		115	110	324	761	1037	763	542	651	317	357	343	1736	2031	1175	2894	2191	3268		10391	18618	29362	39330	35717	32138	35811	47366	48028	78946	159394	123210	168664	213834	197711	147784	167590	
6102	"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ..."	1	0	1	0	0	0	0	1	0	0	6	0	0	0	1	21	0		1516	1343	1355	995	270	206	344	433	582	1043	417	906	818	1246	1548	1757	2355		1077	1785	2657	3338	3468	4830	6041	9961	8263	9859	11318	8116	9224	13009	13620	13607	17356	
6210	"Garments made up of felt or nonwovens, whether or not impregnated, coated, covered or laminated; ..."	0	0	5	0	6	0	1	0	0	0	1	0	0	0	0	0	0		6881	5990	5086	3956	3199	3008	2059	1724	739	507	312	2788	2025	2349	2600	2356	3037		3156	1622	2528	4117	4876	6093	9963	11391	27459	49683	152858	172285	211565	214767	310271	425122	132326	
6602	"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ..."	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		8	17	5	7	5	44	21	74	19	0	3	28	78	74	106	87	109		6	11	26	52	98	132	250	289	196	314	577	374	366	502	340	415	378	
4822	"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		244	241	245	345	377	475	698	750	554	440	424	1070	1603	919	943	1023	954		969	1151	767	529	1099	1832	2693	4682	4396	6736	4817	2654	3189	3141	2967	1919	2700	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5730	11477	20808	32531	49459	70877	84811	97500	78077	53790	49977	66184	65378	52006	29877	27705	25430		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
6903	"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ..."	1	1	6	16	0	1	0	34	0	0	0	0	0	0	0	3	0		2162	2181	2452	2886	3841	4415	4061	5156	2956	3137	5256	6918	7169	7196	4450	4054	4900		17619	22228	26329	30167	30355	36886	52584	47839	36889	50308	58033	57021	56850	63567	49801	45872	58888	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		19	10	11	0	0	2	1	4	0	0	3	0	3	43	38	21	7		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	0	0	0	0	0	0	0	0	33	61	239	0	0	0	1	0	0		3720	379	795	1274	2694	4822	1860	2836	1446	2181	1122	408	635	613	784	5941	5591		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3	0	0	0	0	0	0	0	0	0	3	0	0	22	0	0	0		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	111	5		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	2191629	1940219	0	0	0	0	1681920	1045137	615259	980002	2398007	3278816		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	212	0	0		0	0	0	0	0	0	0	0	0	0	0	1114423	1134373	1439218	710211	243730	58071		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7302	"Railway or tramway track construction material of iron or steel, the following : rails, check-rails ..."	0	0	63	0	233	119	2741	0	0	453	596	17	0	5	260	322	0		80358	82111	138866	117046	130623	158160	153740	207535	134691	115000	118118	177575	250533	233081	130942	131977	138656		4882	5838	15433	22721	39753	27483	47878	103737	84501	112720	92468	79346	69222	36795	31374	53630	54681	
7317	"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ..."	0	0	0	122	16	0	0	2	0	0	1	0	0	0	8	0	0		12437	14198	21512	28513	27154	32074	26736	20322	15261	10777	12651	23501	22555	26698	25405	15420	15927		1120	1752	2709	4416	3882	3803	10891	9416	5151	6204	9165	9217	10210	11441	10876	9933	11061	
7319	"Sewing needles, knitting needles, bodkins, crochet hoods, embroidery stilettos and similar ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		15	8	15	11	22	35	70	69	29	39	49	100	106	169	117	192	265		1051	1137	1350	1417	1897	2010	2330	3039	1944	2631	2341	2575	2640	2302	2202	1954	2438	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		949	818	599	914	597	519	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7419	"Other articles of copper, n.e.s."	0	27	0	9	0	0	116	358	1	40	4	3	0	3	0	3	0		27522	5710	3994	19112	9983	14565	12257	14445	16217	33744	59220	82825	76509	90350	12679	10398	13064		3007	3281	4760	26812	18299	9550	15949	17732	12284	19192	24811	22491	25587	25023	28588	35992	41173	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	11164	7234	2124	0	0	222	127226	2624	2272	1375	8	0	0	8855	238243	613822		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7507	"Tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves", of nickel"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		35	333	337	270	548	543	769	2557	2544	105	202	2817	4991	6142	1787	3062	1374		875	848	861	1100	891	1113	1666	1651	808	933	1702	786	722	1479	4389	1514	1615	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		129	0	0	0	0	28	0	0	0	0	0	1	2	0	2	5	14		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
