Product code	Product label	Turkey's imports from Switzerland-Value in 2001	Turkey's imports from Switzerland-Value in 2002	Turkey's imports from Switzerland-Value in 2003	Turkey's imports from Switzerland-Value in 2004	Turkey's imports from Switzerland-Value in 2005	Turkey's imports from Switzerland-Value in 2006	Turkey's imports from Switzerland-Value in 2007	Turkey's imports from Switzerland-Value in 2008	Turkey's imports from Switzerland-Value in 2009	Turkey's imports from Switzerland-Value in 2010	Turkey's imports from Switzerland-Value in 2011	Turkey's imports from Switzerland-Value in 2012	Turkey's imports from Switzerland-Value in 2013	Turkey's imports from Switzerland-Value in 2014	Turkey's imports from Switzerland-Value in 2015	Turkey's imports from Switzerland-Value in 2016	Turkey's imports from Switzerland-Value in 2017	Switzerland's exports to world- 	Switzerland's exports to world-Value in 2001	Switzerland's exports to world-Value in 2002	Switzerland's exports to world-Value in 2003	Switzerland's exports to world-Value in 2004	Switzerland's exports to world-Value in 2005	Switzerland's exports to world-Value in 2006	Switzerland's exports to world-Value in 2007	Switzerland's exports to world-Value in 2008	Switzerland's exports to world-Value in 2009	Switzerland's exports to world-Value in 2010	Switzerland's exports to world-Value in 2011	Switzerland's exports to world-Value in 2012	Switzerland's exports to world-Value in 2013	Switzerland's exports to world-Value in 2014	Switzerland's exports to world-Value in 2015	Switzerland's exports to world-Value in 2016	Switzerland's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
7601	"Unwrought aluminium"	214	530	167	1619	724	4487	6023	0	2017	0	158	3	0	0	1174	0	0		11607	13605	2125	15925	29965	47913	57531	32649	31462	57961	76008	62044	67241	56587	95383	140698	175475		212092	291858	433354	599142	785431	1239573	1619895	1715744	1073850	1752178	2353232	2110921	2188966	2490682	2326951	1854285	2272962	
7805	"Lead tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	2	50	73	11	0	0	0	0	0	0	0	0	0	0	0	0		4	1	0	2	68	0	0	0	0	0	0	0	0	0	0	0	0	
7905	"Zinc plates, sheets, strip and foil"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		270	255	180	210	195	267	481	445	268	515	269	463	239	294	334	311	157		4	43	140	537	491	1197	1336	1535	958	1949	2342	3209	8778	6692	5393	5203	7147	
8004	"Tin plates, sheets and strip, of a thickness of > 0,2 mm"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		18	1	4	16	14	55	0	0	0	0	0	0	0	0	0	0	0		0	2	5	10	13	0	0	0	0	0	0	0	0	0	0	0	0	
8109	"Zirconium and articles thereof, n.e.s.; zirconium waste and scrap (excluding ash and residues ..."	0	0	0	0	0	3	0	0	0	0	0	11	0	0	0	0	0		375	368	1694	1127	1265	668	985	2123	2087	1059	852	834	1071	1014	754	694	1081		328	769	126	211	186	137	158	347	251	214	731	909	1296	1195	1031	1096	1169	
8111	"Manganese and articles thereof, n.e.s.; manganese waste and scrap (excluding ash and residues ..."	21	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		15	10	9	7	15	2	8	11	28	5	0	1	1	13	3	23	0		138	308	407	1013	688	893	2584	3630	1781	2786	4125	2535	3487	4527	3489	3004	5526	
8401	"Nuclear reactors; fuel elements "cartridges", non-irradiated, for nuclear reactors; machinery ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		186	72	150	350	263	404	792	210	232	700	344	1029	133	136	512	149	109		1	2	1	23	0	0	154	0	1095	0	0	1	3	0	0	0	0	
8444	"Machines for extruding, drawing, texturing or cutting man-made textile materials"	619	15	3347	0	3753	1345	10003	8914	1537	6789	9270	3451	3110	7218	3296	2791	0		23888	21643	50454	34402	25629	22876	32029	40789	11595	55243	85929	25100	33597	45185	13478	10116	1295		13527	76367	76096	39114	23737	20345	54493	42825	22024	48333	58863	110063	132462	68792	98053	91250	89957	
8469	"Typewriters and word-processing machines (excluding automatic data-processing machines and ..."	0	4	2	0	0	0	3	0	0	0	0	0	2	0	0	0	0		316	97	125	113	112	133	157	70	48	74	286	59	67	16	25	19	0		765	828	1961	1300	1518	4631	497	200	53	103	98	300	92	416	126	145	0	
8527	"Reception apparatus for radio-broadcasting, whether or not combined, in the same housing, with ..."	55	43	58	73	0	0	1	0	0	0	1	0	1	1	1	9	0		24152	24370	29890	32906	41484	47454	16674	3460	2688	2068	4783	4655	3702	2701	1485	2053	2166		50386	61356	99608	156082	178108	191091	187614	179397	135327	175374	185808	166217	148174	166055	157414	156916	115486	
8602	"Rail locomotives (excluding those powered from an external source of electricity or by accumulators); ..."	0	0	0	0	0	0	221	0	0	0	0	0	0	0	0	0	0		571	702	544	4346	1959	926	12914	1204	2199	6356	1500	1799	4634	253	2501	6267	8428		0	0	969	249	1016	2499	5517	5132	2365	3376	8554	2426	4679	42650	50719	4114	2932	
8709	"Works trucks, self-propelled, not fitted with lifting or handling equipment, of the type used ..."	0	1	0	1	0	0	0	0	0	0	0	0	4	0	8	0	0		803	1145	1120	1737	1173	1571	2734	3727	793	1355	1009	718	1504	946	1413	1475	2546		1456	1831	1683	7278	3662	5230	9833	11371	4665	10723	11420	16834	14606	12901	24886	14819	10119	
8712	"Bicycles and other cycles, incl. delivery tricycles, not motorised"	0	8	2	0	0	0	0	0	0	0	1	3	0	0	0	0	0		6917	4542	4054	3325	4590	4746	4947	2914	3435	10809	9238	8809	7304	7728	5827	5643	4814		1852	1595	900	1575	4840	2273	2188	3111	2987	4639	7295	7645	9716	15147	16557	16667	20928	
8804	"Parachutes, incl. dirigible parachutes and paragliders, and rotochutes; parts thereof and accessories ..."	0	0	0	0	3	6	0	0	0	0	0	6	3	0	5	0	0		1590	1589	1595	1578	2255	1127	1146	1241	1253	1608	1869	990	1687	1167	1594	1166	1206		190	338	266	369	386	250	1320	489	371	542	1252	1274	1135	860	1023	1591	569	
8901	"Cruise ships, excursion boats, ferry-boats, cargo ships, barges and similar vessels for the ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	287	0	0	0		147	6927	13248	14049	710	2104	26751	690	375	4	6	297	67	2968	87418	9868	89385		487984	259729	59777	209363	734628	177085	544897	741008	622729	853556	1113558	664397	357382	212008	317837	139844	565685	
9007	"Cinematographic cameras and projectors, whether or not incorporating sound recording or reproducing ..."	0	5	2	0	2	9	0	0	0	0	6	0	0	0	0	0	0		3779	3479	2395	2370	3211	2123	2802	1642	1923	1780	3989	4596	3214	4022	2594	2389	1763		817	2185	2463	3663	5898	4364	6075	5877	4338	3363	6102	2790	2518	1792	2470	1632	825	
9304	"Spring, air or gas guns and pistols, truncheons and other non-firearms (excluding swords, cutlasses, ..."	99	87	0	1	0	0	1	6	0	9	39	0	1	31	13	4	0		3312	3185	2404	2453	2328	1851	2923	3641	2786	3929	5375	4957	5215	4207	4389	7192	5269		695	472	563	697	1228	1646	2975	2539	1682	2489	1891	2461	2771	3109	3792	2826	3697	
