Product code	Product label	Turkey's imports from Netherlands-Value in 2001	Turkey's imports from Netherlands-Value in 2002	Turkey's imports from Netherlands-Value in 2003	Turkey's imports from Netherlands-Value in 2004	Turkey's imports from Netherlands-Value in 2005	Turkey's imports from Netherlands-Value in 2006	Turkey's imports from Netherlands-Value in 2007	Turkey's imports from Netherlands-Value in 2008	Turkey's imports from Netherlands-Value in 2009	Turkey's imports from Netherlands-Value in 2010	Turkey's imports from Netherlands-Value in 2011	Turkey's imports from Netherlands-Value in 2012	Turkey's imports from Netherlands-Value in 2013	Turkey's imports from Netherlands-Value in 2014	Turkey's imports from Netherlands-Value in 2015	Turkey's imports from Netherlands-Value in 2016	Turkey's imports from Netherlands-Value in 2017	Netherlands's exports to world- 	Netherlands's exports to world-Value in 2001	Netherlands's exports to world-Value in 2002	Netherlands's exports to world-Value in 2003	Netherlands's exports to world-Value in 2004	Netherlands's exports to world-Value in 2005	Netherlands's exports to world-Value in 2006	Netherlands's exports to world-Value in 2007	Netherlands's exports to world-Value in 2008	Netherlands's exports to world-Value in 2009	Netherlands's exports to world-Value in 2010	Netherlands's exports to world-Value in 2011	Netherlands's exports to world-Value in 2012	Netherlands's exports to world-Value in 2013	Netherlands's exports to world-Value in 2014	Netherlands's exports to world-Value in 2015	Netherlands's exports to world-Value in 2016	Netherlands's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
9502	"Dolls representing only human beings"	6	7	63	286	571	0	0	0	0	0	0	0	0	0	0	0	0		58781	53194	83504	85279	60154	67522	0	0	0	0	0	0	0	0	0	0	0		4013	3977	7238	13115	15560	16821	0	0	0	0	0	0	0	0	0	0	0	
9604	"Hand sieves and hand riddles (excluding colanders)"	0	0	0	1	0	0	1	2	1	1	3	0	0	0	0	1	0		569	338	373	530	606	763	667	734	589	950	1142	1210	910	1241	1038	1489	1426		72	91	109	86	179	172	180	122	251	312	348	286	238	266	166	150	225	
0202	"Meat of bovine animals, frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		108274	149353	174742	174944	187574	216750	245785	317648	234561	213098	247823	207411	211693	218696	214566	230433	330759		0	0	0	74	0	0	0	0	0	19004	2754	5762	3966	0	49824	0	39594	
0209	"Pig fat, free of lean meat, and poultry fat, not rendered or otherwise extracted, fresh, chilled, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		20336	22748	27148	56502	42566	38630	47000	101751	62950	53802	91718	87858	78959	47265	27413	36443	47573		0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	3	
0210	"Meat and edible offal, salted, in brine, dried or smoked; edible flours and meals of meat or ..."	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0		347977	366269	535384	589412	489935	541724	733896	814380	655230	626711	750959	750206	886823	958243	816855	758570	829288		16	10	49	7	16	0	0	0	0	0	0	68	2	0	0	0	0	
0305	"Fish, fit for human consumption, dried, salted or in brine; smoked fish, fit for human consumption, ..."	0	0	0	3	0	0	250	298	0	0	0	0	0	0	0	0	0		62715	37849	43030	53455	55103	61224	68481	75372	71748	69862	105419	118779	202658	210991	307599	328623	347964		275	335	255	618	822	1174	1363	1791	959	1336	751	601	423	389	655	544	579	
0403	"Buttermilk, curdled milk and cream, yogurt, kephir and other fermented or acidified milk and ..."	0	0	0	0	0	0	0	0	0	52	0	5	0	0	0	0	0		42418	42086	63277	61552	58712	57020	55772	64562	58754	98789	141612	135301	136230	136895	125868	102654	101654		55	338	414	502	435	21	76	187	98	253	148	270	599	3064	985	123	303	
0410	"Turtles' eggs, birds' nests and other edible products of animal origin, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		44	121	164	234	122	225	273	261	625	1049	10849	10522	2518	2406	1999	1827	1984		77	209	499	207	188	133	58	171	180	430	476	267	313	456	364	451	336	
0502	"Pigs', hogs' or boars' bristles and hair; badger hair and other brush making hair; waste of ..."	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		17112	17648	18775	20251	20132	19806	24307	20632	13124	4845	442	169	440	1042	1144	2107	2795		2674	2319	2961	3238	4481	4349	5885	5755	6172	6823	7035	6722	6502	7313	6824	6611	7424	
0506	"Bones and horn-cores and their powder and waste, unworked, defatted, simply prepared, treated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1778	4026	5975	8892	9781	6450	6719	13029	10469	13325	19804	29457	32925	28167	63857	59428	34907		1	0	0	0	0	0	6	0	1	48	20	9	0	9	0	0	2	
0507	"Ivory, tortoiseshell, whalebone and whalebone hair, horns, antlers, hooves, nails, claws and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	10	1	0	10	5	3	21	6	231	1	0	6	7307	108	124	145		0	3	0	0	1	0	18	1	4	17	26	24	62	33	0	11	28	
0707	"Cucumbers and gherkins, fresh or chilled"	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0		263350	258850	386057	382505	410507	422062	438597	503869	441600	483400	429870	487669	501351	457707	423285	428237	484202		6	0	0	18	1	1	16	4	0	0	0	15	0	0	180	534	1	
1206	"Sunflower seeds, whether or not broken"	328	400	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0		9939	18089	22652	32456	39919	28559	30274	42100	54677	46562	51660	42471	73733	57023	52945	69881	128365		42707	42008	153335	157376	161759	116520	260166	365145	240620	349690	589577	443959	474002	406155	237984	263005	356471	
1403	"Vegetable materials, such as broom-corn, piassava, couch-grass and istle, of a kind used primarily ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1964	1225	1105	1418	1301	1177	0	0	0	0	0	0	0	0	0	0	0		53	95	711	776	269	458	0	0	0	0	0	0	0	0	0	0	0	
1506	"Other animal fats and oils and their fractions, whether or not refined, but not chemically ..."	0	1	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0		2147	2350	1630	1760	1540	1694	2111	3016	4317	9036	13348	41461	124679	92933	58537	64791	110035		2	6	5	5	0	0	0	13	1	1	27	41	78	72	667	661	757	
1006	"Rice"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		54213	75565	69980	45681	82109	83888	113010	194667	157202	127676	179957	176047	175841	213728	174947	171714	214128		57683	86383	122786	62025	97186	89105	112750	172790	135271	264541	152439	111346	150523	277321	166058	116207	148788	
1007	"Grain sorghum"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1998	2172	3567	2861	1608	3449	47320	70867	8331	3812	3409	1155	1561	1030	1130	1137	1103		28	0	0	1	0	0	28	54	9	18	2936	278	26	102	74	0	0	
2102	"Yeasts, active or inactive; other dead single-cell micro-organisms, prepared baking powders ..."	0	27	1	0	0	0	8	0	7	51	60	19	75	119	7	3	0		8867	9633	11089	27292	31635	29641	30404	34852	17207	25272	33362	27514	29048	33679	30169	24467	38066		2581	2722	3547	3751	4510	5634	7266	7069	5560	8592	11485	12044	12702	14094	18206	18838	20752	
2206	"Cider, perry, mead and other fermented beverages and mixtures of fermented beverages and non-alcoholic ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0		5939	6605	8189	9040	10324	12474	17547	45078	55930	54557	63396	62368	59401	60203	50878	43054	60968		0	0	2	9	17	2	10	6	0	168	557	974	1277	1757	1699	1524	160	
2503	"Sulphur of all kinds (excluding sublimed sulphur, precipitated sulphur and colloidal sulphur)"	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	0	0		9790	8609	15834	21405	11729	20947	26688	174271	19100	34288	71848	83411	55233	66062	88810	82670	33734		5296	6385	10306	10202	13511	15152	14544	52142	8106	15024	30790	28503	17903	22469	27298	26958	32497	
2605	"Cobalt ores and concentrates"	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		56	0	2	52	0	0	0	0	0	13	49	0	3	18	0	2021	223		28	30	0	0	0	0	0	0	0	0	0	0	0	2	0	0	65	
