Product code	Product label	Turkey's imports from Brazil-Value in 2001	Turkey's imports from Brazil-Value in 2002	Turkey's imports from Brazil-Value in 2003	Turkey's imports from Brazil-Value in 2004	Turkey's imports from Brazil-Value in 2005	Turkey's imports from Brazil-Value in 2006	Turkey's imports from Brazil-Value in 2007	Turkey's imports from Brazil-Value in 2008	Turkey's imports from Brazil-Value in 2009	Turkey's imports from Brazil-Value in 2010	Turkey's imports from Brazil-Value in 2011	Turkey's imports from Brazil-Value in 2012	Turkey's imports from Brazil-Value in 2013	Turkey's imports from Brazil-Value in 2014	Turkey's imports from Brazil-Value in 2015	Turkey's imports from Brazil-Value in 2016	Turkey's imports from Brazil-Value in 2017	Brazil's exports to world- 	Brazil's exports to world-Value in 2001	Brazil's exports to world-Value in 2002	Brazil's exports to world-Value in 2003	Brazil's exports to world-Value in 2004	Brazil's exports to world-Value in 2005	Brazil's exports to world-Value in 2006	Brazil's exports to world-Value in 2007	Brazil's exports to world-Value in 2008	Brazil's exports to world-Value in 2009	Brazil's exports to world-Value in 2010	Brazil's exports to world-Value in 2011	Brazil's exports to world-Value in 2012	Brazil's exports to world-Value in 2013	Brazil's exports to world-Value in 2014	Brazil's exports to world-Value in 2015	Brazil's exports to world-Value in 2016	Brazil's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		166	189	59	93	50	37	35	206	210	5249	16290	15236	2239	3	1	1536	134		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3014	1901	1	2	1	9	338	363	153	357	0	152	9	0	11	0	0		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5384	6120	7434	6249	6365	8316	9739	9529	16233	19395	21948	26291	33729	30600	31983	25067	23815		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5107	"Yarn of combed wool (excluding that put up for retail sale)"	0	0	0	0	0	0	9	1	0	0	0	0	0	0	0	0	0		92	139	157	65	271	273	53	113	95	12	125	140	0	133	147	213	75		25127	33204	38874	38975	41301	42151	42127	47373	42159	45947	64346	51833	45367	43413	39375	31479	31113	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
5206	"Cotton yarn containing predominantly, but < 85% cotton by weight (excluding sewing thread and ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		365	318	339	330	63	16326	53	40	43	37	33	75	176	75	238	504	308		3317	3790	5174	4618	6904	5302	7230	6130	5441	11256	11441	9290	29275	69900	38589	62926	77014	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0		0	7	3	5	0	2	9	0	15	0	5	25	0	10	0	0	8		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5605	"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		88	15	16	18	169	132	116	186	79	107	68	51	53	101	58	104	136		3581	2672	2758	3420	4550	8279	12517	9680	5370	7009	7372	10217	19591	19015	19476	6891	7755	
5801	"Woven pile fabrics and chenille fabrics (excluding terry towelling and similar woven terry ..."	24	0	71	53	0	211	0	0	0	0	0	0	0	0	6	0	0		9099	7136	11828	11872	14337	14163	10080	5563	3178	4222	5189	4233	5244	5573	7187	6731	7131		31186	71519	120415	118791	130163	143430	81345	37289	32654	40135	59682	42282	46281	33746	24765	21963	31657	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		35	0	9	30	18	102	18	16	1	20	55	10	1	0	0	0	0		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
6001	"Pile fabrics, incl. "long pile" fabrics and terry fabrics, knitted or crocheted"	0	0	16	0	0	0	0	0	0	0	1	0	0	0	0	0	0		7715	9004	6707	8689	5841	7040	7722	9822	2482	5689	4245	6191	4531	3294	4125	3326	3201		10391	18618	29362	39330	35717	32138	35811	47366	48028	78946	159394	123210	168664	213834	197711	147784	167590	
6210	"Garments made up of felt or nonwovens, whether or not impregnated, coated, covered or laminated; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		844	333	704	866	1573	2740	2576	2567	985	751	1313	907	519	603	720	626	657		3156	1622	2528	4117	4876	6093	9963	11391	27459	49683	152858	172285	211565	214767	310271	425122	132326	
6602	"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	9	16	44	19	25	4	1	2	10	1	1	1	0	0	0	1		6	11	26	52	98	132	250	289	196	314	577	374	366	502	340	415	378	
0101	"Live horses, asses, mules and hinnies"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1070	955	1461	2069	2053	4925	3586	5945	4384	3486	3320	2703	3244	4173	3728	6375	7204		12912	6605	1512	1351	1568	4265	7684	8554	5190	14660	4235	2674	8628	4506	3010	1770	1618	
0103	"Live swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		183	193	48	178	138	138	698	546	694	742	3729	1942	3163	1957	2253	2222	4178		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0302	"Fish, fresh or chilled (excluding fish fillets and other fish meat of heading 0304)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		27679	35293	39961	43435	37485	29125	27294	22730	19260	17805	11736	11838	14611	13886	25998	37104	33526		331	273	1011	2933	6420	10865	14589	20509	20130	26722	38604	46229	44060	50475	65548	45218	43300	
0503	"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting ..."	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		28	3	157	220	542	254	19	0	0	0	0	0	0	0	0	0	0		190	291	325	202	274	410	0	0	0	0	0	0	0	0	0	0	0	
0704	"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		21	31	3	1	2	0	63	1	2	3	0	0	0	11	1	39	4		0	0	0	0	0	1	0	4	14	18	1052	430	162	15	394	75	27	
