Product code	Product label	Turkey's imports from Greece-Value in 2001	Turkey's imports from Greece-Value in 2002	Turkey's imports from Greece-Value in 2003	Turkey's imports from Greece-Value in 2004	Turkey's imports from Greece-Value in 2005	Turkey's imports from Greece-Value in 2006	Turkey's imports from Greece-Value in 2007	Turkey's imports from Greece-Value in 2008	Turkey's imports from Greece-Value in 2009	Turkey's imports from Greece-Value in 2010	Turkey's imports from Greece-Value in 2011	Turkey's imports from Greece-Value in 2012	Turkey's imports from Greece-Value in 2013	Turkey's imports from Greece-Value in 2014	Turkey's imports from Greece-Value in 2015	Turkey's imports from Greece-Value in 2016	Turkey's imports from Greece-Value in 2017	Greece's exports to world- 	Greece's exports to world-Value in 2001	Greece's exports to world-Value in 2002	Greece's exports to world-Value in 2003	Greece's exports to world-Value in 2004	Greece's exports to world-Value in 2005	Greece's exports to world-Value in 2006	Greece's exports to world-Value in 2007	Greece's exports to world-Value in 2008	Greece's exports to world-Value in 2009	Greece's exports to world-Value in 2010	Greece's exports to world-Value in 2011	Greece's exports to world-Value in 2012	Greece's exports to world-Value in 2013	Greece's exports to world-Value in 2014	Greece's exports to world-Value in 2015	Greece's exports to world-Value in 2016	Greece's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	6	0	0	0	0	0	0	2	0	0	0		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5107	"Yarn of combed wool (excluding that put up for retail sale)"	9	0	48	50	0	117	0	0	0	0	0	0	0	1	0	0	0		975	1919	1980	3039	2402	2293	2477	2306	768	348	444	104	22	34	53	37	34		25127	33204	38874	38975	41301	42151	42127	47373	42159	45947	64346	51833	45367	43413	39375	31479	31113	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	5	0	0	0	1	0	0	0	24	0	20	0		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
5206	"Cotton yarn containing predominantly, but < 85% cotton by weight (excluding sewing thread and ..."	0	21	2	23	122	111	0	14	0	0	5	2	0	50	12	0	0		1095	4206	6474	5585	5331	4499	4594	5396	2019	223	57	23	62	37	16	51	58		3317	3790	5174	4618	6904	5302	7230	6130	5441	11256	11441	9290	29275	69900	38589	62926	77014	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1	0	0	0	0	1	2	12	3	3	0	0	0	70	1	3		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5605	"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ..."	0	13	5	0	9	0	0	0	0	0	0	0	0	1	0	0	0		305	209	320	233	192	40	120	143	76	83	202	194	203	257	74	88	112		3581	2672	2758	3420	4550	8279	12517	9680	5370	7009	7372	10217	19591	19015	19476	6891	7755	
5801	"Woven pile fabrics and chenille fabrics (excluding terry towelling and similar woven terry ..."	10	6	22	47	148	120	7	89	117	12	88	15	0	3	0	19	0		159	563	877	470	605	835	427	878	634	736	691	457	338	318	167	272	481		31186	71519	120415	118791	130163	143430	81345	37289	32654	40135	59682	42282	46281	33746	24765	21963	31657	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0		92	100	109	65	114	170	123	198	24	21	5	13	12	17	2	9	5		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
6102	"Women's or girls' overcoats, car coats, capes, cloaks, anoraks, incl. ski jackets, windcheaters, ..."	21	9	0	0	51	150	68	169	137	40	4	8	12	3	3	0	0		1058	475	417	609	770	909	927	1168	2283	2013	2610	1641	2112	1260	1816	4352	5154		1077	1785	2657	3338	3468	4830	6041	9961	8263	9859	11318	8116	9224	13009	13620	13607	17356	
6807	"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch"	25	0	27	179	838	682	0	0	16	0	0	0	0	0	0	0	0		8031	8149	9049	7696	8368	9072	9052	7794	7185	8194	5848	1898	1870	904	868	894	980		6359	8051	8916	12370	15702	29442	21746	22950	23880	24537	23249	18277	20820	19049	14349	13308	15833	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	0	0	0	9	100	0	0	0	0	0	0	0	0	0		489	901	1255	1195	1208	1053	2465	12366	11076	7877	1600	814	495	91	179	216	312		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
6903	"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0		23	94	58	16	63	27	198	87	134	177	358	64	155	192	331	150	204		17619	22228	26329	30167	30355	36886	52584	47839	36889	50308	58033	57021	56850	63567	49801	45872	58888	
6602	"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	7	0	0	0	0	0	1	1	0	2	10	10	26	29	31	94		6	11	26	52	98	132	250	289	196	314	577	374	366	502	340	415	378	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	20	0	0	0	0	0	0	0	23	0	0	1	0	59	7	0	0		261	1269	2975	1671	262	3810	2896	3510	936	1094	3120	2771	6108	3575	4283	2130	4518		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	5	0	15	104	9	40	1	2	27	30	226	410	103	63	1767	53		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7209	"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, cold-rolled "cold-reduced", ..."	33	13	0	1718	1461	2772	3656	0	1313	6	96	3199	4113	3235	0	13	0		26852	14135	10033	60868	49894	25420	42569	47173	23797	34512	41946	20362	21538	30882	3231	2139	2685		95041	168187	271406	579741	511156	616180	629852	721087	401099	502307	568766	491248	499944	494521	365284	354293	539824	
7211	"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ..."	89	21	4	0	250	147	1	253	261	260	0	0	80	0	17	64	0		977	10991	16371	26058	23050	47779	31994	41953	22311	26335	32320	23948	22062	21346	16159	16335	19287		28344	46289	88047	119209	139195	142037	171599	280403	155090	230148	256706	251008	167331	69246	53891	50631	64050	
7222	"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	1	5	14	7	0	0		87	544	334	179	439	1027	1291	1923	1759	576	1324	147	272	402	350	491	818		12438	17125	26948	36839	52372	54266	90170	90497	56401	70403	106926	100748	97566	115389	108049	87295	97222	
7224	"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	1	26	401	0	0	107	0	3	8	179	89	210	218		2927	2906	4522	7116	12501	13191	32146	14046	12726	16821	32018	30101	27814	38465	34512	31353	86203	
7302	"Railway or tramway track construction material of iron or steel, the following : rails, check-rails ..."	0	0	0	0	0	2	0	0	0	0	290	13	4	0	0	0	0		98	18	29	240	62	246	125	1764	226	243	512	87	466	706	660	319	357		4882	5838	15433	22721	39753	27483	47878	103737	84501	112720	92468	79346	69222	36795	31374	53630	54681	
7018	"Glass beads, imitation pearls, imitation precious or semi-precious stones and similar glass ..."	69	15	0	8	3	16	15	11	11	1	0	0	7	8	0	2	0		329	173	143	70	563	123	547	1007	790	494	555	449	225	257	106	279	319		6758	9002	12657	22218	30723	32538	38714	38746	30108	36242	35736	34420	39158	36852	25306	25814	24782	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0		0	1	0	0	18	243	264	116	1	2	16	36	10	20	106	223	123		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	3	0	0	0	0	1	85	190	38	23	5	0	0		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		17	69	454	677	15	41	274	79	65	164	151	742	100	65	58	21	74		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7317	"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ..."	0	0	8	0	0	14	13	57	44	0	17	0	8	7	5	1	0		221	247	155	210	295	321	878	2528	1494	1506	2781	1736	1484	1323	913	887	1350		1120	1752	2709	4416	3882	3803	10891	9416	5151	6204	9165	9217	10210	11441	10876	9933	11061	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	3	0	0	11	0	0	0	0	0	0	0	0	0	4	0		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7507	"Tubes, pipes and tube or pipe fittings "e.g., couplings, elbows, sleeves", of nickel"	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0		0	4	0	8	14	0	11	4	9	36	6	5	6	15	27	36	27		875	848	861	1100	891	1113	1666	1651	808	933	1702	786	722	1479	4389	1514	1615	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	0	47	9	4	9	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		21	0	131	162	364	463	975	1563	987	2963	1651	2929	2558	1355	1265	744	1134		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8206	"Sets of two or more tools of heading 8202 to 8205, put up in sets for retail sale"	799	258	126	0	0	0	3	0	9	0	0	0	0	3	1	0	0		1198	1362	2351	1744	1219	244	109	364	357	275	229	84	144	115	543	230	148		2386	2216	1715	1821	2058	1570	2451	4263	1525	2951	6063	4949	13506	9189	6527	4974	5958	
8211	"Knives with cutting blades, serrated or not, incl. pruning knives, and blades therefor, of ..."	5	3	19	49	7	7	1	5	0	0	0	0	0	15	0	0	0		88	94	136	78	132	69	223	116	29	122	228	167	699	1082	69	253	153		2054	2499	5146	7931	9212	10173	12921	15229	15366	25526	38729	31220	40384	38955	25891	16029	18214	
8213	"Scissors, tailors' shears and similar shears, and blades therefor, of base metal (excluding ..."	0	9	2	12	0	1	0	0	0	0	0	0	0	0	0	0	0		79	18	17	13	22	59	60	85	51	93	82	23	29	22	45	213	145		2419	3072	4520	5584	5360	5504	5739	7211	5447	6976	8521	7776	9842	9197	8356	6397	7137	
8415	"Air conditioning machines comprising a motor-driven fan and elements for changing the temperature ..."	31	312	3	17	24	40	14	42	4	1	122	15	90	2	0	0	0		33674	37581	50040	67793	28777	46176	91701	107850	77815	73915	67237	42599	46175	45691	44185	60033	57352		140276	126884	181407	247886	317355	375859	471837	515219	309715	383827	615388	557350	700444	544960	550041	633957	691274	
8457	"Machining centres, unit construction machines "single station" and multi-station transfer machines ..."	0	890	0	0	0	0	5	0	0	0	0	0	0	43	0	0	0		26	220	276	6	51	936	276	912	721	790	1770	2661	3775	1723	5372	1379	4870		38335	80144	86611	130933	181625	176648	213231	212256	66239	138248	231656	263682	254217	272875	268031	265425	258399	
