Product code	Product label	Turkey's imports from United States of America-Value in 2001	Turkey's imports from United States of America-Value in 2002	Turkey's imports from United States of America-Value in 2003	Turkey's imports from United States of America-Value in 2004	Turkey's imports from United States of America-Value in 2005	Turkey's imports from United States of America-Value in 2006	Turkey's imports from United States of America-Value in 2007	Turkey's imports from United States of America-Value in 2008	Turkey's imports from United States of America-Value in 2009	Turkey's imports from United States of America-Value in 2010	Turkey's imports from United States of America-Value in 2011	Turkey's imports from United States of America-Value in 2012	Turkey's imports from United States of America-Value in 2013	Turkey's imports from United States of America-Value in 2014	Turkey's imports from United States of America-Value in 2015	Turkey's imports from United States of America-Value in 2016	Turkey's imports from United States of America-Value in 2017	United States of America's exports to world- 	United States of America's exports to world-Value in 2001	United States of America's exports to world-Value in 2002	United States of America's exports to world-Value in 2003	United States of America's exports to world-Value in 2004	United States of America's exports to world-Value in 2005	United States of America's exports to world-Value in 2006	United States of America's exports to world-Value in 2007	United States of America's exports to world-Value in 2008	United States of America's exports to world-Value in 2009	United States of America's exports to world-Value in 2010	United States of America's exports to world-Value in 2011	United States of America's exports to world-Value in 2012	United States of America's exports to world-Value in 2013	United States of America's exports to world-Value in 2014	United States of America's exports to world-Value in 2015	United States of America's exports to world-Value in 2016	United States of America's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
2704	"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon"	1108	0	1	0	2	1	4	2	5	0	6	1	3	2	0	1	70717		110722	64267	70278	108195	154057	128415	131039	236020	165517	243892	208877	196081	185536	233221	197116	216924	279553		48372	60020	56742	94738	107591	76638	95719	96879	58367	54984	128276	115869	131467	73004	110419	100617	468781	
8413	"Pumps for liquids, whether or not fitted with a measuring device (excluding ceramic pumps and ..."	17448	17530	16505	31306	26079	28448	37383	48677	34189	59461	53000	47889	52547	63480	64248	65912	70737		3349815	3251275	3323505	3740947	4011061	4715932	5548870	6444598	5504325	6918219	8427690	9409198	9755517	10146770	9036303	8026491	8076481		161666	215639	275663	375431	421154	513470	611304	715898	553150	750269	876009	792653	968562	881495	851527	889133	975186	
8517	"Telephone sets, incl. telephones for cellular networks or for other wireless networks; other ..."	25447	10291	12475	21313	18231	17472	41533	62093	56508	57340	48063	55492	49055	61631	61585	72194	78849		10867008	8584478	7608909	9348847	10258033	11034162	18353899	21689986	19227936	23450395	27458514	28809528	31252199	33810134	34773598	33831228	34005954		321671	138738	179029	367221	485608	457535	2533076	2356545	2146056	2533130	2918347	2830607	3950656	4420076	4674820	4750825	4284907	
8471	"Automatic data-processing machines and units thereof; magnetic or optical readers, machines ..."	61056	58189	51011	57310	72978	67341	51061	64639	39791	71500	74028	65768	73211	88771	76623	74199	83137		27324371	21803865	21594314	24092968	25387481	26584860	24308572	23732196	20280873	23928330	27431617	27745693	26552155	26782071	25043033	24322680	25344035		539124	671213	865075	1211720	1730788	1996913	1775477	1698739	1752441	2105032	2198098	2361053	2651023	2715739	2200125	1894931	2008041	
8703	"Motor cars and other motor vehicles principally designed for the transport of persons, incl. ..."	4492	10721	26195	26378	29835	62301	120697	117005	55719	62210	112769	81049	80226	168467	197165	128729	86977		18326730	21125094	22768504	25358812	31363346	35401132	44792581	50707065	28360355	39324195	48425410	54584710	57299622	61675661	55400138	53861241	53581100		588036	814397	2220483	4214588	4297925	4270786	4748663	4554346	4266673	6821775	8477252	7251417	9130102	7721017	9227428	9841764	8606797	
7508	"Articles of nickel, n.e.s. (excluding powder, flakes, bars, profiles, wire, plates, sheets, ..."	16	69	3	17310	26737	33428	40310	63070	51323	55931	71803	79800	72965	81226	85987	84632	89207		89443	106490	97160	120068	149160	165333	200585	301328	284445	331622	386090	385901	451647	507142	462596	386174	381860		3546	4602	4250	24777	36190	45730	56804	78687	60831	65647	86380	98532	85147	91304	93061	91082	101293	
8481	"Taps, cocks, valves and similar appliances for pipes, boiler shells, tanks, vats or the like, ..."	19575	15159	12313	25653	20331	22852	30537	35743	35162	36892	46103	48647	69358	56033	71068	75743	89322		3585983	3438686	3645467	4088043	4687075	5455428	6281801	7042873	6521122	7821515	9499548	10390970	11729284	12898262	12480105	11080818	11614241		158455	197916	275621	388540	420211	564667	694232	742847	549057	709186	962655	927653	1106145	1056526	1005408	1132064	1184064	
7308	"Structures and parts of structures "e.g., bridges and bridge-sections, lock-gates, towers, ..."	10667	1882	7558	5939	13294	6000	1771	5801	2377	1767	2578	5541	4236	9171	61112	11637	90467		480190	458444	504101	661735	763582	1008773	1062336	1399251	1166190	1321251	1526971	2032336	1877018	1678345	1460447	1175095	1152489		152674	126554	64760	83885	97982	112866	143997	215771	119006	122001	207140	208350	237633	263006	291330	392202	305855	
4401	"Fuel wood, in logs, billets, twigs, faggots or similar forms; wood in chips or particles; sawdust ..."	0	5	0	2194	4131	26892	28189	24672	53266	49001	60154	121115	80638	82142	135890	110693	90634		307949	213787	179556	186943	221415	207112	291588	356851	302515	353134	367101	525869	644274	831487	1028954	895681	952310		3544	9135	26601	54987	71674	125860	148705	153768	129127	161452	190033	316104	207551	225878	316863	234983	198288	
9022	"Apparatus based on the use of X-rays or of alpha, beta or gamma radiations, whether or not ..."	10222	10799	9929	16431	36020	48441	37910	57958	69944	66960	50606	62167	82697	53577	75587	73886	93168		1929631	2002244	2221240	2410852	2874247	3159194	3416548	3578948	3453182	3942198	4103007	4395715	4164472	3861780	4054783	4080114	4240137		46341	49994	64922	105484	151439	192572	212241	247762	189404	207277	238809	220030	241218	249956	270155	248577	277606	
