Product code	Product label	Turkey's imports from Viet Nam-Value in 2001	Turkey's imports from Viet Nam-Value in 2002	Turkey's imports from Viet Nam-Value in 2003	Turkey's imports from Viet Nam-Value in 2004	Turkey's imports from Viet Nam-Value in 2005	Turkey's imports from Viet Nam-Value in 2006	Turkey's imports from Viet Nam-Value in 2007	Turkey's imports from Viet Nam-Value in 2008	Turkey's imports from Viet Nam-Value in 2009	Turkey's imports from Viet Nam-Value in 2010	Turkey's imports from Viet Nam-Value in 2011	Turkey's imports from Viet Nam-Value in 2012	Turkey's imports from Viet Nam-Value in 2013	Turkey's imports from Viet Nam-Value in 2014	Turkey's imports from Viet Nam-Value in 2015	Turkey's imports from Viet Nam-Value in 2016	Turkey's imports from Viet Nam-Value in 2017	Viet Nam's exports to world- 	Viet Nam's exports to world-Value in 2001	Viet Nam's exports to world-Value in 2002	Viet Nam's exports to world-Value in 2003	Viet Nam's exports to world-Value in 2004	Viet Nam's exports to world-Value in 2005	Viet Nam's exports to world-Value in 2006	Viet Nam's exports to world-Value in 2007	Viet Nam's exports to world-Value in 2008	Viet Nam's exports to world-Value in 2009	Viet Nam's exports to world-Value in 2010	Viet Nam's exports to world-Value in 2011	Viet Nam's exports to world-Value in 2012	Viet Nam's exports to world-Value in 2013	Viet Nam's exports to world-Value in 2014	Viet Nam's exports to world-Value in 2015	Viet Nam's exports to world-Value in 2016	Viet Nam's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
2931	"Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16	5	14	7	1	0	9	0	10	0	80	0	0	117	67	121	83		25909	20619	26033	19568	19182	19862	24586	43433	31750	39966	48371	44431	51621	69048	50210	44149	64134	
2933	"Heterocyclic compounds with nitrogen hetero-atom[s] only"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		66	0	500	27	448	70	38	80	204	142	197	192	89	138	477	998	823		242379	273629	323093	424252	460103	481455	474339	522469	401825	433533	417433	325228	355818	425690	382779	408933	452717	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	37	31	69	99	15	11	27	21	0	14	1	0	0	94	213		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3210	"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		50	68	102	24	36	178	429	13	220	476	346	803	665	716	2264	1750	1413		4475	6235	7194	8837	9956	10537	14473	16391	13482	13663	17264	16726	17141	23273	23783	24195	24782	
3403	"Lubricant preparations, incl. cutting-oil preparations, bolt or nut release preparations, anti-rust ..."	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0		4076	4488	1536	587	727	1106	260	215	848	461	5403	11349	13307	11918	1339	10631	17485		35496	46553	61886	78975	86295	108534	151624	182741	123649	137549	167671	144388	169061	162748	141443	136005	150734	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	89	147	189	0	6	4	3	2	0	1		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3811	"Anti-knock preparations, oxidation inhibitors, gum inhibitors, viscosity improvers, anti-corrosive ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		243	7	228	285	261	175	575	643	390	337	198	189	378	670	1086	1290	643		39344	50916	61167	80303	86603	121968	135085	163383	148316	170550	187941	188169	201946	207334	187461	176928	203741	
3813	"Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	47	39	0	341	7	14	20	9	8	0	0	0	0	4	39	35		1546	1731	1590	3276	3756	4834	4455	5138	4325	3378	5390	6980	6744	6989	6256	6008	4735	
3818	"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		27	13	0	0	0	0	0	0	0	0	0	0	0	0	0	566	1001		18	26	37	20	63	130	84	111	225	354	344	571	708	1069	1492	1454	2144	
3919	"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ..."	0	0	14	47	24	2	5	0	0	0	65	16	317	773	162	0	0		1669	2178	1589	4991	2112	8533	12566	19683	15353	22004	28387	31493	21685	28313	29306	39354	80187		41056	57995	82605	113014	127276	147679	166608	186640	163427	209623	260226	267111	322522	338848	322622	331047	340945	
4102	"Raw skins of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	71	93	45	30	9	0	0	0	0	0	0	0	9	0			248462	402786	371161	338861	234875	274104	242480	179840	89215	167722	311596	334036	317107	184291	61800	32532	56845	
4104	"Tanned or crust hides and skins of bovine "incl. buffalo" or equine animals, without hair on, ..."	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0		4367	5923	6635	2571	2825	8144	38726	96695	35141	81678	76106	50687	44355	53419	108021	72226	90784		53042	6811	6898	7669	6240	13350	37074	40087	17495	36647	64639	48104	64550	54836	37916	36535	31017	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		532	207	182	9921	4843	7686	13420	14462	8582	7891	10367	1477	1156	776	884	957	1388		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	0	0	59	0	0	0	0	45	198	13	10	0	0	0	0	11		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		101	344	103	419	559	3824	274	80	721	672	338	444	4095	18815	18339	17726	361		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
4415	"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, ..."	1	0	0	0	0	0	25	1	0	4	5	4	1	0	0	0	0		3596	5663	5364	6119	8414	9321	11549	10506	7505	7900	11112	13798	18653	24917	17495	13238	3158		840	828	1635	2889	3752	4009	3969	6409	3228	7121	6661	8846	9322	9424	8305	6930	8206	
4810	"Paper and paperboard, coated on one or both sides with kaolin "China clay" or other inorganic ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1643	632	9660	12824	217	1203	1282	2083	2057	2736	2706	3188	2877	3335	5817	5334	4707		142615	200354	260113	317445	377416	423712	584147	569897	512287	600850	689025	640682	712272	777643	622262	618048	715827	
4822	"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3240	2471	1091	75	127	760	592	803	1081	1405	1699	2862	3185	3355	2084	2954	1489		969	1151	767	529	1099	1832	2693	4682	4396	6736	4817	2654	3189	3141	2967	1919	2700	
4901	"Printed books, brochures and similar printed matter, whether or not in single sheets (excluding ..."	0	0	0	0	0	15	0	0	0	0	0	0	0	0	2	0	0		658	320	451	536	542	350	585	1698	516	733	775	1389	1169	1791	3822	2894	2801		16943	16950	21470	36165	40651	44960	50920	51822	43695	46389	57547	62055	64517	65741	72933	50579	60053	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		310	10568	59	6788	23	2206	4823	2495	2675	121	178	64	1	13484	3	63	341		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0		30639	21595	16806	26111	34324	33884	31034	31241	27192	36804	45159	41228	50512	50747	47271	39398	35892		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
