Product code	Product label	Turkey's imports from Germany-Value in 2001	Turkey's imports from Germany-Value in 2002	Turkey's imports from Germany-Value in 2003	Turkey's imports from Germany-Value in 2004	Turkey's imports from Germany-Value in 2005	Turkey's imports from Germany-Value in 2006	Turkey's imports from Germany-Value in 2007	Turkey's imports from Germany-Value in 2008	Turkey's imports from Germany-Value in 2009	Turkey's imports from Germany-Value in 2010	Turkey's imports from Germany-Value in 2011	Turkey's imports from Germany-Value in 2012	Turkey's imports from Germany-Value in 2013	Turkey's imports from Germany-Value in 2014	Turkey's imports from Germany-Value in 2015	Turkey's imports from Germany-Value in 2016	Turkey's imports from Germany-Value in 2017	Germany's exports to world- 	Germany's exports to world-Value in 2001	Germany's exports to world-Value in 2002	Germany's exports to world-Value in 2003	Germany's exports to world-Value in 2004	Germany's exports to world-Value in 2005	Germany's exports to world-Value in 2006	Germany's exports to world-Value in 2007	Germany's exports to world-Value in 2008	Germany's exports to world-Value in 2009	Germany's exports to world-Value in 2010	Germany's exports to world-Value in 2011	Germany's exports to world-Value in 2012	Germany's exports to world-Value in 2013	Germany's exports to world-Value in 2014	Germany's exports to world-Value in 2015	Germany's exports to world-Value in 2016	Germany's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
5404	"Synthetic monofilament of >= 67 decitex and with a cross sectional dimension of <= 1 mm; strip ..."	916	1015	2047	2464	1924	2684	3056	1677	1751	1416	1265	1444	1103	1148	3289	3977	4348		161221	166322	182008	205705	211012	217230	317206	330718	263172	281571	328334	296879	336177	359000	308089	314684	331006		12945	17503	19238	24868	22530	28760	34474	24511	21862	25155	36427	32585	38927	40691	39282	33083	46232	
5806	"Narrow woven fabrics of textile materials, with a width of <= 30 cm (excluding labels, badges ..."	1609	2344	3050	2633	2450	3657	4209	3937	2298	3296	4677	4245	4843	5010	4151	3859	4366		174097	189368	212496	232651	231142	229726	244347	275408	212605	240359	284670	254005	265421	277402	275890	274973	295152		14685	23519	28294	34529	34391	36349	41483	41745	34353	47611	51735	49275	56735	56606	52985	57327	63428	
4816	"Carbon paper, self-copy paper and other copying or transfer papers, in rolls of a width of ..."	413	715	630	1197	4778	5197	7817	6684	628	984	2605	2618	96	750	2354	960	4460		65684	70979	86441	71416	71079	73366	110880	129854	48120	29081	43948	23890	17597	18058	16768	14243	39104		4185	5964	7692	11269	13607	13139	18383	17675	10342	14684	14688	15982	13789	13134	12204	11626	16475	
9107	"Time switches with clock or watch movement or with synchronous motor"	2712	3928	5187	6414	7630	6260	4636	4689	4624	4558	7557	4082	2874	2617	3544	4379	4476		104972	111441	127361	152441	142286	125583	144361	142071	107184	108018	110682	97361	97682	101105	82846	70824	75954		9066	11777	15141	18723	19107	16317	13773	14180	12205	13142	18224	17893	18345	19221	16440	15065	21659	
4908	"Transfers "decalcomanias""	3880	4750	6990	6154	4735	4997	4966	4392	3087	3575	5092	5906	6823	7609	6429	5335	4512		83071	122235	172101	213378	166172	195641	206674	226480	215289	239517	277444	283330	275349	281284	239288	233045	226136		8804	13965	16514	19420	18977	17223	17881	16834	11782	12045	17064	20782	27876	30417	21046	18598	14320	
3301	"Essential oils, whether or not terpeneless, incl. concretes and absolutes; resinoids; extracted ..."	299	665	789	768	913	977	1295	1882	1060	1839	4222	2851	3467	3558	3077	4140	4515		35375	42826	48159	58676	69002	75222	92395	126296	107048	124831	168134	149522	156554	173876	178693	191524	217496		3356	5305	5891	7735	8479	10089	11369	13644	11219	12155	19477	18048	19282	23263	26727	27398	36394	
8464	"Machine tools for working stone, ceramics, concrete, asbestos-cement or like mineral materials ..."	704	1439	1821	6582	4097	6055	19492	10752	9025	2030	8738	3164	4567	4743	10040	4869	4544		141284	164496	151344	237019	262832	276757	302444	395501	213173	174305	249368	224927	194419	194806	152295	145762	162580		33876	19132	26953	51101	49467	65819	87305	72895	33531	39135	104178	68208	105411	89469	61618	67007	58359	
3105	"Mineral or chemical fertilisers containing two or three of the fertilising elements nitrogen, ..."	182	646	495	920	1834	1740	1948	3131	2341	4216	2323	3562	3688	4657	5109	5918	4571		100592	116504	114058	174662	182214	178874	238228	406597	248111	280362	333099	335487	271452	317822	297556	249352	283687		84024	63804	116744	208809	293532	221455	247748	459801	324363	290753	467200	451267	384260	403694	416009	501725	443409	
8486	"Machines and apparatus of a kind used solely or principally for the manufacture of semiconductor ..."	0	0	0	0	0	0	1800	4876	4420	1017	2987	4810	11385	16664	4339	5780	4580		0	0	0	0	0	0	1212970	1696212	1567187	3137997	4135135	1604882	1476587	1566092	1635863	1734759	2174229		0	0	0	0	0	0	4361	12491	15702	7167	7595	17404	27766	26519	13480	13096	26893	
3102	"Mineral or chemical nitrogenous fertilisers (excluding those in pellet or similar forms, or ..."	550	696	923	1191	646	597	1401	2548	4957	2475	3499	2173	2187	1765	1424	8674	4584		180965	186586	244867	298276	367071	415680	568629	804278	558630	628650	981403	883764	874343	793577	619238	565824	618581		163365	180797	249522	390788	415316	519158	679057	941530	688096	664070	831557	848335	1036281	987545	736409	694886	849798	
3814	"Organic composite solvents and thinners, n.e.s.; prepared paint or varnish removers (excluding ..."	520	946	1071	1404	2096	3220	4425	5455	4804	5883	7181	6392	6516	5537	5470	6171	4623		79141	95486	117048	141742	163625	193635	225183	270646	198945	223553	251628	256867	260022	302391	223672	231419	252114		3325	4864	7367	8790	9508	10918	15593	20325	15189	17419	33138	21617	22648	23205	20344	18713	19470	
6909	"Ceramic wares for laboratory, chemical or other technical uses; ceramic troughs, tubs and similar ..."	971	1629	2103	2453	2967	2844	2751	3925	2555	3230	4918	4719	5187	5390	5998	5790	4651		202610	217749	273896	335138	367579	431257	593874	629426	515103	573030	677161	622791	651960	777879	725222	780466	836264		3083	4398	5920	9376	12644	13116	13178	15982	17118	28697	33650	26928	27667	31175	30390	32020	30531	
4205	"Articles of leather or composition leather (excluding saddlery and harness bags; cases and ..."	2363	3955	2598	1753	2065	2364	6089	6524	3351	3879	4072	3158	6966	10516	3138	3771	4725		32037	33481	36571	42673	35063	45884	43518	61315	53282	55820	57256	62067	66103	68116	66788	72065	77807		3506	8664	12694	11698	11608	11011	14936	18626	13873	16381	16851	16255	23974	29795	27811	28195	28234	
1701	"Cane or beet sugar and chemically pure sucrose, in solid form"	25	187	70	229	906	1213	351	255	570	378	511	611	605	668	548	13464	4763		552883	430971	470099	513550	750112	713122	505897	604523	751279	720946	827837	865288	738434	758652	471163	607808	743263		551	919	746	789	2762	5436	3996	4408	4844	4919	5524	6075	9390	4536	76606	153378	120315	
8308	"Clasps, frames with clasps, buckles, buckle-clasps, hooks, eyes, eyelets and the like, of base ..."	3249	4357	4062	4488	5216	5225	6596	7045	5067	5821	4928	3585	4149	4642	4148	4099	4785		102191	129107	144228	155451	156601	187114	219415	245079	171768	196279	224565	186521	195091	207257	178258	185390	205627		9836	14360	17944	25785	29009	31401	40851	43178	35444	48576	51762	55191	57458	54948	42634	37589	44202	
8473	"Parts and accessories (other than covers, carrying cases and the like) suitable for use solely ..."	7049	16181	9721	10896	9365	10582	12690	12889	6764	8518	14633	7281	8938	24308	4737	5295	4802		5504102	5448385	5603917	8132408	9393631	11428639	5928694	4686893	3285386	3404632	2927937	2370822	2695329	3265220	2811515	2520946	3853459		141935	184655	209825	309224	448342	505948	402508	295157	246331	268024	235376	171313	180266	201500	167889	140682	147204	
9033	"Parts and accessories for machines, appliances, instruments or other apparatus in chapter 90, ..."	598	585	710	1309	1016	809	1030	787	307	760	1799	1413	1169	1495	4551	5333	4877		114817	135637	187435	204348	293760	361136	260477	249876	204610	236794	262577	262786	311020	303019	272664	294138	277698		4932	2892	3994	6623	5751	5611	5741	4864	3365	3170	6804	5260	6557	8203	27831	23322	28606	
