Product code	Product label	Turkey's imports from Italy-Value in 2001	Turkey's imports from Italy-Value in 2002	Turkey's imports from Italy-Value in 2003	Turkey's imports from Italy-Value in 2004	Turkey's imports from Italy-Value in 2005	Turkey's imports from Italy-Value in 2006	Turkey's imports from Italy-Value in 2007	Turkey's imports from Italy-Value in 2008	Turkey's imports from Italy-Value in 2009	Turkey's imports from Italy-Value in 2010	Turkey's imports from Italy-Value in 2011	Turkey's imports from Italy-Value in 2012	Turkey's imports from Italy-Value in 2013	Turkey's imports from Italy-Value in 2014	Turkey's imports from Italy-Value in 2015	Turkey's imports from Italy-Value in 2016	Turkey's imports from Italy-Value in 2017	Italy's exports to world- 	Italy's exports to world-Value in 2001	Italy's exports to world-Value in 2002	Italy's exports to world-Value in 2003	Italy's exports to world-Value in 2004	Italy's exports to world-Value in 2005	Italy's exports to world-Value in 2006	Italy's exports to world-Value in 2007	Italy's exports to world-Value in 2008	Italy's exports to world-Value in 2009	Italy's exports to world-Value in 2010	Italy's exports to world-Value in 2011	Italy's exports to world-Value in 2012	Italy's exports to world-Value in 2013	Italy's exports to world-Value in 2014	Italy's exports to world-Value in 2015	Italy's exports to world-Value in 2016	Italy's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
8466	"Parts and accessories suitable for use solely or principally with the machine tools of heading ..."	5735	5831	9163	14460	21478	18544	22667	25267	11849	14467	18700	19342	22766	24062	26152	22697	23388		739389	782669	886964	1083341	1110402	1141518	1381385	1663903	1010795	1114679	1448156	1468046	1443498	1591374	1387918	1343535	1540405		30143	35023	41024	70752	87077	94469	119637	137668	71831	95576	139916	140840	150393	163137	148483	148455	157747	
3304	"Beauty or make-up preparations and preparations for the care of the skin, incl. sunscreen or ..."	4858	6154	8401	11420	13379	15240	17812	15357	10283	14239	16801	15723	17848	18443	18075	19863	23651		538327	599222	730051	907017	1012188	1087408	1188594	1270667	1033502	1139754	1295575	1311576	1454718	1549573	1530716	1868133	2066772		37447	47240	70245	100463	114842	130815	162009	163732	149625	174826	218876	213717	242052	253070	244282	266276	300436	
0602	"Live plants incl. their roots, cuttings and slips; mushroom spawn (excluding bulbs, tubers, ..."	4279	4799	6277	9438	14881	22032	22951	26803	12193	15547	23401	23254	31848	30664	24501	26120	23742		274875	326416	384224	454050	455502	494414	614096	676498	601473	644587	716172	672414	674662	669819	576596	620574	697746		8980	10885	13975	21262	30664	43739	46468	51538	31412	42958	59620	59216	82203	78447	65804	73287	71935	
8426	"Ships' derricks; cranes, incl. cable cranes (excluding wheel-mounted cranes and vehicle cranes ..."	6929	8634	7811	6652	14348	31217	51842	28334	5991	11824	23222	24277	37534	60109	67980	52449	23803		462436	400018	506677	643788	711101	982850	1454194	1687261	816767	789338	1123055	1132221	1326439	1398476	1233756	1249592	1243983		50837	49077	47512	114935	98559	165479	274299	255363	188173	164583	174605	220142	328321	323232	433066	271208	132317	
8538	"Parts suitable for use solely or principally with the apparatus of heading 8535, 8536 or 8537, ..."	5173	7683	7598	12817	14847	17509	23726	29111	17391	26299	29507	26388	28010	25571	22638	24276	23813		387948	400429	490224	655208	700514	745559	875471	992914	792410	903307	1020070	961782	1014519	1123691	1022059	1048479	1067287		52880	73929	86299	126056	145872	185747	208558	229338	180616	197496	243755	225352	261488	244824	216716	204472	226083	
8417	"Industrial or laboratory furnaces and ovens, non-electric, incl. incinerators (excluding drying ..."	6706	2067	13445	15264	23895	17473	25992	26233	12169	9058	58256	22901	48298	17182	24459	33360	24107		408963	382086	412847	516573	469570	668301	904039	1098285	740395	634119	799893	691678	771509	791163	714968	649467	705390		30396	33497	50444	49159	70369	112104	163634	152539	97856	58114	126598	108310	202673	105020	91426	249609	98118	
3919	"Self-adhesive plates, sheets, film, foil, tape, strip and other flat shapes, of plastics, whether ..."	5083	7438	9817	12572	13377	18876	22410	23102	19758	25023	27740	23278	27594	23380	23942	23618	24247		518206	570197	695089	790702	821892	939059	1092456	1153410	915095	1037602	1206597	1155750	1202895	1232163	1078721	1087528	1139104		41056	57995	82605	113014	127276	147679	166608	186640	163427	209623	260226	267111	322522	338848	322622	331047	340945	
8427	"Fork-lift trucks; other works trucks fitted with lifting or handling equipment (excluding straddle ..."	1788	2446	5256	5130	5677	10218	14699	11470	5042	6956	14000	15578	14196	13226	19321	22100	24520		374540	385241	487555	645009	731505	862906	1028145	1077858	562614	648763	936365	937291	1036108	1150528	1030390	1113218	1321913		20198	55935	70514	107473	123934	159614	203369	188505	93093	150889	252977	232902	277095	291101	284818	302421	317421	
8433	"Harvesting or threshing machinery, incl. straw or fodder balers; grass or hay mowers; machines ..."	7104	5536	12487	35172	47622	50505	42518	34693	15173	24362	33970	37223	44221	35248	34533	26659	24833		654909	765295	871058	983181	1098126	1119758	1260035	1484504	1080321	1017339	1230322	1182644	1358571	1289089	1191348	1079650	1195697		28042	17700	27231	91593	175846	224952	185916	110035	73252	122240	216888	220052	308324	196575	188104	176419	171054	
8301	"Padlocks and locks "key, combination or electrically operated", of base metal; clasps and frames ..."	5686	5740	7622	10963	12688	20135	28763	30265	20415	25849	27569	21743	23696	22267	24273	27697	24886		249661	262831	334538	411329	401181	510065	515589	553763	429961	477019	500522	489880	509374	519656	446827	454807	490012		23244	36806	51263	82820	93405	123180	169254	195600	116594	159828	201555	165018	185531	191431	188025	177986	188184	
4009	"Tubes, pipes and hoses, of vulcanised rubber other than hard rubber, with or without their ..."	5732	11783	17034	21471	27321	24540	21910	24989	17924	29492	34766	18514	20541	20060	21095	24998	25319		395273	410198	490000	616597	640014	687394	789965	834789	554110	631950	757792	647301	623667	644206	502482	526762	583166		26029	39907	64101	102047	111396	114983	126271	120006	85774	114886	139639	112936	128200	131538	124800	139082	149592	
1006	"Rice"	2505	6830	16503	16482	19805	8433	18760	46383	9443	23910	5479	7763	33750	31175	32482	14288	25383		258673	285992	332167	384465	455464	437272	543396	822199	742321	648257	692298	628589	646051	699911	591095	565038	597544		57683	86383	122786	62025	97186	89105	112750	172790	135271	264541	152439	111346	150523	277321	166058	116207	148788	
8502	"Electric generating sets and rotary converters"	1055	255	690	921	795	17404	1287	64279	53867	25573	37475	28693	14047	21964	47717	58639	25457		191115	226705	189327	244721	529783	514612	552671	612870	462749	434522	908780	875887	496344	565159	683219	553977	572266		109110	127661	76660	119128	180320	172873	285313	870771	914147	1176043	894838	1048532	1247394	861170	932830	1457173	633005	
9401	"Seats, whether or not convertible into beds, and parts thereof, n.e.s. (excluding medical, ..."	10666	10247	12670	16610	18848	26405	30553	34152	24383	28242	31343	26350	34522	38660	30914	29726	25623		3513260	3647312	4120885	4494628	4144216	4055748	4367633	4270822	3289825	3154326	3414858	3157652	3362110	3544343	3168407	3333260	3558420		49818	68456	106624	169693	202992	268434	356109	382573	303823	405370	465425	410228	451414	474932	426783	301892	325505	
7308	"Structures and parts of structures "e.g., bridges and bridge-sections, lock-gates, towers, ..."	2840	8214	10830	21680	31341	16672	32228	43889	18404	10528	19802	16337	19503	24013	55309	31361	25661		624273	693696	817688	1181233	1079755	1285626	1770187	2056604	1824778	1438334	1749633	1641725	2097644	2106890	1741847	1630210	1736853		152674	126554	64760	83885	97982	112866	143997	215771	119006	122001	207140	208350	237633	263006	291330	392202	305855	
5209	"Woven fabrics of cotton, containing >= 85% cotton by weight and weighing > 200 g/m²"	35067	44728	51160	61848	59657	51146	46667	42157	30425	40175	55124	44527	45181	41470	33490	28170	25994		696917	806538	897401	1003900	902634	887004	929952	886896	607201	618134	661389	555506	545463	507501	381368	360223	356047		238927	410138	381705	448364	429063	332781	348335	286121	268374	354825	447339	276779	299892	282893	256857	271925	352275	
8424	"Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying ..."	4019	6480	9738	12388	11822	15959	18752	23733	16007	19439	31340	22742	20741	23690	19655	23924	26047		767212	854628	1084450	1231120	1242987	1212779	1430334	1521859	1158722	1193651	1477368	1428934	1483954	1585377	1357196	1393922	1487296		23499	38465	56684	74858	95868	111938	143396	175346	114729	143628	203089	215010	239991	279654	203195	242511	224853	
7207	"Semi-finished products of iron or non-alloy steel"	18894	7025	35869	9679	34330	3644	4647	33725	61801	38072	28606	31806	6970	10070	3096	4581	26073		116711	136853	117247	144284	263244	390431	442307	588985	217962	371981	381735	286606	178383	151853	113840	110704	195032		180204	172055	392722	628754	783499	1220885	1760684	3195545	1471923	1262581	1442835	1966077	2880981	2515445	1856027	1477335	2047602	
8465	"Machine tools, incl. machines for nailing, stapling, glueing or otherwise assembling, for working ..."	7718	9044	18646	27651	37315	44554	49510	39558	18885	34358	46521	41014	56113	56577	42944	34771	26093		1065225	957819	1042847	1273099	1258851	1517103	1714577	1719120	895085	1039164	1252721	1146748	1126589	1220768	1157081	1236301	1317009		23583	32689	71177	100824	101878	148257	123752	186109	78288	91880	187647	121555	138913	147773	96680	74608	67730	
7411	"Copper tubes and pipes"	5057	5555	6320	11086	8021	13858	14022	11668	6814	10262	14063	10689	15279	18069	19010	14814	26240		213716	220707	264557	359450	359548	633167	594985	615080	319628	448622	544155	452227	432539	440302	399092	377350	465988		13663	18204	25716	49938	53300	109338	148973	151653	76629	127538	172700	149029	156512	143851	145433	124421	152013	
