Product code	Product label	Turkey's imports from India-Value in 2001	Turkey's imports from India-Value in 2002	Turkey's imports from India-Value in 2003	Turkey's imports from India-Value in 2004	Turkey's imports from India-Value in 2005	Turkey's imports from India-Value in 2006	Turkey's imports from India-Value in 2007	Turkey's imports from India-Value in 2008	Turkey's imports from India-Value in 2009	Turkey's imports from India-Value in 2010	Turkey's imports from India-Value in 2011	Turkey's imports from India-Value in 2012	Turkey's imports from India-Value in 2013	Turkey's imports from India-Value in 2014	Turkey's imports from India-Value in 2015	Turkey's imports from India-Value in 2016	Turkey's imports from India-Value in 2017	India's exports to world- 	India's exports to world-Value in 2001	India's exports to world-Value in 2002	India's exports to world-Value in 2003	India's exports to world-Value in 2004	India's exports to world-Value in 2005	India's exports to world-Value in 2006	India's exports to world-Value in 2007	India's exports to world-Value in 2008	India's exports to world-Value in 2009	India's exports to world-Value in 2010	India's exports to world-Value in 2011	India's exports to world-Value in 2012	India's exports to world-Value in 2013	India's exports to world-Value in 2014	India's exports to world-Value in 2015	India's exports to world-Value in 2016	India's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		142	44	10	132	196	19	12	22	86	1	10	7	8	1	0	2	1		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1001	"Wheat and meslin"	0	0	0	0	0	0	0	0	0	0	0	0	0	43043	23852	0	0		270943	366777	441515	443416	174023	8673	120	155	168	135	145159	1349820	1260270	1109934	155883	49912	55432		49621	148010	277543	221868	25031	52624	570390	1483190	901858	655044	1623089	1125977	1289235	1545853	1103420	892409	1043332	
1210	"Hop cones, fresh or dried, whether or not ground, powdered or in the form of pellets; lupulin"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	7	0	8	20	79	66	8	1	118	5	17	7	10	98	28		1045	1987	1666	2330	2203	1761	2430	2832	2601	2260	3282	3453	2575	1849	2141	2104	1604	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		28	30	34	402	648	56	11	3	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
1517	"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5691	3108	3799	2626	3543	4516	1529	1869	2100	3439	4476	7672	1743	2982	3565	5723	8441		3128	3828	8263	11768	11909	12253	18073	18043	24899	21325	30515	23079	28365	44170	40792	33691	53234	
2402	"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		27305	35958	35618	35301	31353	32752	39400	49304	68597	65895	71697	85310	107650	119239	124772	108790	84566		7	84	11	7	13	15	323	446	1581	1454	2926	326	1692	1339	1754	407	1088	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		139	15	54	722	43	56	234	6	9	1497	1036	0	27	145	1528	790	2185		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	65	9	482	125	875	11782	38328	15436	89386	138848	152353	153386	70575	22392	13560	19533		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		37	26	24	38	58	72	45	66	3905	205	1069	4468	2725	822	143	1848	5027		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		291	15569	18645	28651	54540	145083	69000	108141	69177	111199	193959	220664	317519	261045	258035	162507	225648		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2713	"Petroleum coke, petroleum bitumen and other residues of petroleum oil or of oil obtained from ..."	2610	1654	2356	0	0	0	0	0	0	0	0	0	0	0	0	0	0		20644	48138	55330	37106	64161	117664	102031	192727	133677	171833	211993	220267	283395	516127	327197	225979	294370		49844	53155	62893	98593	125042	138008	213865	348689	184184	348213	432538	490068	569121	587042	395632	268805	463800	
2808	"Nitric acid; sulphonitric acids"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		270	401	525	636	1137	1603	1896	2199	1825	2186	3329	4189	4948	5582	5121	3545	4697		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0		399	357	815	962	1067	488	156	784	509	360	792	2801	1968	2315	2220	1936	2183		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0		585	795	273	1121	607	864	1681	843	466	791	1646	1000	758	830	1312	1458	112		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		31	44	54	267	47	12	70	27	63	0	0	38	24	5	1	26	13		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	14423	9031	11764	4194		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
4102	"Raw skins of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		198	192	21	42	934	332	712	12927	5038	473	89	92	126	37	22	115	77		248462	402786	371161	338861	234875	274104	242480	179840	89215	167722	311596	334036	317107	184291	61800	32532	56845	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		42	74	304	711	831	677	599	1134	483	399	383	443	543	429	484	293	240		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	12	89	31	59	13	26	41	48	3	29	270	628	29	55	69	61		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	7	0	0	0	33	0	13	0	0	0	1	0	0	0	0	0	0		82	82	521	1767	2290	2337	1509	2025	555	482	486	1756	562	520	580	492	489		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
4415	"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, ..."	0	0	6	6	3	34	4	6	5	20	0	0	1	5	18	3	0		2477	4288	4291	4116	8011	6734	6217	6456	5061	6504	9478	13161	21604	14681	11915	14016	13335		840	828	1635	2889	3752	4009	3969	6409	3228	7121	6661	8846	9322	9424	8305	6930	8206	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		68	543	446	310	15676	1149	4421	16601	9236	10351	43761	4896	20558	40620	7396	4912	3009		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	21	32	12	30	23	16	56	130	46	25	4	16	11	4	3	0	0		2710	2731	1444	853	1096	1438	1082	1062	1707	3644	2562	1435	703	1422	781	420	275		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5101	"Wool, neither carded nor combed"	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0		452	249	750	763	1151	531	361	458	1058	1704	1754	641	282	20	418	316	448		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		79	17	205	208	422	710	158	155	154	91	101	169	191	102	171	17	28		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	71	103	0	0	0	0	0	0	0	2	0	0	0	0		1549	1181	1351	2109	2944	1220	6253	8456	7050	33467	17693	10161	9103	15811	10558	11660	8166		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	1	7	1	2	2	1	8	21	15	13	0	0	0	0	0	1	0		1041	585	1338	1020	1072	1231	1353	1154	1253	1087	2353	2484	4157	1641	2324	1211	1478		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
6001	"Pile fabrics, incl. "long pile" fabrics and terry fabrics, knitted or crocheted"	11	11	0	4	1	0	0	3	0	0	59	1	10	31	9	4	0		10627	10816	17793	24989	21675	25869	29974	31195	26013	21765	52017	20679	16016	13848	13355	13281	12692		10391	18618	29362	39330	35717	32138	35811	47366	48028	78946	159394	123210	168664	213834	197711	147784	167590	
6602	"Walking sticks, seat-sticks, whips, riding-crops and the like (excluding measure walking sticks, ..."	0	0	0	2	0	2	1	10	2	0	17	6	3	2	9	1	0		85	141	160	222	227	227	137	54	55	70	94	176	246	163	16291	5108	332		6	11	26	52	98	132	250	289	196	314	577	374	366	502	340	415	378	
6807	"Articles of asphalt or of similar materials, e.g. petroleum bitumen or coal tar pitch"	18	130	68	167	83	48	24	0	0	0	0	0	0	0	0	0	0		15	129	226	281	234	190	182	363	273	235	131	341	1304	1031	1967	1588	1664		6359	8051	8916	12370	15702	29442	21746	22950	23880	24537	23249	18277	20820	19049	14349	13308	15833	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	19	73	0	0	0	1122	16	0	0	62	2246	738	245	52	0		1599	2487	1279	991	1814	1963	5485	8795	11063	12560	19164	18278	21337	32983	36347	19429	16626		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0		7	70	5	10	45	7	39	65	0	48	5042	443	76	2644	2747	106	124		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	61	140	2	17	64	1	25	36	5	44	17	45	0	0	2	2		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0		9648	2893	3333	5242	10183	5169	22383	10553	1406444	5487	4390	4043	8508	10727	337	1860	20541		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2148	5097	1185	7531	8936	13252	18346	16293	21367	30653	34138	57146	49120	76504	45101	66676	148698		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	0	0	0	0	0	3	5	0	0	0	0	0	0	0		509	472	549	498	627	556	496	757	422	362	570	2309	575	472	1178	693	947		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7224	"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products ..."	0	0	47	37	0	0	66	108	355	1478	550	35	46	531	193	16	0		3819	11230	12110	14789	13601	15944	27902	344881	30231	20510	102341	71816	104523	85417	9148	2948	29747		2927	2906	4522	7116	12501	13191	32146	14046	12726	16821	32018	30101	27814	38465	34512	31353	86203	
7302	"Railway or tramway track construction material of iron or steel, the following : rails, check-rails ..."	0	0	0	171	137	0	0	0	0	0	455	0	68	0	0	0	0		2124	3240	3220	4975	3186	4465	8908	12189	8439	55915	44462	46768	28382	41652	28501	59101	115964		4882	5838	15433	22721	39753	27483	47878	103737	84501	112720	92468	79346	69222	36795	31374	53630	54681	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0		324	794	408	346	732	673	1672	705	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	65	78	62	265	70	122	15	17	87	10	2	3	309	12	121	180		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		107	65	196	351	76	68	103	83	134	382	0	5	63	596	0	18	5		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
8449	"Machinery for the manufacture or finishing of felt or nonwovens in the piece or in shapes, ..."	0	0	0	3	0	0	0	0	0	0	0	0	2	15	17	0	0		796	1459	2392	2570	898	645	888	621	583	352	156	878	242	287	332	276	379		5178	1311	33674	21481	35078	6349	4548	26432	15499	60670	75942	39129	45121	26335	125876	32259	27704	
8548	"Waste and scrap of primary cells, primary batteries and electric accumulators; spent primary ..."	0	0	0	1	0	0	0	5	0	0	1	0	0	0	1	1	0		3706	8020	5834	3721	3879	3386	4215	5630	4971	6209	7471	2444	1336	1286	781	907	3079		2079	526	986	2177	2752	3000	4414	3570	3169	4275	2627	1768	1816	1329	3654	9475	7728	
8715	"Baby carriages and parts thereof, n.e.s."	0	0	0	0	0	0	0	0	0	0	195	0	0	34	0	0	0		29	114	827	238	571	516	139	732	2941	1579	2442	131	265	255	156	103	202		2847	4345	6944	9234	8284	14024	13433	19781	13394	26349	39916	39568	36656	48350	44241	34457	33760	
9111	"Cases for wrist-watches, pocket-watches and other watches, incl. stop-watches, of heading 9101 ..."	0	0	0	0	0	0	0	0	0	1	0	1	2	0	1	1	0		585	486	825	1919	496	248	180	215	457	349	746	483	848	2261	1238	1743	1996		154	616	748	1818	1784	1662	1901	1490	1040	2130	2155	2040	3143	3845	2500	3556	3663	
9204	"Accordions and similar instruments; mouth organs"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		81	84	91	15	62	27	10	1	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
0101	"Live horses, asses, mules and hinnies"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		283	126	50	1146	109	1253	88	57	176	206	330	252	339	512	135	549	263		12912	6605	1512	1351	1568	4265	7684	8554	5190	14660	4235	2674	8628	4506	3010	1770	1618	
0103	"Live swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	53	42	1	17	20	49	71	119	41	113	246	99	165	720		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0302	"Fish, fresh or chilled (excluding fish fillets and other fish meat of heading 0304)"	0	0	0	0	0	0	110	12	15	11	0	0	0	0	0	0	0		13284	10303	17265	19631	22543	25848	27937	29482	33169	29779	45961	71230	85994	96097	75804	78244	51727		331	273	1011	2933	6420	10865	14589	20509	20130	26722	38604	46229	44060	50475	65548	45218	43300	
0503	"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting ..."	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	0	0	0	13	0	2	0	0	0	0	0	0	0	0	0	0		190	291	325	202	274	410	0	0	0	0	0	0	0	0	0	0	0	
0704	"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		28	15	104	223	275	153	265	300	566	1162	2358	1416	1622	1545	1496	1506	1942		0	0	0	0	0	1	0	4	14	18	1052	430	162	15	394	75	27	
0809	"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		17	191	222	162	136	192	221	367	338	171	141	394	148	113	58	81	169		15	64	12	88	237	101	160	563	89	156	167	197	67	40	133	102	226	
1106	"Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ..."	0	0	0	0	0	0	0	0	0	0	0	4	1	8	0	0	0		2915	2329	4229	3384	5729	7494	10110	11478	10921	15721	22712	37745	36138	31882	34399	28522	31125		1212	878	711	547	1570	1406	1415	1910	1859	1649	2577	617	1444	849	1035	1530	2798	
1212	"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or ..."	0	0	0	0	0	55	0	0	5	13	4	2	3	0	14	11	0		179	508	1061	1669	2752	2001	1970	2703	3463	4134	6255	7080	6447	7496	7063	4476	6646		2081	3547	3910	3211	2540	4494	2380	1632	2040	1995	3571	6940	4938	8437	11613	7987	23950	
1214	"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		9	864	44	146	98	84	59	185	62	82	221	53	84	14	50	27	10		12	2	0	0	0	425	2111	0	23	2208	3030	6482	5694	1397	522	583	3533	
1502	"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	155	4688	17636	9006	119	4	0	2	7	3	18	31	2679	15216	24876		32074	47237	61550	55930	68082	69605	94343	131660	84807	106988	111854	110253	55815	69058	18897	14325	15684	
1605	"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved (excluding smoked)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3954	14390	55434	89910	120175	165496	140784	180634	155341	176969	65946	51449	79520	111183	167467	253701	355475		28	140	152	395	235	221	377	263	330	1169	316	651	911	1617	2557	1693	3034	
2002	"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		167	300	155	178	172	234	275	250	492	426	1054	740	1048	1214	784	159	807		9	754	142	501	838	134	143	1589	2691	2789	2875	614	827	1203	1142	651	669	
2521	"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ..."	0	0	0	0	0	11	0	0	0	0	0	0	0	0	6	0	0		2382	2608	3033	4642	6218	9880	12150	24203	29849	17358	37738	41456	42270	58599	63771	62542	57627		5	4	0	0	4	28	2	6	6	2	0	0	9	18	9	2	25	
2523	"Cement, incl. cement clinkers, whether or not coloured"	0	13	23	0	0	2317	2922	63	56	30	0	0	0	0	0	0	0		87996	102663	176875	187051	263021	274745	219717	180541	150498	149058	259985	165314	241695	289597	212965	267046	271559		8857	4053	8194	17087	36323	129502	94145	36658	6041	9629	7848	12502	13334	14358	17076	16526	11259	
2601	"Iron ores and concentrates, incl. roasted iron pyrites"	4706	5598	0	0	6705	11395	10956	14284	0	0	0	0	0	0	0	0	0		378214	779384	796876	2267907	4192664	3768704	4607174	5638092	5298555	6146912	4159277	2425340	1635187	874402	210670	1005314	1643932		82142	163995	161185	205182	315080	538019	636803	749438	902329	923743	1169657	1148803	1159543	1067142	800476	697767	1010678	
2613	"Molybdenum ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		22	0	16	23	1054	1253	0	3816	301	976	187	20	3311	2130	15	25	34		0	8	62	62	25	101	153	203	1644	841	506	104	9	410	125	8	12	
2615	"Niobium, tantalum, vanadium or zirconium ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1197	90	94	318	223	724	1006	1990	5667	28233	29624	13006	9086	5702	1714	674		938	1618	1682	2343	4555	5851	5415	4740	2945	4874	9693	7728	5098	5293	5708	7847	8388	
2704	"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon"	0	0	0	0	0	0	0	0	0	0	11	0	0	12	0	0	0		309	121	1988	18484	17963	7383	5789	171366	24752	197912	276929	145541	29203	19654	17586	18144	16213		48372	60020	56742	94738	107591	76638	95719	96879	58367	54984	128276	115869	131467	73004	110419	100617	468781	
2706	"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		134	975	359	1207	2196	1750	1854	1242	2442	1187	1004	1163	880	1731	1761	1229	1713		1	8	2	9	27	44	51	55	0	26	628	73	34	108	142	207	231	
2715	"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ..."	0	350	231	0	0	0	746	0	0	50	0	0	0	0	0	0	0		135	39	68	1373	153	67	123	446	394	782	1237	1074	1561	978	768	739	1969		267	1178	813	1317	1443	3274	6257	7381	3302	5164	5724	3020	2269	1587	1980	4061	3159	
2201	"Waters, incl. natural or artificial mineral waters and aerated waters, not containing added ..."	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0		109	213	845	527	1039	652	714	461	252	301	290	747	268	323	385	313	494		87	105	106	151	206	535	744	1165	825	1099	1751	1909	3262	2467	2975	2518	2063	
2308	"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	27	0		67	231	52	2	46	87	15	49	347	165	658	457	1240	1786	750	131	112		17	40	102	130	113	215	688	682	463	464	521	1475	17308	20735	3438	2422	11410	
