Product code	Product label	Turkey's imports from Spain-Value in 2001	Turkey's imports from Spain-Value in 2002	Turkey's imports from Spain-Value in 2003	Turkey's imports from Spain-Value in 2004	Turkey's imports from Spain-Value in 2005	Turkey's imports from Spain-Value in 2006	Turkey's imports from Spain-Value in 2007	Turkey's imports from Spain-Value in 2008	Turkey's imports from Spain-Value in 2009	Turkey's imports from Spain-Value in 2010	Turkey's imports from Spain-Value in 2011	Turkey's imports from Spain-Value in 2012	Turkey's imports from Spain-Value in 2013	Turkey's imports from Spain-Value in 2014	Turkey's imports from Spain-Value in 2015	Turkey's imports from Spain-Value in 2016	Turkey's imports from Spain-Value in 2017	Spain's exports to world- 	Spain's exports to world-Value in 2001	Spain's exports to world-Value in 2002	Spain's exports to world-Value in 2003	Spain's exports to world-Value in 2004	Spain's exports to world-Value in 2005	Spain's exports to world-Value in 2006	Spain's exports to world-Value in 2007	Spain's exports to world-Value in 2008	Spain's exports to world-Value in 2009	Spain's exports to world-Value in 2010	Spain's exports to world-Value in 2011	Spain's exports to world-Value in 2012	Spain's exports to world-Value in 2013	Spain's exports to world-Value in 2014	Spain's exports to world-Value in 2015	Spain's exports to world-Value in 2016	Spain's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
6205	"Men's or boys' shirts (excluding knitted or crocheted, nightshirts, singlets and other vests)"	134	413	917	893	450	1202	1558	1669	1845	1886	2486	2323	3394	3773	3312	3505	4254		77648	97451	132441	172530	186521	198650	253400	240692	203519	213036	259777	278219	347331	389282	432162	437517	456929		6915	7007	10324	18329	18555	26873	46390	88263	96536	139380	157672	122271	173646	176698	169435	122225	91126	
0504	"Guts, bladders and stomachs of animals (other than fish), whole and pieces thereof, fresh, ..."	0	0	0	0	0	0	26	0	0	0	0	367	1117	1838	1360	1032	4289		28759	26430	35872	57696	65978	67054	105407	133964	124862	107666	128978	126761	132655	136738	117023	123137	181436		11501	22173	26407	23532	18580	15094	12685	10610	11896	17940	29474	21580	25219	31025	22704	16997	24293	
2905	"Acyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives"	2373	2179	3813	5690	3084	2082	2983	1803	1514	1516	6106	24267	25885	22302	11403	3194	4409		69662	80432	110987	137436	132698	130368	182474	187667	139735	210735	225309	209497	268140	257348	197423	182370	158700		127464	136507	214001	315461	356868	432616	546469	580686	352973	560917	728557	690989	782094	850329	674051	589552	823367	
4005	"Compounded rubber, unvulcanised, in primary forms or in plates, sheets or strip (excluding ..."	28	8	53	185	322	584	1100	1386	1326	1189	1610	2491	3122	3200	3045	3672	4436		66566	77149	93902	96459	92733	150176	151865	168127	181487	194658	374895	222463	229280	250143	255218	260426	227209		8380	10548	18387	26624	31611	39147	57935	65212	46453	53616	79916	76860	91903	85943	77055	79876	88661	
8705	"Special purpose motor vehicles (other than those principally designed for the transport of ..."	3622	825	438	2926	4236	864	1120	2304	2170	4813	1703	2813	1370	1448	282	545	4445		62386	107372	100776	83422	92353	191763	205174	455287	367710	288321	230118	254982	256041	233183	129840	93814	105616		67096	16804	31515	64448	98796	104970	159104	234511	154745	126184	109908	118512	179098	150020	97951	174666	125834	
2907	"Phenols; phenol-alcohols"	78	1028	1283	3273	4550	3508	7336	6979	2432	10904	11943	6548	5050	8047	5356	6225	4457		89751	122664	177259	297991	330696	267829	419697	449518	212625	308030	186878	98864	110156	105265	82270	82225	78936		6982	7734	10669	16119	21664	24012	34438	33095	20349	34354	43443	39807	46294	47993	33537	30565	39868	
8424	"Mechanical appliances, whether or not hand-operated, for projecting, dispersing or spraying ..."	604	1712	2036	2461	2998	4095	5590	5302	3523	3862	6613	5368	10605	8504	4557	7028	4463		131356	150985	173841	182596	191293	199431	238841	259187	229027	250234	289727	269694	308428	317401	274602	302571	337164		23499	38465	56684	74858	95868	111938	143396	175346	114729	143628	203089	215010	239991	279654	203195	242511	224853	
2933	"Heterocyclic compounds with nitrogen hetero-atom[s] only"	19578	19053	28208	37351	18493	13515	4733	5282	3981	2142	3148	3701	3449	6850	4973	7441	4471		302578	407782	588507	624230	631534	620203	686152	614507	591447	609844	668637	642071	711821	776541	744170	773629	741901		242379	273629	323093	424252	460103	481455	474339	522469	401825	433533	417433	325228	355818	425690	382779	408933	452717	
3210	"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ..."	375	602	422	739	1124	302	348	572	261	316	335	401	2400	6200	4589	5472	4515		19784	22937	25020	29534	33912	39736	47488	58623	45515	49418	53424	40110	40369	37919	31740	34390	36521		4475	6235	7194	8837	9956	10537	14473	16391	13482	13663	17264	16726	17141	23273	23783	24195	24782	
8482	"Ball or roller bearings (excluding steel balls of heading 7326); parts thereof"	622	589	666	5799	6897	9157	10280	13239	6712	10603	13031	9706	11309	3181	3651	3789	4572		139352	156619	192271	222494	256636	265535	289158	322176	250558	303197	334012	320748	374028	381896	308912	250840	260096		69710	101679	143594	205510	230041	270337	313021	367983	245756	347276	420926	411227	412179	414814	374095	371963	448924	
6206	"Women's or girls' blouses, shirts and shirt-blouses (excluding knitted or crocheted and vests)"	452	936	1109	942	484	1079	1578	2359	2803	2673	4052	3566	3712	4151	4428	4300	4587		70716	130234	133338	137719	146414	242291	309011	407720	409813	430941	517867	549713	747081	874216	954515	958751	1044643		6039	7278	10349	13416	25150	41203	64248	94466	88738	105931	126935	99097	119413	130979	128632	112284	113121	
9406	"Prefabricated buildings, whether or not complete or already assembled"	26	129	142	1311	2977	2681	6231	9442	6371	11452	6712	4757	7985	2056	1764	466	4636		128136	120569	142972	215051	257179	237454	240929	305228	206010	200625	210966	195903	265242	184781	143061	237152	299552		11299	5584	6282	14183	25349	19607	25786	35423	23025	37858	45173	26730	28016	24361	18661	42363	16993	
3305	"Preparations for use on the hair"	1457	2421	3324	5639	6143	5764	5655	6395	4536	5347	4840	4507	4477	4328	3904	3886	4659		173146	203141	266074	311376	350187	405413	441244	570073	468772	521634	527268	527518	574059	568866	520742	531684	584443		41018	48144	59177	81316	90915	125710	138746	159282	156974	194081	171443	154638	184822	188884	164798	168656	190646	
2712	"Petroleum jelly, paraffin wax, micro- crystalline petroleum wax, slack wax, ozokerite, lignite ..."	457	468	745	739	1078	1555	2727	3644	2536	2989	3828	3127	3236	4188	3158	3579	4661		25227	24752	30252	30260	27045	35034	41781	55640	32524	39558	139841	44926	50001	54128	55954	69998	72225		5660	7140	9610	13159	12355	15665	18831	27355	29322	37556	33467	37238	54336	54508	46864	42554	39780	
