Product code	Product label	Turkey's imports from Romania-Value in 2001	Turkey's imports from Romania-Value in 2002	Turkey's imports from Romania-Value in 2003	Turkey's imports from Romania-Value in 2004	Turkey's imports from Romania-Value in 2005	Turkey's imports from Romania-Value in 2006	Turkey's imports from Romania-Value in 2007	Turkey's imports from Romania-Value in 2008	Turkey's imports from Romania-Value in 2009	Turkey's imports from Romania-Value in 2010	Turkey's imports from Romania-Value in 2011	Turkey's imports from Romania-Value in 2012	Turkey's imports from Romania-Value in 2013	Turkey's imports from Romania-Value in 2014	Turkey's imports from Romania-Value in 2015	Turkey's imports from Romania-Value in 2016	Turkey's imports from Romania-Value in 2017	Romania's exports to world- 	Romania's exports to world-Value in 2001	Romania's exports to world-Value in 2002	Romania's exports to world-Value in 2003	Romania's exports to world-Value in 2004	Romania's exports to world-Value in 2005	Romania's exports to world-Value in 2006	Romania's exports to world-Value in 2007	Romania's exports to world-Value in 2008	Romania's exports to world-Value in 2009	Romania's exports to world-Value in 2010	Romania's exports to world-Value in 2011	Romania's exports to world-Value in 2012	Romania's exports to world-Value in 2013	Romania's exports to world-Value in 2014	Romania's exports to world-Value in 2015	Romania's exports to world-Value in 2016	Romania's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
4009	"Tubes, pipes and hoses, of vulcanised rubber other than hard rubber, with or without their ..."	0	0	1	3	37	36	46	160	797	8889	11824	10972	12132	10673	10964	7725	6405		4370	8595	16195	29588	36213	49723	91030	128705	113184	173112	245288	240764	248241	263575	234933	216832	236540		26029	39907	64101	102047	111396	114983	126271	120006	85774	114886	139639	112936	128200	131538	124800	139082	149592	
8712	"Bicycles and other cycles, incl. delivery tricycles, not motorised"	0	0	0	0	0	0	0	0	0	58	103	256	941	2648	1745	3291	6471		188	15	23	184	2121	3627	12191	21857	24347	45973	67784	76588	75516	66299	64507	65540	84917		1852	1595	900	1575	4840	2273	2188	3111	2987	4639	7295	7645	9716	15147	16557	16667	20928	
7320	"Springs and leaves for springs, of iron or steel (excluding clock and watch springs, springs ..."	93	28	0	3371	7689	3650	9964	12622	5741	9259	13864	8014	8934	20	3382	6647	6515		3253	2773	2835	11068	17242	21438	34420	39877	16414	32115	46159	42272	41960	32808	31563	57991	65878		12974	18755	24526	46143	50468	56852	79865	82444	59133	70218	87420	75457	85232	75316	79498	85614	83696	
7326	"Articles of iron or steel, n.e.s. (excluding cast articles)"	104	182	52	167	97	525	284	750	948	3902	971	640	1103	1137	2047	9277	6536		30934	31760	46185	74636	105315	159621	213746	280238	172858	223919	282111	260455	273482	307853	288918	322749	332852		62139	82190	94346	121655	150076	163837	108179	247445	162744	203596	281436	277517	306081	294104	311470	447647	550097	
1205	"Rape or colza seeds, whether or not broken"	0	0	0	0	2944	1804	14443	8509	10212	21235	4062	1810	2681	45519	56567	51899	6600		16773	2092	725	9486	28407	39628	107016	363805	313925	435280	383533	53933	255367	452939	333309	609325	676276		406	83	56	1578	18197	58364	103849	148132	66215	150379	72222	99439	78743	213819	115316	106635	28426	
3926	"Articles of plastics and articles of other materials of heading 3901 to 3914, n.e.s."	62	153	113	185	335	1057	2726	1680	2078	1526	1681	2285	3624	3204	2084	3946	6669		11973	16641	28485	41885	65439	90627	108179	128371	106189	135005	172679	165922	204981	237124	245951	291625	358771		156112	188727	241172	317215	348979	379313	444679	507656	396644	500372	616881	577665	642420	702630	657907	667837	683883	
8541	"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, ..."	34	14	15	30	41	2	1	0	1	50	3	2	15	5	2	1	7530		5037	2993	2869	4171	9620	15232	15208	12569	5204	15453	63265	99651	10892	10457	7343	9980	14815		56448	72058	86007	117950	111498	130138	182071	186968	163014	204073	260140	269003	314664	410827	630440	2963839	3789458	
8537	"Boards, panels, consoles, desks, cabinets and other bases, equipped with two or more apparatus ..."	0	0	20	74	49	40	165	318	4268	6115	8174	4386	4460	6579	6275	5970	7678		9167	19715	24747	40106	55896	100146	176589	258167	316394	480194	662455	717844	729780	1080343	1383064	1847276	1808033		78029	127932	136927	152660	161004	222503	347690	441167	382259	508221	555179	547648	820926	776583	733931	816437	944664	
7605	"Aluminium wire (excluding stranded wire, cables, plaited bands and the like and other articles ..."	3535	4041	5138	10750	15496	10340	677	2454	1697	102	246	1710	4721	5412	4164	2516	7742		35398	38800	48086	71838	111452	181311	193227	172232	107541	138698	158796	156586	135218	141703	140254	102570	148238		6492	7540	9574	15513	20571	17118	21901	43380	21247	36645	47189	58331	71526	64337	46675	47327	90798	
7225	"Flat-rolled products of alloy steel other than stainless, of a width of >= 600 mm, hot-rolled ..."	0	639	2544	4875	2116	480	1744	101	7059	9313	8023	6109	1371	6164	5170	3022	8282		26403	5059	12869	20339	11609	14832	10565	24072	21524	31389	47302	37369	23423	33286	26288	24513	41656		49639	57640	81557	162365	275628	361340	500094	666097	493581	695383	938527	893051	563205	764481	1317980	1186026	1199770	
