Product code	Product label	Turkey's imports from Bulgaria-Value in 2001	Turkey's imports from Bulgaria-Value in 2002	Turkey's imports from Bulgaria-Value in 2003	Turkey's imports from Bulgaria-Value in 2004	Turkey's imports from Bulgaria-Value in 2005	Turkey's imports from Bulgaria-Value in 2006	Turkey's imports from Bulgaria-Value in 2007	Turkey's imports from Bulgaria-Value in 2008	Turkey's imports from Bulgaria-Value in 2009	Turkey's imports from Bulgaria-Value in 2010	Turkey's imports from Bulgaria-Value in 2011	Turkey's imports from Bulgaria-Value in 2012	Turkey's imports from Bulgaria-Value in 2013	Turkey's imports from Bulgaria-Value in 2014	Turkey's imports from Bulgaria-Value in 2015	Turkey's imports from Bulgaria-Value in 2016	Turkey's imports from Bulgaria-Value in 2017	Bulgaria's exports to world- 	Bulgaria's exports to world-Value in 2001	Bulgaria's exports to world-Value in 2002	Bulgaria's exports to world-Value in 2003	Bulgaria's exports to world-Value in 2004	Bulgaria's exports to world-Value in 2005	Bulgaria's exports to world-Value in 2006	Bulgaria's exports to world-Value in 2007	Bulgaria's exports to world-Value in 2008	Bulgaria's exports to world-Value in 2009	Bulgaria's exports to world-Value in 2010	Bulgaria's exports to world-Value in 2011	Bulgaria's exports to world-Value in 2012	Bulgaria's exports to world-Value in 2013	Bulgaria's exports to world-Value in 2014	Bulgaria's exports to world-Value in 2015	Bulgaria's exports to world-Value in 2016	Bulgaria's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
4108	"Chamois leather, incl. combination chamois leather(excluding glace-tanned leather subsequently ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4110	"Parings and other waste of leather, parchment-dressed leather or composition leather, not suitable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
4111	"Composition leather based on leather or leather fibre, in slabs, sheets or strip, whether or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
3406	"Candles, tapers and the like"	0	0	0	0	0	19	0	2	2	0	0	9	0	5	15	7	0		313	129	166	983	1417	1620	1603	3297	2228	2523	2966	2922	4589	4639	3769	3543	3854		673	1317	2140	4135	4799	4851	6611	5787	6340	6821	7664	7796	10626	9131	9183	7919	7072	
3914	"Ion-exchangers based on polymers of heading 3901 to 3913, in primary forms"	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0		44	32	7	7	2	8	0	8	63	38	63	0	1	17	0	56	33		2890	3808	4922	6209	5518	6763	7172	10469	8515	7411	10615	9817	12289	14347	14371	13308	15607	
4809	"Carbon paper, self-copy paper and other copying or transfer papers, incl. coated or impregnated ..."	0	0	0	0	0	0	13	27	7	0	0	0	0	0	0	0	0		74	37	54	61	43	62	217	35	124	172	336	374	697	1292	910	580	370		8039	17419	20641	29303	29593	32471	38111	42830	34286	52772	54029	47064	46558	51738	44415	34416	36424	
4814	"Wallpaper and similar wallcoverings of paper; window transparencies of paper"	0	0	0	0	0	0	0	1	0	581	98	42	18	19	17	0	0		2425	4437	1037	1	9	3	8	23	77	1031	568	779	158	568	544	1030	781		1415	2006	2507	4084	5643	7847	13665	19332	19515	30959	42862	44137	57716	84607	76084	17571	16270	
4903	"Children's picture, drawing or colouring books"	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0		11	22	22	16	95	12	28	156	373	328	89	186	174	12	43	53	49		49	82	179	527	576	902	1363	1156	1467	2165	2992	4111	2457	3091	2916	3035	4159	
5110	"Yarn of coarse animal hair or of horsehair, incl. gimped horsehair yarn, whether or not put ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	92	1	0	0	0	0	0	0	0		1	0	128	0	0	0	70	172	140	0	298	620	560	679	597	564	91	
5305	"Coconut, abaca "Manila hemp or Musa textilis Nee", ramie, agave and other vegetable textile ..."	4	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	13	8	0	0	0	0	0	5	0	0	0	0	0	0	0	0		28	22	15	182	477	467	862	609	295	277	420	601	512	321	480	300	189	
