Product code	Product label	Turkey's imports from United Kingdom-Value in 2001	Turkey's imports from United Kingdom-Value in 2002	Turkey's imports from United Kingdom-Value in 2003	Turkey's imports from United Kingdom-Value in 2004	Turkey's imports from United Kingdom-Value in 2005	Turkey's imports from United Kingdom-Value in 2006	Turkey's imports from United Kingdom-Value in 2007	Turkey's imports from United Kingdom-Value in 2008	Turkey's imports from United Kingdom-Value in 2009	Turkey's imports from United Kingdom-Value in 2010	Turkey's imports from United Kingdom-Value in 2011	Turkey's imports from United Kingdom-Value in 2012	Turkey's imports from United Kingdom-Value in 2013	Turkey's imports from United Kingdom-Value in 2014	Turkey's imports from United Kingdom-Value in 2015	Turkey's imports from United Kingdom-Value in 2016	Turkey's imports from United Kingdom-Value in 2017	United Kingdom's exports to world- 	United Kingdom's exports to world-Value in 2001	United Kingdom's exports to world-Value in 2002	United Kingdom's exports to world-Value in 2003	United Kingdom's exports to world-Value in 2004	United Kingdom's exports to world-Value in 2005	United Kingdom's exports to world-Value in 2006	United Kingdom's exports to world-Value in 2007	United Kingdom's exports to world-Value in 2008	United Kingdom's exports to world-Value in 2009	United Kingdom's exports to world-Value in 2010	United Kingdom's exports to world-Value in 2011	United Kingdom's exports to world-Value in 2012	United Kingdom's exports to world-Value in 2013	United Kingdom's exports to world-Value in 2014	United Kingdom's exports to world-Value in 2015	United Kingdom's exports to world-Value in 2016	United Kingdom's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
0601	"Bulbs, tubers, tuberous roots, corms, crowns and rhizomes, dormant, in growth or in flower, ..."	0	0	0	0	0	0	0	0	0	12	16	34	42	52	62	65	0		10237	8671	12686	13852	13014	15922	20128	18618	14329	14958	21893	14923	14057	11674	8297	7189	7637		994	861	1299	1521	2211	4125	5052	5387	4881	5560	6081	5805	7100	7381	9995	9093	6846	
0706	"Carrots, turnips, salad beetroot, salsify, celeriac, radishes and similar edible roots, fresh ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6998	9962	12045	11437	10806	13468	17006	20678	22849	23226	26358	18647	27513	28032	30815	26574	20100		0	0	5	0	13	0	3	15	7	7	6	5	7	23	0	0	1	
0807	"Melons, incl. watermelons, and papaws (papayas), fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		6734	6532	8525	12023	5045	5658	6352	4354	2356	2366	4140	3983	5242	7082	6897	4946	5893		8	3	33	35	72	703	736	1310	1611	1129	3208	3469	4825	4406	3619	4467	5720	
0903	"Mate"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		34	193	167	22	112	50	199	193	141	132	234	158	209	175	211	144	160		0	0	0	21	68	88	58	81	60	140	126	240	480	350	724	3180	2048	
1001	"Wheat and meslin"	0	0	0	0	0	0	0	0	0	0	2419	0	0	0	0	0	0		201124	178151	470537	382919	366500	352616	465452	750336	477008	712448	679225	428623	134603	271147	405424	516946	132369		49621	148010	277543	221868	25031	52624	570390	1483190	901858	655044	1623089	1125977	1289235	1545853	1103420	892409	1043332	
1402	"Vegetable materials of a kind used primarily as stuffing or as padding, e.g. kapok, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	10	30	52	1	5	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	40	0	9	0	29	0	0	0	0	0	0		1795	1231	1220	1448	1287	1133	1937	1834	2284	2756	2765	2786	2841	3248	3168	3998	4749		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
2402	"Cigars, cheroots, cigarillos and cigarettes of tobacco or of tobacco substitutes"	0	1	0	0	1	1	0	0	0	1	1	0	1	0	0	1	0		1171622	1279869	1293021	1166331	911776	976490	640930	646255	418263	376786	305922	223108	201377	210959	145853	65384	7914		7	84	11	7	13	15	323	446	1581	1454	2926	326	1692	1339	1754	407	1088	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		282	252	241	62	323	454	1573	36804	102760	247	71	769	894	1139	1894	958	353		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		451	1022	577	490	527	624	1176	1157	1046	969	570	938	1028	1078	707	533	215		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		200	228	174	108	101	414	583	598	143	71	115	83	56	97	54	85	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
3803	"Tall oil, whether or not refined"	13	0	25	0	2	6	5	8	3	0	72	0	0	0	0	0	0		1035	834	216	431	1346	1084	620	504	712	1390	2573	1722	2651	444	108	95	146		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	1	0		0	0	0	0	0	0	0	0	0	0	0	18953	27019	41915	30980	43890	39421		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
4104	"Tanned or crust hides and skins of bovine "incl. buffalo" or equine animals, without hair on, ..."	224	340	40	102	22	183	85	172	11	80	93	0	281	13	116	50	0		235313	92799	115532	142217	113465	91340	105261	82906	44271	59538	67913	50784	66432	90321	45712	27374	27973		53042	6811	6898	7669	6240	13350	37074	40087	17495	36647	64639	48104	64550	54836	37916	36535	31017	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0		3078	4945	5434	9008	8483	6984	8724	5153	3960	4076	5216	4354	4653	7657	6298	6348	8652		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		185	173	78	76	1644	1113	1763	1997	1115	1106	1432	2794	890	107	131	547	561		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	0	0	0	0	0	0	2	0	0	3	2	0	0	23	3	0	0		3201	2577	2702	3400	3609	3142	2548	2002	1983	3201	3661	3027	4315	3563	3035	3180	4158		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		53020	62698	51985	52989	145073	90397	93057	191570	78643	179665	200233	209694	142403	152513	268294	183025	195215		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	45	8	0	0	0	0	0	0	1	0	1	0	0	2	0	0		838	665	237	643	26532	21338	572	1238	267	445	709	228	403	603	459	259	597		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	7	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0		51	140	95	806	49	69	220	21	6	6	186	43	109	92	54	29	19		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5206	"Cotton yarn containing predominantly, but < 85% cotton by weight (excluding sewing thread and ..."	49	6	0	23	1	0	0	0	54	0	0	0	3	0	0	5	0		6297	2194	1651	1570	774	891	690	1081	186	323	357	551	209	136	194	61	40		3317	3790	5174	4618	6904	5302	7230	6130	5441	11256	11441	9290	29275	69900	38589	62926	77014	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	2	0	1	1	1	2	2	1	1	0	0	0		221	287	2608	204	422	161	209	92	202	107	595	343	131	160	144	195	168		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	0	0	0	6	0	0	0	4	2	8	4	1	1	0	0	0		667	675	877	433	302	710	349	1540	360	406	1004	429	609	1142	382	975	433		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	143	0	0	149	10	23	11	32	0	1	0	0	1	4	0	1	0		19220	13043	14734	12051	13496	12160	13352	14299	0	9043	14748	14340	12090	9369	10468	14643	15221		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	2	11	3	16	1	11	275	93	0	54	19	2	3	0	9	2	0		4242	3789	7933	7606	6628	5726	4104	4397	3328	6512	4998	5176	4498	5627	6521	7266	2691		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	22	19	19	0	94	0	0	0	0	0	0	19	3	4	2	12	0		753	740	1192	2460	2512	1618	1060	3378	1510	3064	5140	1741	1396	1127	732	816	631		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2081	4144	3890	2244	3748	3226	2200	1436	934	581	1260	4621	2069	832	862	1189	900		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	3	0	0	0	1	7268	0	0	0		1327	1619	1440	1627	1701	563	1546	857	747	903	1357	531	600	797	1820	7226	4755		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	163	168	245	333	272	449	0	0	0	0	0	0	0	0	0	0	0		5043	5839	5031	7024	12790	36296	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	2	14	42	40	19	1	0	0	0	0	0	0	0	0	0	0		1166	654	1363	4613	2994	6560	1151	1243	966	1983	2409	2618	3644	5602	7120	2648	3371		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5420	4598	11363	12742	1600	1527	3515	34015	43455	67132	80421	41171	36155	97407	62492	75987	107898		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
0103	"Live swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3650	5465	4711	13714	17319	27614	26654	5891	4626	3871	9539	2818	2546	2439	125	476	86		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0302	"Fish, fresh or chilled (excluding fish fillets and other fish meat of heading 0304)"	0	0	0	0	0	0	0	0	58	0	0	0	0	43	0	0	0		266505	264476	358590	368448	347934	432104	450057	449443	487754	596826	746127	624167	883108	1031803	781619	825655	1053410		331	273	1011	2933	6420	10865	14589	20509	20130	26722	38604	46229	44060	50475	65548	45218	43300	
0503	"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		585	685	705	544	463	409	0	0	0	0	0	0	0	0	0	0	0		190	291	325	202	274	410	0	0	0	0	0	0	0	0	0	0	0	
0704	"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5222	7679	5449	5537	9174	10710	10803	11393	15220	18123	17753	16205	15377	15491	17184	15006	14445		0	0	0	0	0	1	0	4	14	18	1052	430	162	15	394	75	27	
0809	"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh"	0	0	0	59	1	0	0	0	0	0	0	0	0	0	0	0	0		3000	3850	4200	3863	4642	5180	6180	5490	5048	7990	7116	8421	8748	7036	6179	5951	6451		15	64	12	88	237	101	160	563	89	156	167	197	67	40	133	102	226	
1106	"Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ..."	37	43	134	82	0	0	6	215	291	4	43	101	0	2	36	6	0		1422	1141	1098	1605	1671	1116	2026	2367	3888	4229	5669	5415	8901	11305	9434	9689	10968		1212	878	711	547	1570	1406	1415	1910	1859	1649	2577	617	1444	849	1035	1530	2798	
1212	"Locust beans, seaweeds and other algae, sugar beet and sugar cane, fresh, chilled, frozen or ..."	0	0	0	0	0	0	0	0	0	0	88	0	0	0	0	4	0		3884	4508	5601	6385	6205	7565	8589	10034	11235	12996	14260	10569	9374	13103	14220	13760	14373		2081	3547	3910	3211	2540	4494	2380	1632	2040	1995	3571	6940	4938	8437	11613	7987	23950	
1214	"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ..."	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		237	234	377	755	529	1662	3494	3097	2757	2207	1877	3753	7097	3046	3427	3919	3838		12	2	0	0	0	425	2111	0	23	2208	3030	6482	5694	1397	522	583	3533	
1502	"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)"	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0		5174	3594	7144	16792	9491	17872	26227	40243	27673	65824	104054	80946	54776	65922	55294	55543	74648		32074	47237	61550	55930	68082	69605	94343	131660	84807	106988	111854	110253	55815	69058	18897	14325	15684	
1605	"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved (excluding smoked)"	0	0	0	0	0	0	0	0	0	0	1	2	4	0	0	0	0		33919	31067	38607	37437	41286	50565	89240	59868	58948	71453	89216	81093	96208	102550	90023	84236	93365		28	140	152	395	235	221	377	263	330	1169	316	651	911	1617	2557	1693	3034	
2002	"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid"	0	0	0	0	2	0	0	158	0	0	0	0	0	0	0	0	0		2410	4341	3007	4425	5322	3978	6233	8311	8859	8292	8458	7770	8168	9323	8636	7397	8446		9	754	142	501	838	134	143	1589	2691	2789	2875	614	827	1203	1142	651	669	
2201	"Waters, incl. natural or artificial mineral waters and aerated waters, not containing added ..."	0	0	0	29	0	0	0	0	0	0	10	0	0	12	0	0	0		12985	17084	22757	25392	37708	45289	44696	40742	42578	42918	53469	39003	47241	60908	55581	70293	73838		87	105	106	151	206	535	744	1165	825	1099	1751	1909	3262	2467	2975	2518	2063	
2308	"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0		3101	3911	4639	5848	5230	10772	12590	21259	19170	22212	24878	37978	31390	14088	11456	7659	8088		17	40	102	130	113	215	688	682	463	464	521	1475	17308	20735	3438	2422	11410	
2502	"Unroasted iron pyrites"	10	16	20	5	0	0	0	0	0	0	1	0	0	0	0	0	0		79	66	26	6	20	16	24	9	97	8	84	409	26	36	24	1083	1208		17	30	46	59	47	75	91	112	43	192	155	86	126	157	289	270	279	
2514	"Slate, whether or not roughly trimmed or merely cut, by sawing or otherwise, into blocks or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		655	437	1112	1086	1278	568	3163	1509	3013	1305	1327	1060	2584	2958	2924	1738	1759		1	9	5	20	19	306	0	38	40	166	196	127	233	78	81	113	179	
2521	"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ..."	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0		3107	3770	5036	6336	7397	10507	7313	7194	4718	5155	5519	3730	3991	4824	4282	3779	4872		5	4	0	0	4	28	2	6	6	2	0	0	9	18	9	2	25	
2601	"Iron ores and concentrates, incl. roasted iron pyrites"	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		615	207	241	391	854	1759	3158	2157	5186	975	23062	10347	6735	5446	4791	1407	768		82142	163995	161185	205182	315080	538019	636803	749438	902329	923743	1169657	1148803	1159543	1067142	800476	697767	1010678	
2613	"Molybdenum ores and concentrates"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		953	2028	520	2865	6358	1817	1685	2261	239	5509	48	646	2	26	56	32	5		0	8	62	62	25	101	153	203	1644	841	506	104	9	410	125	8	12	
2704	"Coke and semi-coke of coal, of lignite or of peat, whether or not agglomerated; retort carbon"	0	0	0	0	0	0	0	0	0	0	0	0	3144	1341	0	3478	0		31176	38619	26348	34714	44996	23681	50158	68090	42208	182777	130554	66334	60648	44125	25328	28434	7092		48372	60020	56742	94738	107591	76638	95719	96879	58367	54984	128276	115869	131467	73004	110419	100617	468781	
2706	"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not ..."	0	4	0	0	27	44	51	55	0	1	2	0	0	0	0	0	0		7080	2129	2500	3065	3264	5170	5367	4236	3196	5769	3639	2561	9147	7981	3804	8817	9757		1	8	2	9	27	44	51	55	0	26	628	73	34	108	142	207	231	
2806	"Hydrogen chloride "hydrochloric acid"; chlorosulphuric acid"	7	0	0	10	0	0	0	0	0	0	0	0	3	1	8	2	0		27773	3566	2784	4123	4641	2302	1947	2356	2088	1542	1565	1587	2266	2032	2259	2069	2243		124	737	794	1234	1614	2035	2653	2541	595	539	684	837	888	717	712	937	839	
2819	"Chromium oxides and hydroxides"	90	218	285	452	789	546	168	339	102	0	1	1	1	1	0	2	0		40	18	124	150	128	64	4838	682	541	3329	2034	1989	3109	2907	4995	2356	2496		1091	2070	2173	3309	3383	3878	4452	6037	4327	6291	5424	6637	6252	5218	5374	5227	5543	
3601	"Propellent powders"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																				678	165	1547	1353	3098	1098	1278	2673	3760	5702	8073	6506	6068	8415	9146	8001	8903	
4301	"Raw furskins, incl. heads, tails, paws and other pieces or cuttings suitable for use in furriery ..."	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		8975	6902	6013	6383	5748	6968	6156	1810	1925	1808	521	2074	1996	1859	1396	1002	943		227	157	65	238	160	285	97	743	414	640	3094	4460	5096	5647	1566	2627	7417	
4402	"Wood charcoal, incl. shell or nut charcoal, whether or not agglomerated (excluding wood charcoal ..."	0	0	0	0	0	0	1	0	0	16	0	0	0	0	0	0	0		1485	1780	7868	6064	3962	6925	3817	2731	0	1531	1718	1081	2230	6121	1623	1229	1979		319	246	505	1708	2379	3943	5844	4878	6053	7777	10642	17630	32954	29869	36676	39262	39486	
4501	"Natural cork, raw or merely surface-worked or otherwise cleaned; cork waste; crushed, powdered ..."	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0		178	229	283	447	263	485	1260	53	289	849	68	553	942	618	1222	656	588		306	370	325	296	224	305	308	318	197	221	242	186	258	261	214	215	384	
4704	"Chemical wood pulp, sulphite (excluding dissolving grades)"	0	0	25	0	0	0	0	2	0	0	0	0	0	0	0	0	0		245	72	40	252	149	28	85	176	249	118	147	174	185	250	62	60	40		6904	8481	8116	6845	6898	7315	7040	4455	2519	5223	9808	6526	4496	4151	4300	3198	14789	
4706	"Pulps of fibres derived from recovered "waste and scrap" paper or paperboard or of other fibrous ..."	0	88	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0		4247	8753	7461	9785	8084	5990	7301	3964	6840	3258	28422	6800	4886	2533	4904	5184	4177		188	384	290	467	580	650	654	930	3357	2785	3379	4450	4046	2715	3276	2236	2686	
5002	"Raw silk "non-thrown""	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		195	40	117	9	78	13	194	23	42	20	36	28	167	522	119	68	20		3792	2931	2951	3821	2910	2448	2764	1924	1146	2205	3359	1575	2425	2291	1524	1014	614	
5103	"Waste of wool or of fine or coarse animal hair, incl. yarn waste (excluding garnetted stock, ..."	0	57	59	0	1	55	0	46	0	10	0	0	0	0	15	0	0		12842	12655	10921	14827	10547	11908	10972	9510	6777	10474	11478	9011	10104	11432	8803	9512	7614		301	437	598	1560	1279	1471	1944	1939	1053	1353	818	1594	901	1316	594	785	445	
5202	"Cotton waste, incl. yarn waste and garnetted stock"	0	19	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0		1350	928	1587	1020	572	743	1704	1443	343	378	711	767	594	279	446	357	259		2551	3510	6888	7300	2767	3891	4998	5597	5176	5600	14053	4542	7132	7165	10124	7909	21983	
5306	"Flax yarn"	42	19	12	34	0	0	16	12	5	2	10	11	10	0	5	0	0		25104	22953	27070	17840	8937	3690	3011	593	447	492	696	494	465	592	494	1013	815		4293	7967	7215	9782	10200	12020	20859	14000	10677	13489	21196	27356	25975	24683	23928	19826	19869	
5308	"Yarn of vegetable textile fibres; paper yarn (excluding flax yarn, yarn of jute or of other ..."	0	5	9	16	16	20	28	36	14	27	31	25	26	0	0	0	0		1204	551	630	1220	614	858	1650	1079	427	204	413	781	893	232	340	82	284		879	683	1277	1782	2615	1567	1335	1070	961	849	1274	806	810	1453	1524	1457	1439	
5311	"Woven fabrics of other vegetable textile fibres; woven fabrics of paper yarn (excluding those ..."	3	1	6	0	2	73	0	5	0	1	11	11	6	0	0	0	0		3646	3534	2961	5189	3828	3954	5605	3098	1307	895	825	388	451	799	598	132	326		4887	4932	9024	18913	16209	6356	2302	1321	1280	1749	2468	3857	6398	9149	3756	3913	3917	
