Product code	Product label	Turkey's imports from Egypt-Value in 2001	Turkey's imports from Egypt-Value in 2002	Turkey's imports from Egypt-Value in 2003	Turkey's imports from Egypt-Value in 2004	Turkey's imports from Egypt-Value in 2005	Turkey's imports from Egypt-Value in 2006	Turkey's imports from Egypt-Value in 2007	Turkey's imports from Egypt-Value in 2008	Turkey's imports from Egypt-Value in 2009	Turkey's imports from Egypt-Value in 2010	Turkey's imports from Egypt-Value in 2011	Turkey's imports from Egypt-Value in 2012	Turkey's imports from Egypt-Value in 2013	Turkey's imports from Egypt-Value in 2014	Turkey's imports from Egypt-Value in 2015	Turkey's imports from Egypt-Value in 2016	Turkey's imports from Egypt-Value in 2017	Egypt's exports to world- 	Egypt's exports to world-Value in 2001	Egypt's exports to world-Value in 2002	Egypt's exports to world-Value in 2003	Egypt's exports to world-Value in 2004	Egypt's exports to world-Value in 2005	Egypt's exports to world-Value in 2006	Egypt's exports to world-Value in 2007	Egypt's exports to world-Value in 2008	Egypt's exports to world-Value in 2009	Egypt's exports to world-Value in 2010	Egypt's exports to world-Value in 2011	Egypt's exports to world-Value in 2012	Egypt's exports to world-Value in 2013	Egypt's exports to world-Value in 2014	Egypt's exports to world-Value in 2015	Egypt's exports to world-Value in 2016	Egypt's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
1517	"Margarine, other edible mixtures or preparations of animal or vegetable fats or oils and edible ..."	0	0	0	0	0	47	0	0	24	0	234	0	0	0	0	0	0		3562	140	1508	1	33	307	399	2904	2667	2439	6077	620	3479	2775	1028	3320	3188		3128	3828	8263	11768	11909	12253	18073	18043	24899	21325	30515	23079	28365	44170	40792	33691	53234	
2617	"Ores and concentrates (excluding iron, manganese, copper, nickel, cobalt, aluminium, lead, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2	2	0	0	3	0	0	0	161	135	95	58	470	66	0	0	0		219	189	0	64	2	4	11	16	22	352	110	193	232	189	132	136	1430	
2619	"Slag, dross, scalings and other waste from the manufacture of iron or steel (excluding granulated ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	5072	4345	3265	4285	6631	18507	6589	9240	9541	8221		0	0	2	0	0	0	0	0	9	0	0	3	4	0	0	5	10	
2702	"Lignite, whether or not agglomerated (excluding jet)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	2384	3846	4609	8828	10550	13010	35872	33653	26768	47582		0	634	0	0	0	0	0	26	20	0	0	5	0	0	0	0	0	
2711	"Petroleum gas and other gaseous hydrocarbons"	10294	9007	12575	2663	690	4242	10402	9626	743	1198	0	0	0	1510	0	0	0		59423	19373	110816	182531	1636629	2966036	3052292	3989725	2414166	2266573	2030152	2179911	1559696	379758	145242	245471	320411		955365	990349	977424	1164601	1646662	1664203	1856993	2349681	1640119	2366455	2973579	2945722	2734484	2677438	1454607	1217931	1647131	
2713	"Petroleum coke, petroleum bitumen and other residues of petroleum oil or of oil obtained from ..."	538	3768	2921	8714	8500	1539	11278	20783	2392	11541	21575	915	2058	2465	0	0	0		2740	31	114	177	155	61	49	12217	4169	6975	17574	7958	11400	1331	679	309	829		49844	53155	62893	98593	125042	138008	213865	348689	184184	348213	432538	490068	569121	587042	395632	268805	463800	
2808	"Nitric acid; sulphonitric acids"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		542	365	1837	278	1989	1562	675	662	457	297	881	857	4620	8938	893	508	623		191	113	83	79	115	138	258	358	790	567	689	1271	450	376	375	361	474	
2823	"Titanium oxides"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	4	0	0	0	0	0	345	0	0	0	0	0	0	0	0	0		5247	5737	5986	8147	7431	8248	8883	8589	6216	9264	14280	12066	12978	12268	7539	8478	13483	
2846	"Compounds, inorganic or organic, of rare-earth metals, of yttrium or of scandium or of mixtures ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	3	17	0	0	0	2	0	0	0	0	0	9	0		655	774	942	892	785	773	1456	1815	1209	3856	6070	3447	2571	1727	1893	2369	1525	
2848	"Phosphides, whether or not chemically defined (excluding ferrophosphorus, and inorganic or ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	4	0	208	0	0	0	0	197	0	0	0		0	0	7	1	15	9	22	16	17	71	27	41	6	0	17	8	0	
2906	"Cyclic alcohols and their halogenated, sulphonated, nitrated or nitrosated derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10	4	38	23	0	0	0	0	0	0	0	0	0	0	0	0	0		1781	2571	3165	3327	3260	4325	5753	6739	3937	6999	9883	11111	12441	11911	10168	11039	12552	
2925	"Carboxyimide-function compounds, incl. saccharin and its salts, and imine-function compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		8	0	0	12	0	0	0	0	12	0	0	2	0	0	0	0	0		6017	9508	14912	17313	12113	9976	11153	13493	11296	12518	16902	29926	42603	39683	23779	21763	22377	
2927	"Diazo-, azo- or azoxy-compounds"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0		2304	2534	2467	3581	3765	4595	4510	4848	4044	6223	7240	7628	9561	10055	11122	10559	13989	
2931	"Separate chemically defined organo-inorganic compounds (excluding organo-sulphur compounds ..."	0	0	1	0	0	0	0	0	0	0	0	0	0	0	58	0	0		0	2	0	0	0	0	0	414	5894	4828	2861	5308	917	220	248	306	3029		25909	20619	26033	19568	19182	19862	24586	43433	31750	39966	48371	44431	51621	69048	50210	44149	64134	
2933	"Heterocyclic compounds with nitrogen hetero-atom[s] only"	5	2	28	0	0	0	0	0	0	0	0	67	0	0	0	79	0		0	0	0	13	0	0	0	880	416	1317	615	587	5143	2102	652	61	993		242379	273629	323093	424252	460103	481455	474339	522469	401825	433533	417433	325228	355818	425690	382779	408933	452717	
3201	"Tanning extracts of vegetable origin; tannins and their salts, ethers, esters and other derivatives"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	71	59	0	18	23	30	19	66	0	46	243	3	39		1926	2550	3297	4764	4533	5798	7116	8717	5165	7924	8348	8728	9483	8067	8733	9891	10205	
3210	"Paints and varnishes, incl. enamels, lacquers and distempers (excluding those based on synthetic ..."	0	0	0	0	0	0	0	0	3	1	0	0	0	24	0	0	0		270	229	297	605	230	86	327	13848	19168	8441	3349	2423	7482	6482	6117	2981	1656		4475	6235	7194	8837	9956	10537	14473	16391	13482	13663	17264	16726	17141	23273	23783	24195	24782	
2006	"Vegetables, fruit, nuts, fruit-peel and other edible parts of plants, preserved by sugar "drained, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		10	0	3	0	0	99	48	1952	3115	1495	1049	702	1297	350	470	389	1250		167	238	232	420	795	785	1052	1286	624	436	492	343	302	300	362	530	1017	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	17	0	0	0	0	0	0	0	0	121	1	95	0	0	0	153		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3813	"Preparations and charges for fire-extinguishers; charged fire-extinguishing grenades (excluding ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		7	5	0	5	2	0	24	226	963	130	16	0	6	117	37	142	102		1546	1731	1590	3276	3756	4834	4455	5138	4325	3378	5390	6980	6744	6989	6256	6008	4735	
3818	"Chemical elements and compounds doped for use in electronics, in the form of discs, wafers, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	3	62	6	0	4	53	0	0	298	0	0	0	93	0	0		18	26	37	20	63	130	84	111	225	354	344	571	708	1069	1492	1454	2144	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	17	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	529	1219		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
3903	"Polymers of styrene, in primary forms"	0	0	0	0	0	231	263	533	401	683	577	736	51678	78739	11669	0	0		1	100	0	254	103	453	1157	1259	508	1484	1763	1101	122396	138010	19101	17769	23170		136860	204206	296351	482320	541883	635311	760997	683795	494539	779746	985348	1011585	1074679	973642	795017	698281	880629	
3912	"Cellulose and its chemical derivatives, n.e.s., in primary forms"	0	0	9	0	0	0	0	0	0	35	0	0	1	0	0	12	0		0	0	31	0	94	0	17	787	116	126	341	73	146	343	291	88	674		33624	45843	57897	75423	81751	92526	111982	119656	96818	120591	162974	164122	162108	165594	150473	148607	163949	
4102	"Raw skins of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, ..."	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0		0	0	0	0	0	71	0	1336	648	512	1629	36	405	164	101	87	0		248462	402786	371161	338861	234875	274104	242480	179840	89215	167722	311596	334036	317107	184291	61800	32532	56845	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5	7	389	82	0	3	83	0	0	0	0	0	0	0	0	4	1		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5004	"Silk yarn (excluding that spun from silk waste and that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	309	19	101	111	1005	479	971	586	501	561		425	265	426	1208	1630	1381	4183	3960	2599	3136	1588	1243	3208	3089	2778	1113	1308	
5005	"Yarn spun from silk waste (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	30	0	0	0	0	0	0	0	0	0	18	30	91	0	0	0		6	46	55	120	427	1278	2096	3651	1722	851	610	663	621	891	596	784	799	
5101	"Wool, neither carded nor combed"	0	0	20	24	0	0	5	5	0	0	24	0	0	0	0	0	0		0	12	270	583	494	385	649	1010	973	3556	4219	3330	3254	2738	1953	1861	2485		32388	37008	48769	56812	46841	50374	56226	43371	21859	30284	34682	31321	29627	33128	26229	16088	28144	
5107	"Yarn of combed wool (excluding that put up for retail sale)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0		9	0	0	1	37	0	0	8	26	58	140	874	2111	121	292	9	244		25127	33204	38874	38975	41301	42151	42127	47373	42159	45947	64346	51833	45367	43413	39375	31479	31113	
5113	"Woven fabrics of coarse animal hair or of horsehair (excluding fabrics for technical uses of ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0		412	192	532	374	442	432	421	368	251	349	481	321	498	249	325	332	172	
4404	"Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; ..."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	12	0	0	14	1	4	134	173	85	14	44	177	43	200	63	36		34	29	55	203	166	119	176	111	117	102	73	150	752	1437	1763	1941	1762	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	7	0	37	4	1	0	0	0	14	0	0	0	0	0	4	0		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4413	"Metallised wood and other densified wood in blocks, plates, strips or profile shapes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1	49	18	122	96	50	0	0	23	43	74	25	70	288	34	27	35		726	854	1263	2035	3346	3448	6163	6941	5476	7063	9976	6554	9887	10042	8118	8259	11173	
4415	"Packing cases, boxes, crates, drums and similar packings, of wood; cable-drums of wood; pallets, ..."	0	0	3	0	0	15	4	0	0	11	26	0	0	0	0	0	0		49	119	22	29	28	156	38	625	2588	1222	817	1046	930	3678	3731	5787	8454		840	828	1635	2889	3752	4009	3969	6409	3228	7121	6661	8846	9322	9424	8305	6930	8206	
4822	"Bobbins, spools, cops and similar supports of paper pulp, paper or paperboard, whether or not ..."	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	1	0	13	1	13	160	69	25	19	51	79	316	12	666	85	214		969	1151	767	529	1099	1832	2693	4682	4396	6736	4817	2654	3189	3141	2967	1919	2700	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	19	17	32	36	23	22	36	0	18	0	0	0	0		7	33	5	2	7	0	3	0	195	307	1	28	38	104	0	0	29		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
5605	"Metallised yarn, whether or not gimped, being textile yarn, or strip or the like of heading ..."	0	0	0	0	0	0	0	0	0	1	0	134	4	0	2	0	0		15	37	34	6	33	58	2	3	0	0	0	36	0	18	0	0	0		3581	2672	2758	3420	4550	8279	12517	9680	5370	7009	7372	10217	19591	19015	19476	6891	7755	
5809	"Woven fabrics of metal thread and woven fabrics of metallised yarn of heading 5605, of a kind ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3	0	0	0	0	0	0	46	1	106	31	32	610	129	88	157	688		12	29	17	84	191	138	83	99	30	23	106	70	69	92	32	49	306	
6811	"Articles of asbestos-cement, cellulose fibre-cement or the like"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	29	4	100	867	1023	9	1673	913	7079	9043	1854	770	151	114		503	132	104	661	268	2089	986	1842	1079	856	2000	1113	5338	2750	2285	1764	2053	
6903	"Retorts, crucibles, mufflers, nozzles, plugs, supports, cupels, tubes, pipes, sheaths, rods ..."	0	0	0	0	0	15	0	2	2	0	3	0	0	0	0	0	0		1	0	6	11	32	151	66	269	268	72	198	487	1602	2619	2621	1903	2480		17619	22228	26329	30167	30355	36886	52584	47839	36889	50308	58033	57021	56850	63567	49801	45872	58888	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	2	3	4	5	0	65	16	0	135	0	68	44	4	6	2	10		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7016	"Paving blocks, slabs, bricks, squares, tiles and other articles of pressed or moulded glass, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		2607	7465	2190	3681	2298	48	12	151	14	103	4	2	21	142	4	7	70		1559	1979	2419	4548	7658	5973	10425	9248	5384	8198	11060	9957	10017	10893	9962	10092	5593	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0		0	70	0	0	0	0	0	0	4	2	106	0	3	35	9	1	406		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	1	24	0	14	0	0	1	301	0	2		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		46	0	0	34	0	0	0	0	0	0	0	0	0	45	0	0	0		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
7113	"Articles of jewellery and parts thereof, of precious metal or of metal clad with precious metal ..."	0	0	0	0	0	0	1	0	0	189	112	64	0	0	104	0	0		1546	89095	4556	716	1220	20112	6239	6	9	11	15	29	0	0	22	6604	0		58185	77619	106145	160901	203274	266628	416074	491549	264257	352597	425847	510604	725068	658639	409124	404713	556026	
7115	"Articles of precious metal or of metal clad with precious metal, n.e.s."	0	0	0	0	0	0	0	0	0	13	0	0	0	4	0	0	0		9020	17946	54	18	8	13	0	107	17	638	346	1438	85	9	10	45	2444		1829	2246	2294	4104	1297	4980	8715	4512	3823	5403	20427	25791	35094	8910	9124	4910	3404	
7203	"Ferrous products obtained by direct reduction of iron ore and other spongy ferrous products, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		36	0	2065	683	133	360	1	4617	2146	7811	882	2165	2293	456	6	0	6		1847	8091	8697	2793	17471	10907	38119	34543	18945	99634	74569	140592	171171	76431	130190	75357	169027	
7211	"Flat-rolled products of iron or non-alloy steel, of a width of < 600 mm, hot-rolled or cold-rolled ..."	0	0	827	18	0	0	16	0	0	2	66	0	0	0	0	46	0		0	3	43	1448	6	42	2834	410	0	2	0	0	55	0	0	129	2120		28344	46289	88047	119209	139195	142037	171599	280403	155090	230148	256706	251008	167331	69246	53891	50631	64050	
7222	"Other bars and rods of stainless steel; angles, shapes and sections of stainless steel, n.e.s."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3	5	1263	337	1500	4193	7158	204	829	204	130	0	13	35	303	90	0		12438	17125	26948	36839	52372	54266	90170	90497	56401	70403	106926	100748	97566	115389	108049	87295	97222	
7224	"Steel, alloy, other than stainless, in ingots or other primary forms, semi-finished products ..."	0	24	0	0	0	0	0	0	201	0	0	782	223	181	0	0	0		0	59	0	91	32	23	0	155	0	1107	1833	847	0	0	19	0	0		2927	2906	4522	7116	12501	13191	32146	14046	12726	16821	32018	30101	27814	38465	34512	31353	86203	
7302	"Railway or tramway track construction material of iron or steel, the following : rails, check-rails ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		47	1	0	310	623	33	0	854	211	90	230	440	842	536	811	0	46		4882	5838	15433	22721	39753	27483	47878	103737	84501	112720	92468	79346	69222	36795	31374	53630	54681	
7304	"Tubes, pipes and hollow profiles, seamless, of iron or steel (excluding products of cast iron)"	0	0	0	0	6	0	0	23	16	29	0	20	0	0	0	0	0		656	646	1667	1076	2458	2522	1989	8676	52735	677	3211	1278	2142	812	1298	910	1523		46981	81879	72892	119306	179636	222652	291380	322776	221232	304630	391034	370016	411851	390915	305519	255302	290593	
7317	"Nails, tacks, drawing pins, corrugated nails, staples and similar articles of iron or steel, ..."	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0		490	75	55	154	282	6004	932	1827	2165	2270	3586	4292	1241	826	4770	3509	6906		1120	1752	2709	4416	3882	3803	10891	9416	5151	6204	9165	9217	10210	11441	10876	9933	11061	
7319	"Sewing needles, knitting needles, bodkins, crochet hoods, embroidery stilettos and similar ..."	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0		0	0	4	0	19	3	17	3	12	0	5	30	2	3	6	0	6		1051	1137	1350	1417	1897	2010	2330	3039	1944	2631	2341	2575	2640	2302	2202	1954	2438	
7320	"Springs and leaves for springs, of iron or steel (excluding clock and watch springs, springs ..."	0	0	0	0	0	0	2	0	0	0	0	0	0	0	5	0	0		0	58	9	6	83	1	2	147	27	18	0	39	39	242	164	37	305		12974	18755	24526	46143	50468	56852	79865	82444	59133	70218	87420	75457	85232	75316	79498	85614	83696	
7412	"Copper tube or pipe fittings "e.g., couplings, elbows, sleeves""	0	0	0	0	0	12	0	0	0	96	0	0	0	27	0	0	0		0	9	0	0	0	25	40	0	150	67	16	0	1154	50	82	0	13		2187	3036	4121	7897	10798	18827	28548	30023	11745	18893	28114	25861	25940	27033	26872	24322	23794	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		11	0	34	0	0	85	27	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
