Product code	Product label	Turkey's imports from China-Value in 2001	Turkey's imports from China-Value in 2002	Turkey's imports from China-Value in 2003	Turkey's imports from China-Value in 2004	Turkey's imports from China-Value in 2005	Turkey's imports from China-Value in 2006	Turkey's imports from China-Value in 2007	Turkey's imports from China-Value in 2008	Turkey's imports from China-Value in 2009	Turkey's imports from China-Value in 2010	Turkey's imports from China-Value in 2011	Turkey's imports from China-Value in 2012	Turkey's imports from China-Value in 2013	Turkey's imports from China-Value in 2014	Turkey's imports from China-Value in 2015	Turkey's imports from China-Value in 2016	Turkey's imports from China-Value in 2017	China's exports to world- 	China's exports to world-Value in 2001	China's exports to world-Value in 2002	China's exports to world-Value in 2003	China's exports to world-Value in 2004	China's exports to world-Value in 2005	China's exports to world-Value in 2006	China's exports to world-Value in 2007	China's exports to world-Value in 2008	China's exports to world-Value in 2009	China's exports to world-Value in 2010	China's exports to world-Value in 2011	China's exports to world-Value in 2012	China's exports to world-Value in 2013	China's exports to world-Value in 2014	China's exports to world-Value in 2015	China's exports to world-Value in 2016	China's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
3803	"Tall oil, whether or not refined"	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0		45	8	13	0	13	8	137	150	47	239	285	364	483	67	207	164	422		41	8	113	258	293	363	621	1431	676	1365	2115	2062	1933	3003	2381	2836	2552	
3826	"Biodiesel and mixtures thereof, not containing or containing < 70 % by weight of petroleum ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	87	89	21854	13039	52159	149317		0	0	0	0	0	0	0	0	0	0	0	1528	1192	1697	1382	1032	1047	
4102	"Raw skins of sheep or lambs, fresh, or salted, dried, limed, pickled or otherwise preserved, ..."	0	340	334	0	0	0	519	84	0	60	14	0	0	233	0	0	0		163	517	458	15	11	23	0	0	284	344	299	0	298	0	1804	608	705		248462	402786	371161	338861	234875	274104	242480	179840	89215	167722	311596	334036	317107	184291	61800	32532	56845	
4104	"Tanned or crust hides and skins of bovine "incl. buffalo" or equine animals, without hair on, ..."	8	0	9	0	1	17	18	0	17	26	14	2	167	226	143	0	0		650166	234206	240442	194106	172912	98595	44960	16173	10017	22441	16164	18281	19156	31184	28300	25683	17161		53042	6811	6898	7669	6240	13350	37074	40087	17495	36647	64639	48104	64550	54836	37916	36535	31017	
4406	"Railway or tramway sleepers "cross-ties" of wood"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1921	2285	2829	2289	2844	3642	2743	10861	1308	1566	1529	1856	1747	2947	1582	959	2388		207	387	1340	1719	440	2674	1059	2910	3554	1046	1696	935	905	550	103	119	154	
4907	"Unused postage, revenue or similar stamps of current or new issue in the country in which they ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1388	4927	1386	1281	6354	5926	9965	73629	61854	39079	70737	90911	83656	144535	135155	160917	147931		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
5303	"Jute and other textile bast fibres, raw or processed, but not spun; tow and waste of such fibres, ..."	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0		738	409	451	261	149	63	190	465	169	42	138	21	58	92	136	407	497		25	108	3	71	126	19	58	41	24	37	65	7	39	119	13	35	14	
7107	"Base metals clad with silver, not further worked than semi-manufactured"	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0		80	4	127	205	585	1603	2374	2434	902	1907	2916	1773	2271	1466	1065	1162	2828		46	29	64	23	101	7	54	89	10	524	1834	976	1147	1675	1295	1197	1535	
7109	"Base metals or silver, clad with gold, not further worked than semi-manufactured"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	263	315	0		3	0	0	3	2	3	0	16	57	8	15	4313	16	4	120	199	3	
7110	"Platinum, incl. palladium, rhodium, iridium, osmium and ruthenium, unwrought or in semi-manufactured ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0		59160	33936	26192	3431	4191	6733	6136	9542	12557	46228	116663	67053	65554	68006	64388	36729	58472		2101	5309	5487	1293	2535	1966	8101	4738	5081	4675	8027	4203	4634	4290	2596	3705	3677	
6905	"Roofing tiles, chimney pots, cowls, chimney liners, architectural ornaments and other ceramic ..."	0	0	0	9	26	11	0	144	20	43	57	0	0	24	5	0	0		1274	1451	1938	1738	2353	2677	4584	4814	6957	13170	14703	23263	45245	42442	44130	35933	40200		51	118	274	600	867	1112	1540	1656	991	787	1148	751	1481	1057	1521	705	473	
7414	"Cloth "incl. endless bands", grill and netting, of copper wire, and expanded metal, of copper ..."	33	5	26	21	13	23	0	0	0	0	0	0	0	0	0	0	0		1093	1128	1310	1610	1494	1473	0	0	0	0	0	0	0	0	0	0	0		248	262	448	680	610	845	0	0	0	0	0	0	0	0	0	0	0	
7501	"Nickel mattes, nickel oxide sinters and other intermediate products of nickel metallurgy :"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		327	0	36	244	317	13996	43129	38588	0	9	0	167	0	19200	1442	1	0		0	3	17	43	43	22	29	0	11	30	69	360	77	50	23	33	21	
7802	"Lead waste and scrap (excluding ashes and residues from lead production "heading No 2620", ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		15	14	54	9	1	0	6	0	0	0	0	0	0	0	0	13	0		0	20	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
9204	"Accordions and similar instruments; mouth organs"	14	7	23	23	26	50	0	0	0	0	0	0	0	0	0	0	0		11581	12606	13118	14876	16030	20270	0	0	0	0	0	0	0	0	0	0	0		26	20	33	56	41	75	0	0	0	0	0	0	0	0	0	0	0	
0101	"Live horses, asses, mules and hinnies"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		32	76	143	128	84	73	64	91	20	52	113	1282	47	61	291	40	61		12912	6605	1512	1351	1568	4265	7684	8554	5190	14660	4235	2674	8628	4506	3010	1770	1618	
0103	"Live swine"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		221196	214914	216335	240831	227924	225649	261879	383373	330511	338937	452778	461059	459778	456738	483354	513640	450432		0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0302	"Fish, fresh or chilled (excluding fish fillets and other fish meat of heading 0304)"	0	0	0	0	2	30	72	0	0	0	0	0	0	0	0	0	0		138713	155232	186705	220407	172546	143638	115642	118099	141554	178523	158804	180986	194908	137128	158427	179906	114969		331	273	1011	2933	6420	10865	14589	20509	20130	26722	38604	46229	44060	50475	65548	45218	43300	
0503	"Horsehair and horsehair waste, whether or not put up as a layer, with or without supporting ..."	151	262	324	202	273	407	0	0	0	0	0	0	0	0	0	0	0		8519	6734	6347	7557	7401	9541	0	0	0	0	0	0	0	0	0	0	0		190	291	325	202	274	410	0	0	0	0	0	0	0	0	0	0	0	
0704	"Cabbages, cauliflowers, kohlrabi, kale and similar edible brassicas, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0		30162	22752	30232	62138	76068	85473	89954	113011	160381	244383	353252	288083	339849	407868	474005	479362	527641		0	0	0	0	0	1	0	4	14	18	1052	430	162	15	394	75	27	
0809	"Apricots, cherries, peaches incl. nectarines, plums and sloes, fresh"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		1676	3244	4933	6602	7680	9264	11280	15861	23178	18840	36712	59742	60637	110888	180385	170603	180540		15	64	12	88	237	101	160	563	89	156	167	197	67	40	133	102	226	
1214	"Swedes, mangolds, fodder roots, hay, alfalfa, clover, sainfoin, forage kale, lupines, vetches ..."	0	0	0	0	0	59	142	0	0	0	0	0	0	0	0	0	0		5046	6543	11039	10117	7892	7473	10421	8735	4000	3445	3016	2765	2173	2015	1136	189	111		12	2	0	0	0	425	2111	0	23	2208	3030	6482	5694	1397	522	583	3533	
1502	"Fats of bovine animals, sheep or goats (excluding oil and oleostearin)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		36	77	81	84	103	118	81	129	1220	966	306	961	542	400	551	927	1381		32074	47237	61550	55930	68082	69605	94343	131660	84807	106988	111854	110253	55815	69058	18897	14325	15684	
1605	"Crustaceans, molluscs and other aquatic invertebrates, prepared or preserved (excluding smoked)"	1	0	0	27	23	42	28	4	12	9	29	0	0	0	0	0	0		568111	761658	1100857	1404701	1845821	2400855	2361873	2598552	1781700	2360235	3349613	3778786	3851004	3783798	3261440	3393827	4071831		28	140	152	395	235	221	377	263	330	1169	316	651	911	1617	2557	1693	3034	
2002	"Tomatoes, prepared or preserved otherwise than by vinegar or acetic acid"	0	0	0	0	0	0	0	0	0	4	39	1	0	0	0	17	0		118666	189472	206779	226337	307374	366189	545913	800397	818092	816655	954541	927716	988990	975876	931053	733396	662495		9	754	142	501	838	134	143	1589	2691	2789	2875	614	827	1203	1142	651	669	
2201	"Waters, incl. natural or artificial mineral waters and aerated waters, not containing added ..."	0	0	0	0	0	0	0	0	0	1	17	0	1	0	0	0	0		304011	301700	250794	387936	317113	258416	298101	271359	306267	324884	453084	489581	529005	577578	614702	673849	704040		87	105	106	151	206	535	744	1165	825	1099	1751	1909	3262	2467	2975	2518	2063	
2308	"Acorns, horse-chestnuts, marc and other vegetable materials and vegetable waste, vegetable ..."	0	0	0	0	0	0	0	0	27	31	0	13	46	2	0	0	0		12164	7267	13277	42099	30728	18908	29807	65972	53845	51266	71866	78385	63313	94657	80683	87172	101212		17	40	102	130	113	215	688	682	463	464	521	1475	17308	20735	3438	2422	11410	
2403	"Manufactured tobacco and manufactured tobacco substitutes and "homogenised" or "reconstituted" ..."	0	0	0	0	0	0	0	0	0	150	252	0	0	0	0	0	0		21378	20107	26093	28066	30590	33508	31215	57551	65128	92873	111723	154495	188031	188922	200179	169089	129577		39804	45745	57956	73323	93446	84111	81816	103570	108667	91298	99695	127116	125657	151301	144314	161585	135384	
1106	"Flour, meal and powder of peas, beans, lentils and other dried leguminous vegetables of heading ..."	0	0	0	0	0	0	2	0	0	0	3	7	36	1	0	11	0		3355	2923	4644	3882	3360	3774	4436	7760	14348	18420	28000	33466	25201	30308	21024	25891	30520		1212	878	711	547	1570	1406	1415	1910	1859	1649	2577	617	1444	849	1035	1530	2798	
2521	"Limestone flux; limestone and other calcareous stone, of a kind used for the manufacture of ..."	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0		344	973	1113	4790	6652	9549	9425	12437	9002	5099	3620	4138	13141	15984	12717	6479	10720		5	4	0	0	4	28	2	6	6	2	0	0	9	18	9	2	25	
2601	"Iron ores and concentrates, incl. roasted iron pyrites"	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0		90	88	219	349	328	596	9287	2103	551	4583	1124	7874	9196	16656	8544	57009	422418		82142	163995	161185	205182	315080	538019	636803	749438	902329	923743	1169657	1148803	1159543	1067142	800476	697767	1010678	
2613	"Molybdenum ores and concentrates"	0	0	0	29	0	0	0	0	0	21	0	0	0	0	0	0	0		65809	151672	214789	544488	1099312	889221	881632	842546	129369	479202	375463	205521	88327	152451	36601	46010	71008		0	8	62	62	25	101	153	203	1644	841	506	104	9	410	125	8	12	
2706	"Tar distilled from coal, from lignite or from peat, and other mineral tars, whether or not ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		5833	2276	4473	12198	44369	67371	71044	65703	2884	17920	15399	26066	107799	272550	86532	19402	9138		1	8	2	9	27	44	51	55	0	26	628	73	34	108	142	207	231	
2715	"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ..."	0	367	128	0	0	43	56	0	0	0	0	6	0	0	0	0	0		2990	3466	3030	3656	2603	1608	2023	5414	3696	23831	20538	8841	10034	10430	5431	3536	25216		267	1178	813	1317	1443	3274	6257	7381	3302	5164	5724	3020	2269	1587	1980	4061	3159	
2806	"Hydrogen chloride "hydrochloric acid"; chlorosulphuric acid"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0		910	815	690	655	1245	1402	1849	1663	1050	1392	2001	3084	2277	2718	3223	2912	3386		124	737	794	1234	1614	2035	2653	2541	595	539	684	837	888	717	712	937	839	
2844	"Radioactive chemical elements and radioactive isotopes, incl. their fissile or fertile chemical ..."	0	0	0	0	165	0	107	0	1	0	0	0	0	124	0	17	0		22939	96483	59066	87241	73667	49074	2408	2755	4997	10869	311852	87888	195416	270315	138481	138834	186167		4476	4347	4628	6380	8016	6792	7275	11397	13170	15483	18940	18624	19920	20122	19063	22543	21194	
3205	"Colour lakes (other than Chinese or Japanese lacquer and paints); preparations based on colour ..."	0	0	0	3	0	1	0	3	0	3	15	1	0	0	0	0	0		2055	2658	4387	6774	7186	9144	6503	5770	5493	2825	687	383	265	197	164	171	188		393	374	560	674	816	1113	1142	1158	1071	2270	1913	1531	1529	1572	1843	2352	2221	
3601	"Propellent powders"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		658	566	1010	291	129	234	120	301	813	2776	2752	5367	5277	9726	14440	24676	30927		678	165	1547	1353	3098	1098	1278	2673	3760	5702	8073	6506	6068	8415	9146	8001	8903	
3807	"Wood tar; wood tar oils; wood creosote; wood naphtha; vegetable pitch; brewer's pitch and similar ..."	0	0	0	0	0	1	0	11	0	0	0	3	32	50	0	0	0		578	576	811	920	1459	1854	2138	2278	1629	2241	3132	3100	3525	2803	2671	12013	12194		2	0	10	39	134	212	1115	710	735	539	572	1059	998	755	743	629	720	
4501	"Natural cork, raw or merely surface-worked or otherwise cleaned; cork waste; crushed, powdered ..."	0	0	11	9	11	0	25	53	31	37	12	0	0	0	0	0	0		1879	1324	1059	1404	821	1518	1894	1274	1619	611	274	344	225	275	290	288	267		306	370	325	296	224	305	308	318	197	221	242	186	258	261	214	215	384	
4704	"Chemical wood pulp, sulphite (excluding dissolving grades)"	0	0	11	201	248	0	19	0	7	0	0	0	17	0	8	0	0		330	243	447	299	244	640	526	187	217	1441	277	60	0	0	16	31	36		6904	8481	8116	6845	6898	7315	7040	4455	2519	5223	9808	6526	4496	4151	4300	3198	14789	
5202	"Cotton waste, incl. yarn waste and garnetted stock"	22	23	0	0	0	0	0	0	0	0	78	0	0	0	52	55	0		1353	2192	1268	1306	1020	1969	4519	7712	725	982	931	1074	896	474	446	504	339		2551	3510	6888	7300	2767	3891	4998	5597	5176	5600	14053	4542	7132	7165	10124	7909	21983	
6309	"Worn clothing and clothing accessories, blankets and travelling rugs, household linen and articles ..."	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0		2616	1748	746	183	126	318	424	1435	3479	9533	33749	62090	101101	188935	283739	218216	341186		14	2	5	4	1	13	73	48	6	8	5	2	13	1	0	0	9	
6812	"Fabricated asbestos fibres; mixtures with a basis of asbestos or with a basis of asbestos and ..."	20	76	124	325	493	339	639	549	283	256	41	0	0	0	0	0	0		4939	5252	7256	10387	12819	12408	17466	21759	19593	22795	24645	29434	35684	37299	32846	27415	143795		5714	7482	6508	4716	3684	2117	2430	2133	1296	1901	143	1	0	0	0	0	0	
7221	"Bars and rods of stainless steel, hot-rolled, in irregularly wound coils"	0	0	0	7	31	0	0	0	0	107	41	0	18	0	0	2	0		841	3027	7449	26756	30322	38093	50766	52345	16637	141084	290463	189750	194582	303325	190205	138340	149899		185	414	518	609	1021	545	567	1327	529	547	719	361	443	653	654	489	245	
7902	"Zinc waste and scrap (excluding ash and residues from zinc production "heading 2620", ingots ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		911	1560	1000	322	540	446	506	62	0	0	0	200	111	19	0	0	12		0	159	54	306	150	2164	5573	2951	304	282	87	139	146	360	312	409	1339	
8520	"Magnetic tape recorders and other sound recording apparatus whether or not incorporating a ..."	96	179	463	1886	11467	18083	0	0	0	0	0	0	0	0	0	0	0		157430	188078	195362	256996	592205	658577	0	0	0	0	0	0	0	0	0	0	0		947	1187	2255	4503	16442	25448	0	0	0	0	0	0	0	0	0	0	0	
8902	"Fishing vessels; factory ships and other vessels for processing or preserving fishery products ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		37110	19162	33311	11590	33940	13048	22049	20296	45353	110222	56862	30039	59518	101713	159219	45360	90339		0	0	0	0	31	0	0	0	126	339	0	2818	0	0	0	0	0	
9702	"Original engravings, prints and lithographs"	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0		271	603	593	341	508	707	827	632	393	1227	5307	1927	7329	4755	1504	471	277		2	2	1	4	3	30	16	71	3	6	243	481	582	155	360	349	122	
0204	"Meat of sheep or goats, fresh, chilled or frozen"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		4471	7773	20619	41743	56721	66756	54122	50369	41761	68977	53046	42510	31349	43212	33719	35267	45552		112	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0407	"Birds' eggs, in shell, fresh, preserved or cooked"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		31648	36154	43110	57772	62457	62589	76971	105535	104126	127112	157905	155595	156217	173167	174261	168992	162375		5113	12640	10750	13293	14764	7568	10649	9360	8155	11590	13869	13676	24281	37014	25810	22617	31865	
0510	"Ambergris, castoreum, civet and musk; cantharides; bile, whether or not dried; glands and other ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		534	558	751	1176	850	768	909	796	1501	2611	1557	2403	2467	4482	2010	1802	1818		14	12	0	1	1	1	0	1	0	0	0	0	0	1	0	0	1	
0708	"Leguminous vegetables, shelled or unshelled, fresh or chilled"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		16043	11850	15577	16981	20749	20035	20208	19409	29302	45693	55343	33435	36813	31460	32846	33959	27036		48	1	0	0	0	0	0	2	19	0	1	0	0	0	0	0	33	
0812	"Fruit and nuts, provisionally preserved, e.g. by sulphur dioxide gas, in brine, in sulphur ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		36713	34720	44761	41887	44774	47834	45790	49551	41159	45623	51643	55734	60133	53930	40246	47813	56183		0	0	0	1	25	17	10	0	0	0	0	0	0	0	4	1	1	
1509	"Olive oil and its fractions obtained from the fruit of the olive tree solely by mechanical ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	109	58	0	0		12	47	151	76	561	8	762	611	988	351	75	610	1052	1166	1004	1155	777		28	3453	1940	90	233	60	48	16	39	24	121	150	413	515	9515	4842	141	
1514	"Rape, colza or mustard oil and fractions thereof, whether or not refined, but not chemically ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		23601	10495	3906	4083	20976	90483	16492	11281	13281	5206	5560	11083	10395	9451	5510	5307	18655		4957	7259	5824	1990	6011	2490	416	15377	423	757	3270	369	151	2691	2558	2326	536	
1601	"Sausages and similar products, of meat, offal or blood; food preparations based on these products"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		23430	29376	40595	52376	70208	93343	114376	101149	109839	130036	148980	195453	183527	200401	179214	149947	184227		56	23	2	36	25	74	118	157	122	219	243	457	727	1194	2059	825	98	
1603	"Extracts and juices of meat, fish or crustaceans, molluscs and other aquatic invertebrates"	0	0	0	0	0	3	1	0	0	0	0	0	0	1	0	0	0		2241	3483	4000	5123	7903	10145	13585	15423	10866	15301	15774	18004	19865	19034	17873	18571	18263		0	0	1	1	0	3	4	0	1	84	44	57	61	19	13	11	17	
