Product code	Product label	Turkey's imports from Saudi Arabia-Value in 2001	Turkey's imports from Saudi Arabia-Value in 2002	Turkey's imports from Saudi Arabia-Value in 2003	Turkey's imports from Saudi Arabia-Value in 2004	Turkey's imports from Saudi Arabia-Value in 2005	Turkey's imports from Saudi Arabia-Value in 2006	Turkey's imports from Saudi Arabia-Value in 2007	Turkey's imports from Saudi Arabia-Value in 2008	Turkey's imports from Saudi Arabia-Value in 2009	Turkey's imports from Saudi Arabia-Value in 2010	Turkey's imports from Saudi Arabia-Value in 2011	Turkey's imports from Saudi Arabia-Value in 2012	Turkey's imports from Saudi Arabia-Value in 2013	Turkey's imports from Saudi Arabia-Value in 2014	Turkey's imports from Saudi Arabia-Value in 2015	Turkey's imports from Saudi Arabia-Value in 2016	Turkey's imports from Saudi Arabia-Value in 2017	Saudi Arabia's exports to world- 	Saudi Arabia's exports to world-Value in 2001	Saudi Arabia's exports to world-Value in 2002	Saudi Arabia's exports to world-Value in 2003	Saudi Arabia's exports to world-Value in 2004	Saudi Arabia's exports to world-Value in 2005	Saudi Arabia's exports to world-Value in 2006	Saudi Arabia's exports to world-Value in 2007	Saudi Arabia's exports to world-Value in 2008	Saudi Arabia's exports to world-Value in 2009	Saudi Arabia's exports to world-Value in 2010	Saudi Arabia's exports to world-Value in 2011	Saudi Arabia's exports to world-Value in 2012	Saudi Arabia's exports to world-Value in 2013	Saudi Arabia's exports to world-Value in 2014	Saudi Arabia's exports to world-Value in 2015	Saudi Arabia's exports to world-Value in 2016	Saudi Arabia's exports to world-Value in 2017	Turkey's imports from world- 	Turkey's imports from world-Value in 2001	Turkey's imports from world-Value in 2002	Turkey's imports from world-Value in 2003	Turkey's imports from world-Value in 2004	Turkey's imports from world-Value in 2005	Turkey's imports from world-Value in 2006	Turkey's imports from world-Value in 2007	Turkey's imports from world-Value in 2008	Turkey's imports from world-Value in 2009	Turkey's imports from world-Value in 2010	Turkey's imports from world-Value in 2011	Turkey's imports from world-Value in 2012	Turkey's imports from world-Value in 2013	Turkey's imports from world-Value in 2014	Turkey's imports from world-Value in 2015	Turkey's imports from world-Value in 2016	Turkey's imports from world-Value in 2017	
1003	"Barley"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	49	568	535	916	317	946	4279	4060	3130	1718	0	0	0	0	0	0		6327	2435	15718	39814	10608	12850	13588	92092	27770	11933	13693	26706	85782	164189	48081	9807	72391	
1102	"Cereal flours (excluding wheat or meslin)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	769	880	1018	39	58	60	192	317	1528	168	216	265	335	254		4	5	3	6	7	21	134	99	88	99	58	61	107	41	117	160	120	
1202	"Groundnuts, whether or not shelled or broken (excluding roasted or otherwise cooked)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	75	36	0	28	157	453	212	283	123	165		401	34	237	3578	24948	2236	20150	21448	4099	11302	20005	21976	10807	16309	58711	21485	23405	
1207	"Other oil seeds and oleaginous fruits, whether or not broken (excluding edible nuts, olives, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		37	0	0	43	96	0	274	415	0	162	338	515	762	38	263	104	323		22547	41531	44719	79728	88781	80584	95344	130380	131269	147405	142373	170941	226534	283975	275745	288877	299325	
1507	"Soya-bean oil and its fractions, whether or not refined (excluding chemically modified)"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	206	31	143	353	9394	30255	32258	112578	109015	85053	70027	67902	42567	29757		56213	71738	72670	47590	105484	124146	37372	25738	10484	7339	3349	1097	7053	6165	106	63	94	
1512	"Sunflower-seed, safflower or cotton-seed oil and fractions thereof, whether or not refined, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		3459	2702	6517	7496	12946	10266	12844	28642	21741	26954	50496	50568	43665	29091	31350	42665	27753		63077	51745	54047	50576	138411	241095	140088	650122	471843	273625	629466	988450	918712	1201108	1101296	1015561	661061	
1513	"Coconut "copra", palm kernel or babassu oil and fractions thereof, whether or not refined, ..."	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		642	1070	321	90	246	0	869	218	183	268	276	3595	192	1009	755	25	16		23424	33473	41766	67206	75412	75156	92471	141968	102130	125685	191343	128825	107383	136816	104347	105375	127559	
1520	"Glycerol, crude; glycerol waters and glycerol lyes"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	936	1265		70	42	60	72	117	37	1843	4640	987	1365	2166	2690	1553	3326	2919	5169	5300	
1701	"Cane or beet sugar and chemically pure sucrose, in solid form"	0	0	1	0	0	0	0	0	0	1	6	0	0	0	0	0	0		0	0	17059	62096	56139	132790	259430	198337	192238	261813	277784	270527	196099	194988	152685	195349	177005		551	919	746	789	2762	5436	3996	4408	4844	4919	5524	6075	9390	4536	76606	153378	120315	
1703	"Molasses resulting from the extraction or refining of sugar"	0	0	0	0	0	0	0	0	0	0	0	907	902	0	0	0	0		518	45	185	104	200	72	0	69	544	29	90	0	0	0	0	445	934		620	7895	8753	16664	22720	14826	29251	41017	20314	16996	18815	55866	55198	75411	39310	46240	40545	
